idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp004,Sp003,1,1,0.0120579,0.0082918,0.0,0.0,0.0,0.0,0.01259,0.008519,0.0,0.0,-3668.775066,-3667.32919,13,0.27646055999999997,0.0604425,0.00039425858031583627
1,Sp002,Sp003,1,1,0.00872502,0.0082918,0.0,0.0,0.0,0.0,0.009186,0.007848,0.0,0.0,-3666.867422,-3667.32919,13,0.27646055999999997,0.0604425,-0.00012591397610535205
2,Sp003,N13,1,4,0.0082918,0.00427821,0.0,0.0604425,0.0,0.08310292999999999,0.00857,0.005684,0.0,0.06032,-3670.151009,-3667.32919,13,0.27646055999999997,0.0604425,0.0007694479698453883
3,N15,N13,2,4,0.00096218,0.00427821,0.0120579,0.0604425,0.02078292,0.08310292999999999,0.000849,0.003559,0.012216,0.060363,-3663.936802,-3667.32919,13,0.27646055999999997,0.0604425,-0.000925029585358754
4,Sp012,Sp001,1,1,0.0604425,0.00291063,0.0,0.0,0.0,0.0,0.063675,0.002951,0.0,0.0,-3671.5384,-3667.32919,13,0.27646055999999997,0.0604425,0.0011477589771536122
5,Sp008,Sp001,1,1,1.5e-07,0.00291063,0.0,0.0,0.0,0.0,0.003835,0.002943,0.0,0.0,-3671.537483,-3667.32919,13,0.27646055999999997,0.0604425,0.0011475089314248715
6,N20,Sp005,2,1,0.00525822,0.0144913,0.0604425,0.0,0.06044265,0.0,0.004535,0.013735,0.060684,0.0,-3663.733085,-3667.32919,13,0.27646055999999997,0.0604425,-0.000980578730103059
8,N16,N12,3,3,1.3e-07,0.00165593,0.0604425,0.0120579,0.06861149999999999,0.0300369,1e-06,0.001963,0.060728,0.012412,-3672.176674,-3667.32919,13,0.27646055999999997,0.0604425,0.0013218022568625466
9,Sp005,N12,1,3,0.0144913,0.00165593,0.0,0.0120579,0.0,0.0300369,0.015457,0.001964,0.0,0.012412,-3672.177357,-3667.32919,13,0.27646055999999997,0.0604425,0.001321988495938676
10,N12,Sp007,3,1,0.00165593,0.0125501,0.0120579,0.0,0.0300369,0.0,1e-06,0.015827,0.012208,0.0,-3680.573522,-3667.32919,13,0.27646055999999997,0.0604425,0.003611438001288402
11,N13,Sp007,4,1,0.00427821,0.0125501,0.0604425,0.0,0.08310292999999999,0.0,0.004701,0.015759,0.060958,0.0,-3682.141753,-3667.32919,13,0.27646055999999997,0.0604425,0.004039060098665415
12,N8,N7,7,2,0.00415717,0.011292,0.0604425,0.0350086,0.11907397,0.03918166,0.00612,0.011384,0.060286,0.035006,-3673.443395,-3667.32919,13,0.27646055999999997,0.0604425,0.0016672092095446323
13,Sp007,N7,1,2,0.0125501,0.011292,0.0,0.0350086,0.0,0.03918166,0.014033,0.011366,0.0,0.035027,-3673.506048,-3667.32919,13,0.27646055999999997,0.0604425,0.0016842933044688758
14,Sp011,N6,1,8,0.0350086,0.00198719,0.0,0.0604425,0.0,0.13578124,0.039842,0.002652,0.0,0.060383,-3681.132346,-3667.32919,13,0.27646055999999997,0.0604425,0.003763817013656182
15,Sp000,N6,1,8,0.00417306,0.00198719,0.0,0.0604425,0.0,0.13578124,0.014272,0.002653,0.0,0.060382,-3681.13348,-3667.32919,13,0.27646055999999997,0.0604425,0.0037641262305116484
16,N6,Sp006,8,1,0.00198719,0.0167839,0.0604425,0.0,0.13578124,0.0,0.001823,0.016038,0.060433,0.0,-3665.908111,-3667.32919,13,0.27646055999999997,0.0604425,-0.0003874969838744517
17,N7,Sp006,2,1,0.011292,0.0167839,0.0350086,0.0,0.03918166,0.0,0.011052,0.016758,0.035009,0.0,-3667.265037,-3667.32919,13,0.27646055999999997,0.0604425,-1.749311192863099e-05
18,N4,Sp010,10,1,8.67e-06,0.0285511,0.0604425,0.0,0.18824209,0.0,1e-05,0.041766,0.060664,0.0,-3698.129739,-3667.32919,13,0.27646055999999997,0.0604425,0.008398632193691902
19,Sp006,Sp010,1,1,0.0167839,0.0285511,0.0,0.0,0.0,0.0,0.017299,0.042236,0.0,0.0,-3698.352792,-3667.32919,13,0.27646055999999997,0.0604425,0.008459453840302842
