idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp006,N21,1,2,1e-08,0.00221667,0.0,0.00123995,0.0,0.00123996,1e-06,0.00445,0.0,0.001241,-2079.358222,-2071.21569,15,0.12690748999999998,0.0412903,0.003931281536400415
3,N23,N21,2,2,8e-08,0.00221667,0.00258257,0.00123995,0.00258264,0.00123996,1e-06,0.00445,0.002584,0.001241,-2079.358225,-2071.21569,15,0.12690748999999998,0.0412903,0.0039312829848251836
4,Sp004,N20,1,3,0.00123995,0.00221673,0.0,0.00258257,0.0,0.00258273,0.001241,0.004404,0.0,0.002586,-2078.683197,-2071.21569,15,0.12690748999999998,0.0412903,0.0036053739048297
5,Sp003,N20,1,3,1e-08,0.00221673,0.0,0.00258257,0.0,0.00258273,1e-06,0.004404,0.0,0.002586,-2078.683199,-2071.21569,15,0.12690748999999998,0.0412903,0.0036053748704462855
6,N20,Sp001,3,1,0.00221673,0.00337813,0.00258257,0.0,0.00258273,0.0,0.002942,0.009417,0.00259,0.0,-2099.446983,-2071.21569,15,0.12690748999999998,0.0412903,0.013630300859684885
7,N21,Sp001,2,1,0.00221667,0.00337813,0.00123995,0.0,0.00123996,0.0,0.002962,0.009414,0.001244,0.0,-2099.447041,-2071.21569,15,0.12690748999999998,0.0412903,0.01363032886256279
8,N18,Sp008,5,1,0.00670042,0.0101896,0.00258257,0.0,0.00825609,0.0,0.007178,0.011107,0.002585,0.0,-2073.440712,-2071.21569,15,0.12690748999999998,0.0412903,0.0010742589536872815
9,Sp001,Sp008,1,1,0.00337813,0.0101896,0.0,0.0,0.0,0.0,0.003853,0.011107,0.0,0.0,-2073.440494,-2071.21569,15,0.12690748999999998,0.0412903,0.001074153701491103
10,N16,Sp002,6,1,0.00133392,0.0080943,0.00670042,0.0,0.01833464,0.0,0.001267,0.010424,0.006735,0.0,-2076.251547,-2071.21569,15,0.12690748999999998,0.0412903,0.002431353250322206
11,Sp008,Sp002,1,1,0.0101896,0.0080943,0.0,0.0,0.0,0.0,0.007037,0.011435,0.0,0.0,-2074.185818,-2071.21569,15,0.12690748999999998,0.0412903,0.001434002269459407
12,N14,Sp000,7,1,0.00331146,0.0412903,0.0101896,0.0,0.029858159999999998,0.0,0.002565,0.043717,0.010162,0.0,-2075.86706,-2071.21569,15,0.12690748999999998,0.0412903,0.0022457197589112713
13,Sp002,Sp000,1,1,0.0080943,0.0412903,0.0,0.0,0.0,0.0,0.008321,0.04489,0.0,0.0,-2077.935566,-2071.21569,15,0.12690748999999998,0.0412903,0.00324441149825401
14,N12,Sp009,8,1,0.00477263,0.00334922,0.0101896,0.0,0.041263919999999996,0.0,0.008954,0.003694,0.01001,0.0,-2077.453081,-2071.21569,15,0.12690748999999998,0.0412903,0.003011463765031693
15,Sp000,Sp009,1,1,0.0412903,0.00334922,0.0,0.0,0.0,0.0,0.04147,0.00331,0.0,0.0,-2072.947036,-2071.21569,15,0.12690748999999998,0.0412903,0.000835908113461631
16,N10,Sp011,9,1,0.00463849,0.00571175,0.0412903,0.0,0.08732685,0.0,0.011619,0.006407,0.041287,0.0,-2105.286719,-2071.21569,15,0.12690748999999998,0.0412903,0.01644977351441374
17,Sp009,Sp011,1,1,0.00334922,0.00571175,0.0,0.0,0.0,0.0,0.015414,0.006387,0.0,0.0,-2105.286336,-2071.21569,15,0.12690748999999998,0.0412903,0.016449588598858155
18,N8,Sp014,10,1,0.0126679,0.00238527,0.0412903,0.0,0.09531455999999999,0.0,0.015964,0.002377,0.042051,0.0,-2078.685966,-2071.21569,15,0.12690748999999998,0.0412903,0.0036067108008437368
19,Sp011,Sp014,1,1,0.00571175,0.00238527,0.0,0.0,0.0,0.0,0.009086,0.002438,0.0,0.0,-2079.63402,-2071.21569,15,0.12690748999999998,0.0412903,0.0040644390831164326
20,N6,Sp010,11,1,0.00313943,0.00221994,0.0412903,0.0,0.11369420999999999,0.0,0.003269,0.002222,0.04192,0.0,-2073.786133,-2071.21569,15,0.12690748999999998,0.0412903,0.0012410310584312291
21,Sp014,Sp010,1,1,0.00238527,0.00221994,0.0,0.0,0.0,0.0,0.003558,0.002222,0.0,0.0,-2073.786436,-2071.21569,15,0.12690748999999998,0.0412903,0.001241177349327569
