idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp026,Sp023,1,1,0.0149221,0.0207996,0.0,0.0,0.0,0.0,0.021172,0.021296,0.0,0.0,-3331.900538,-3326.08254,28,0.8817572199999999,0.227862,0.0017492043357408649
1,Sp014,Sp023,1,1,0.00704143,0.0207996,0.0,0.0,0.0,0.0,0.014056,0.019797,0.0,0.0,-3331.075221,-3326.08254,28,0.8817572199999999,0.227862,0.0015010694833809432
2,N32,Sp020,2,1,0.00660986,0.0334371,0.0149221,0.0,0.021963530000000002,0.0,0.006036,0.0302,0.015083,0.0,-3323.804875,-3326.08254,28,0.8817572199999999,0.227862,-0.0006847890792271409
3,Sp023,Sp020,1,1,0.0207996,0.0334371,0.0,0.0,0.0,0.0,0.020841,0.031918,0.0,0.0,-3325.276059,-3326.08254,28,0.8817572199999999,0.227862,-0.0002424717337291564
6,Sp002,N14,1,4,0.0410673,1.7e-07,0.0,0.0334371,0.0,0.08281017,0.043225,0.001185,0.0,0.033362,-3328.04298,-3326.08254,28,0.8817572199999999,0.227862,0.0005894141159829094
7,Sp001,N14,1,4,0.0120961,1.7e-07,0.0,0.0334371,0.0,0.08281017,0.014227,0.001204,0.0,0.033394,-3328.043101,-3326.08254,28,0.8817572199999999,0.227862,0.0005894504951161932
8,N14,N11,4,11,1.7e-07,2.8e-07,0.0334371,0.0747843,0.08281017,0.28612361,1e-06,0.002245,0.033351,0.075042,-3331.192078,-3326.08254,28,0.8817572199999999,0.227862,0.0015362030071569292
9,N15,N11,2,11,0.00316862,2.8e-07,0.0410673,0.0747843,0.0531634,0.28612361,0.003193,0.00226,0.041256,0.075075,-3332.208105,-3326.08254,28,0.8817572199999999,0.227862,0.0018416755827112695
10,Sp024,Sp015,1,1,0.0234268,0.0257465,0.0,0.0,0.0,0.0,0.023401,0.024701,0.0,0.0,-3325.883956,-3326.08254,28,0.8817572199999999,0.227862,-5.9705072742949785e-05
11,Sp004,Sp015,1,1,0.0747843,0.0257465,0.0,0.0,0.0,0.0,0.074495,0.024461,0.0,0.0,-3324.949398,-3326.08254,28,0.8817572199999999,0.227862,-0.00034068366806064884
12,N48,Sp009,2,1,6.5e-07,0.0293917,0.0747843,0.0,0.0982111,0.0,1e-06,0.02923,0.07514,0.0,-3328.516062,-3326.08254,28,0.8817572199999999,0.227862,0.0007316481087689022
13,Sp015,Sp009,1,1,0.0257465,0.0293917,0.0,0.0,0.0,0.0,0.023242,0.029562,0.0,0.0,-3325.784483,-3326.08254,28,0.8817572199999999,0.227862,-8.96120274874392e-05
18,Sp017,N34,1,4,0.00369901,3.1e-07,0.0,0.0747843,0.0,0.15654553,0.003716,0.021151,0.0,0.069958,-3353.207712,-3326.08254,28,0.8817572199999999,0.227862,0.008155291299535827
