idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp004,N38,1,2,0.00077838,9e-08,0.0,0.00422453,0.0,0.00422454,0.001401,1e-06,0.0,0.004225,-1873.532975,-1873.45935,27,0.14834116,0.013335,3.92989578343361e-05
3,Sp002,N38,1,2,0.00555346,9e-08,0.0,0.00422453,0.0,0.00422454,0.005642,1e-06,0.0,0.004225,-1873.532975,-1873.45935,27,0.14834116,0.013335,3.92989578343361e-05
6,Sp018,N29,1,6,0.00422789,9e-08,0.0,0.0125244,0.0,0.036576029999999995,0.005648,1e-06,0.0,0.012526,-1878.900433,-1873.45935,27,0.14834116,0.013335,0.0029042973363686457
7,N33,N29,4,6,7e-08,9e-08,0.00555346,0.0125244,0.01125681,0.036576029999999995,0.0014,1e-06,0.005555,0.012526,-1878.900428,-1873.45935,27,0.14834116,0.013335,0.002904294667508977
10,Sp024,N43,1,2,0.0071672,0.00423025,0.0,0.00281518,0.0,0.00421547,0.007174,0.005405,0.0,0.00223,-1877.866627,-1873.45935,27,0.14834116,0.013335,0.0023524807196911007
11,Sp006,N43,1,2,7e-08,0.00423025,0.0,0.00281518,0.0,0.00421547,1e-06,0.005405,0.0,0.00223,-1877.866625,-1873.45935,27,0.14834116,0.013335,0.0023524796521472574
12,Sp007,N42,1,2,0.00281518,0.00139859,0.0,0.0071672,0.0,0.00716727,0.007073,0.001401,0.0,0.00718,-1888.157685,-1873.45935,27,0.14834116,0.013335,0.007845558538539849
13,Sp005,N42,1,2,0.00140029,0.00139859,0.0,0.0071672,0.0,0.00716727,0.005643,0.00102,0.0,0.007179,-1888.117453,-1873.45935,27,0.14834116,0.013335,0.007824083826531908
20,N22,Sp008,11,1,7e-08,0.00139894,0.0125244,0.0,0.05346038,0.0,1e-06,0.002805,0.01253,0.0,-1877.909383,-1873.45935,27,0.14834116,0.013335,0.0023753026720328085
21,Sp000,Sp008,1,1,0.00573844,0.00139894,0.0,0.0,0.0,0.0,0.005741,0.002805,0.0,0.0,-1877.913999,-1873.45935,27,0.14834116,0.013335,0.0023777665632296837
22,N16,N13,12,3,0.00140085,1e-07,0.0125244,0.013335,0.05919889,0.036059900000000006,0.009938,1e-06,0.012552,0.013361,-1907.290268,-1873.45935,27,0.14834116,0.013335,0.018057994159307422
23,Sp008,N13,1,3,0.00139894,1e-07,0.0,0.013335,0.0,0.036059900000000006,0.009943,1e-06,0.0,0.013361,-1907.290266,-1873.45935,27,0.14834116,0.013335,0.01805799309176358
24,Sp026,Sp022,1,1,0.0116062,0.013335,0.0,0.0,0.0,0.0,0.013197,0.013337,0.0,0.0,-1875.343363,-1873.45935,27,0.14834116,0.013335,0.001005633242055595
25,Sp021,Sp022,1,1,0.00946421,0.013335,0.0,0.0,0.0,0.0,0.010979,0.011813,0.0,0.0,-1874.035716,-1873.45935,27,0.14834116,0.013335,0.0003076479881989472
32,Sp017,Sp014,1,1,0.0117398,0.00281848,0.0,0.0,0.0,0.0,0.012654,0.00339,0.0,0.0,-1878.5185,-1873.45935,27,0.14834116,0.013335,0.0027004322244834496
33,N31,Sp014,2,1,7e-08,0.00281848,0.0042652,0.0,0.00710951,0.0,0.000681,0.003744,0.004275,0.0,-1878.546366,-1873.45935,27,0.14834116,0.013335,0.002715306312891149
34,N26,Sp001,3,1,0.00141919,0.00282006,0.0117398,0.0,0.018849380000000002,0.0,0.002071,0.003604,0.011743,0.0,-1878.906312,-1873.45935,27,0.14834116,0.013335,0.0029074353815042664
35,Sp014,Sp001,1,1,0.00281848,0.00282006,0.0,0.0,0.0,0.0,0.00349,0.003576,0.0,0.0,-1878.905092,-1873.45935,27,0.14834116,0.013335,0.0029067841797580938
40,N10,Sp019,16,1,8e-08,0.00461214,0.013335,0.0,0.10655846000000001,0.0,1e-06,0.006161,0.013341,0.0,-1878.0142,-1873.45935,27,0.14834116,0.013335,0.0024312510436909065
41,N11,Sp019,6,1,8e-08,0.00461214,0.0117398,0.0,0.028727840000000004,0.0,1e-06,0.006161,0.011746,0.0,-1878.014255,-1873.45935,27,0.14834116,0.013335,0.0024312804011466607
42,N8,Sp013,22,1,0.00152112,8e-08,0.013335,0.0,0.13528646000000005,0.0,0.004494,1e-06,0.013349,0.0,-1883.661156,-1873.45935,27,0.14834116,0.013335,0.005445437607172958
43,Sp019,Sp013,1,1,0.00461214,8e-08,0.0,0.0,0.0,0.0,0.007564,1e-06,0.0,0.0,-1883.661154,-1873.45935,27,0.14834116,0.013335,0.0054454365396291145
46,N4,Sp011,24,1,8e-08,1e-08,0.013335,0.0,0.14423251000000004,0.0,1e-06,0.004117,0.013354,0.0,-1894.07534,-1873.45935,27,0.14834116,0.013335,0.011004236627819018
47,Sp012,Sp011,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,0.004117,1e-06,0.0,0.0,-1894.076361,-1873.45935,27,0.14834116,0.013335,0.011004781608952347
