idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp001,N9,1,3,0.0278823,0.0139199,0.0,0.0178568,0.0,0.0553602,0.030902,0.012414,0.0,0.017933,-1761.777208,-1761.06156,10,0.26262296,0.0422674,0.00040637307420410317
1,Sp000,N9,1,3,0.023627,0.0139199,0.0,0.0178568,0.0,0.0553602,0.026634,0.012468,0.0,0.018015,-1762.022962,-1761.06156,10,0.26262296,0.0422674,0.000545921858631624
2,Sp009,Sp008,1,1,0.0107161,0.0178568,0.0,0.0,0.0,0.0,0.014961,0.0252,0.0,0.0,-1780.580684,-1761.06156,10,0.26262296,0.0422674,0.011083726113469831
3,Sp007,Sp008,1,1,0.0129838,0.0178568,0.0,0.0,0.0,0.0,0.018337,0.025634,0.0,0.0,-1781.078213,-1761.06156,10,0.26262296,0.0422674,0.011366242642874962
4,N14,N8,2,2,0.0138035,0.00309906,0.0129838,0.0278823,0.0236999,0.051509299999999994,0.024644,0.003311,0.013365,0.028012,-1781.153979,-1761.06156,10,0.26262296,0.0422674,0.011409265556849606
5,Sp008,N8,1,2,0.0178568,0.00309906,0.0,0.0278823,0.0,0.051509299999999994,0.028847,0.003311,0.0,0.028012,-1781.153775,-1761.06156,10,0.26262296,0.0422674,0.01140914971762821
8,Sp005,N6,1,5,0.0275091,4.1e-07,0.0,0.0278823,0.0,0.12388845999999999,0.032477,0.001547,0.0,0.028001,-1765.583464,-1761.06156,10,0.26262296,0.0422674,0.0025677148957813545
9,Sp003,N6,1,5,0.0422674,4.1e-07,0.0,0.0278823,0.0,0.12388845999999999,0.049926,0.002279,0.0,0.02805,-1767.201498,-1761.06156,10,0.26262296,0.0422674,0.003486498223264723
10,N6,Sp002,5,1,4.1e-07,0.02627,0.0278823,0.0,0.12388845999999999,0.0,0.00256,0.033505,0.027735,0.0,-1769.869473,-1761.06156,10,0.26262296,0.0422674,0.005001479334998301
11,N7,Sp002,2,1,0.00783482,0.02627,0.0422674,0.0,0.06977649999999999,0.0,0.006142,0.03315,0.044174,0.0,-1767.864261,-1761.06156,10,0.26262296,0.0422674,0.0038628411149919384
12,N4,Sp006,7,1,0.00810255,0.0015903,0.0422674,0.0,0.20150019,0.0,0.024359,0.001808,0.043139,0.0,-1791.737482,-1761.06156,10,0.26262296,0.0422674,0.01741899471134893
13,Sp002,Sp006,1,1,0.02627,0.0015903,0.0,0.0,0.0,0.0,0.046046,0.001808,0.0,0.0,-1791.73748,-1761.06156,10,0.26262296,0.0422674,0.017418993575670293
