idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N10,Sp006,4,1,1.5e-07,0.00972791,0.00321709,0.0,0.0032175999999999997,0.0,1e-06,0.013003,0.003216,0.0,-2008.541615,-2004.40961,15,0.7217099000000001,0.273014,0.002061457388442756
7,Sp007,Sp006,1,1,1e-08,0.00972791,0.0,0.0,0.0,0.0,1e-06,0.013003,0.0,0.0,-2008.541616,-2004.40961,15,0.7217099000000001,0.273014,0.0020614578873427206
10,Sp014,N9,1,5,0.0128676,0.273014,0.0,0.0173184,0.0,0.06293362,0.012874,0.28133,0.0,0.01731,-2005.670277,-2004.40961,15,0.7217099000000001,0.273014,0.0006289467949617406
11,Sp003,N9,1,5,0.00287206,0.273014,0.0,0.0173184,0.0,0.06293362,0.002862,0.281638,0.0,0.01731,-2005.720755,-2004.40961,15,0.7217099000000001,0.273014,0.0006541302703094326
12,Sp005,Sp002,1,1,3e-07,0.00223778,0.0,0.0,0.0,0.0,0.013628,0.002246,0.0,0.0,-2026.963138,-2004.40961,15,0.7217099000000001,0.273014,0.011251955631962941
13,Sp004,Sp002,1,1,0.0173184,0.00223778,0.0,0.0,0.0,0.0,0.030169,0.002246,0.0,0.0,-2026.96587,-2004.40961,15,0.7217099000000001,0.273014,0.011253318626825016
16,Sp010,Sp008,1,1,0.0136125,0.00548249,0.0,0.0,0.0,0.0,0.005366,0.015956,0.0,0.0,-2004.293612,-2004.40961,15,0.7217099000000001,0.273014,-5.787140483725305e-05
17,N19,Sp008,3,1,2.5e-07,0.00548249,0.0173184,0.0,0.033330080000000005,0.0,1e-06,0.01596,0.017355,0.0,-2006.378188,-2004.40961,15,0.7217099000000001,0.273014,0.0009821236089563449
18,N14,N8,4,2,0.0105083,0.0102038,0.0173184,0.0128676,0.046942830000000005,0.01573966,0.006725,0.225647,0.018446,0.016567,-2132.282967,-2004.40961,15,0.7217099000000001,0.273014,0.06379602071454854
19,Sp008,N8,1,2,0.00548249,0.0102038,0.0,0.0128676,0.0,0.01573966,0.006554,0.227209,0.0,0.016544,-2133.488022,-2004.40961,15,0.7217099000000001,0.273014,0.06439722268144588
20,N8,N4,2,6,0.0102038,1.9e-07,0.0128676,0.00972791,0.01573966,0.01615619,0.026136,1e-06,0.01287,0.009763,-2006.697845,-2004.40961,15,0.7217099000000001,0.273014,0.0011416004935238691
21,N9,N4,5,6,0.273014,1.9e-07,0.0173184,0.00972791,0.06293362,0.01615619,0.243968,1e-06,0.017146,0.009859,-1998.567523,-2004.40961,15,0.7217099000000001,0.273014,-0.002914617337122023
22,N4,Sp009,6,1,1.9e-07,7.4e-07,0.00972791,0.0,0.01615619,0.0,0.186178,1e-06,0.01072,0.0,-2121.614175,-2004.40961,15,0.7217099000000001,0.273014,0.058473360143189615
23,N5,Sp009,7,1,0.0190887,7.4e-07,0.273014,0.0,0.36189108,0.0,0.188591,1e-06,0.219973,0.0,-2120.854546,-2004.40961,15,0.7217099000000001,0.273014,0.0580943812178191
