idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
4,Sp036,N82,1,2,1e-08,9e-08,0.0,0.00150956,0.0,0.00301788,1e-06,0.003039,0.0,0.001516,-1938.620137,-1925.09571,50,0.21588513999999998,0.0209015,0.007025327068024093
5,Sp035,N82,1,2,1e-08,9e-08,0.0,0.00150956,0.0,0.00301788,1e-06,0.003039,0.0,0.001516,-1938.620137,-1925.09571,50,0.21588513999999998,0.0209015,0.007025327068024093
6,N82,N79,2,6,9e-08,1e-07,0.00150956,0.00452147,0.00301788,0.009025809999999999,0.00151,1e-06,0.001515,0.004526,-1930.504171,-1925.09571,50,0.21588513999999998,0.0209015,0.0028094504454534304
7,N83,N79,2,6,0.00302874,1e-07,1e-08,0.00452147,2e-08,0.009025809999999999,0.004557,1e-06,1e-06,0.004526,-1930.504152,-1925.09571,50,0.21588513999999998,0.0209015,0.0028094405758142395
8,Sp033,N91,1,2,1e-08,0.00150148,0.0,1e-08,0.0,2e-08,1e-06,0.003011,0.0,1e-06,-1931.035076,-1925.09571,50,0.21588513999999998,0.0209015,0.003085231538955451
9,Sp032,N91,1,2,1e-08,0.00150148,0.0,1e-08,0.0,2e-08,1e-06,0.003011,0.0,1e-06,-1931.035076,-1925.09571,50,0.21588513999999998,0.0209015,0.003085231538955451
10,Sp031,N90,1,2,1e-08,0.00150134,0.0,1e-08,0.0,2e-08,1e-06,0.003012,0.0,1e-06,-1930.79098,-1925.09571,50,0.21588513999999998,0.0209015,0.0029584347263440407
11,Sp030,N90,1,2,1e-08,0.00150134,0.0,1e-08,0.0,2e-08,1e-06,0.003012,0.0,1e-06,-1930.79098,-1925.09571,50,0.21588513999999998,0.0209015,0.0029584347263440407
12,N90,N85,2,2,0.00150134,0.00452147,1e-08,7e-08,2e-08,8e-08,0.001673,0.005866,1e-06,1e-06,-1930.449323,-1925.09571,50,0.21588513999999998,0.0209015,0.0027809593944812206
13,N91,N85,2,2,0.00150148,0.00452147,1e-08,7e-08,2e-08,8e-08,0.001674,0.005866,1e-06,1e-06,-1930.449323,-1925.09571,50,0.21588513999999998,0.0209015,0.0027809593944812206
14,Sp008,N84,1,4,7e-08,0.0015014,0.0,0.00150148,0.0,0.00300286,1e-06,0.006054,0.0,0.001505,-1943.383488,-1925.09571,50,0.21588513999999998,0.0209015,0.0094996720968226
15,Sp007,N84,1,4,1e-08,0.0015014,0.0,0.00150148,0.0,0.00300286,1e-06,0.006054,0.0,0.001505,-1943.383488,-1925.09571,50,0.21588513999999998,0.0209015,0.0094996720968226
20,Sp039,N59,1,3,0.00608304,4.3e-07,0.0,0.00682404,0.0,0.015882630000000002,0.007622,1e-06,0.0,0.00683,-1930.015571,-1925.09571,50,0.21588513999999998,0.0209015,0.002555644882715912
21,N69,N59,10,3,1e-07,4.3e-07,0.00452147,0.00682404,0.016581349999999998,0.015882630000000002,0.001501,1e-06,0.004525,0.00683,-1930.015573,-1925.09571,50,0.21588513999999998,0.0209015,0.0025556459216252944
22,Sp010,Sp028,1,1,1e-08,0.00682404,0.0,0.0,0.0,0.0,1e-06,0.009138,0.0,0.0,-1931.153781,-1925.09571,50,0.21588513999999998,0.0209015,0.003146893408224325
23,Sp009,Sp028,1,1,0.00301151,0.00682404,0.0,0.0,0.0,0.0,0.003013,0.009138,0.0,0.0,-1931.153781,-1925.09571,50,0.21588513999999998,0.0209015,0.003146893408224325
26,N58,Sp043,11,1,0.00151215,0.00996588,0.00608304,0.0,0.02266449,0.0,0.003009,0.009976,0.00609,0.0,-1928.57181,-1925.09571,50,0.21588513999999998,0.0209015,0.0018056764564707592
27,N59,Sp043,3,1,4.3e-07,0.00996588,0.00682404,0.0,0.015882630000000002,0.0,1e-06,0.009976,0.007567,0.0,-1928.57181,-1925.09571,50,0.21588513999999998,0.0209015,0.0018056764564707592
30,Sp015,Sp013,1,1,1e-08,0.00300903,0.0,0.0,0.0,0.0,1e-06,0.006045,0.0,0.0,-1933.881741,-1925.09571,50,0.21588513999999998,0.0209015,0.004563945031075814
31,Sp014,Sp013,1,1,1e-08,0.00300903,0.0,0.0,0.0,0.0,1e-06,0.006045,0.0,0.0,-1933.881741,-1925.09571,50,0.21588513999999998,0.0209015,0.004563945031075814
32,N48,N38,2,15,0.00300715,7e-08,1e-08,0.00996588,2e-08,0.0515149,0.006037,1e-06,1e-06,0.009971,-1934.577295,-1925.09571,50,0.21588513999999998,0.0209015,0.00492525382023733
33,Sp013,N38,1,15,0.00300903,7e-08,0.0,0.00996588,0.0,0.0515149,0.006036,1e-06,0.0,0.009971,-1934.577295,-1925.09571,50,0.21588513999999998,0.0209015,0.00492525382023733
38,Sp005,Sp006,1,1,8e-08,0.00149945,0.0,0.0,0.0,0.0,0.0015,0.0015,0.0,0.0,-1930.323007,-1925.09571,50,0.21588513999999998,0.0209015,0.0027153439555480116
39,Sp002,Sp006,1,1,0.00604692,0.00149945,0.0,0.0,0.0,0.0,0.007574,0.0015,0.0,0.0,-1930.322817,-1925.09571,50,0.21588513999999998,0.0209015,0.0027152452591564565
42,Sp004,N52,1,3,7e-08,9e-08,0.0,0.00604692,0.0,0.00904536,0.001548,1e-06,0.0,0.006052,-1930.624593,-1925.09571,50,0.21588513999999998,0.0209015,0.002872004218429197
43,Sp003,N52,1,3,0.0030075,9e-08,0.0,0.00604692,0.0,0.00904536,0.004522,1e-06,0.0,0.006053,-1930.624612,-1925.09571,50,0.21588513999999998,0.0209015,0.002872014088068388
44,N52,N40,3,2,9e-08,8e-08,0.00604692,0.00301435,0.00904536,0.0045133,1e-06,0.006052,0.006058,0.003028,-1951.874523,-1925.09571,50,0.21588513999999998,0.0209015,0.013910380071440655
45,N53,N40,2,2,0.00149957,8e-08,0.0030075,0.00301435,0.00300757,0.0045133,0.007578,1e-06,0.003014,0.003021,-1949.256188,-1925.09571,50,0.21588513999999998,0.0209015,0.012550273669250456
48,N30,N27,18,2,9e-08,0.00149471,0.00996588,0.00150436,0.06054023,0.00300639,1e-06,0.003002,0.00997,0.001504,-1932.436829,-1925.09571,50,0.21588513999999998,0.0209015,0.0038133787124796695
49,N31,N27,7,2,8e-08,0.00149471,0.00604692,0.00150436,0.02409489,0.00300639,1e-06,0.003002,0.006049,0.001504,-1932.436829,-1925.09571,50,0.21588513999999998,0.0209015,0.0038133787124796695
50,Sp027,N26,1,25,0.00150436,0.00149719,0.0,0.00996588,0.0,0.08463529,0.003011,0.001499,0.0,0.009977,-1929.596688,-1925.09571,50,0.21588513999999998,0.0209015,0.002338054142773001
51,Sp012,N26,1,25,0.00150203,0.00149719,0.0,0.00996588,0.0,0.08463529,0.003007,0.001499,0.0,0.009977,-1929.596689,-1925.09571,50,0.21588513999999998,0.0209015,0.002338054662227633
58,Sp048,N66,1,2,0.00768954,1.7e-07,0.0,0.0209015,0.0,0.02317182,0.009243,1e-06,0.0,0.020896,-1928.865075,-1925.09571,50,0.21588513999999998,0.0209015,0.0019580143368559478
59,Sp000,N66,1,2,0.0125558,1.7e-07,0.0,0.0209015,0.0,0.02317182,0.014132,1e-06,0.0,0.020896,-1928.864894,-1925.09571,50,0.21588513999999998,0.0209015,0.001957920315556672
66,N42,N35,5,2,1.5e-07,0.00338616,0.0209015,0.010306,0.05480066999999999,0.01251099,1e-06,0.004174,0.020927,0.012672,-1935.902263,-1925.09571,50,0.21588513999999998,0.0209015,0.005613514665200669
67,N43,N35,2,2,8e-08,0.00338616,0.00150378,0.010306,0.0015038599999999999,0.01251099,1e-06,0.004173,0.001505,0.012672,-1935.902246,-1925.09571,50,0.21588513999999998,0.0209015,0.005613505834470979
68,Sp041,N34,1,7,0.00220499,0.00300121,0.0,0.0209015,0.0,0.05630475999999999,0.004488,0.003003,0.0,0.020915,-1929.738957,-1925.09571,50,0.21588513999999998,0.0209015,0.0024119564424149977
69,Sp034,N34,1,7,0.010306,0.00300121,0.0,0.0209015,0.0,0.05630475999999999,0.013726,0.003002,0.0,0.020914,-1929.738296,-1925.09571,50,0.21588513999999998,0.0209015,0.0024116130828632605
70,N34,N29,7,2,0.00300121,0.00300886,0.0209015,0.00150139,0.05630475999999999,0.0015014,0.003001,0.001498,0.020882,0.001501,-1921.954607,-1925.09571,50,0.21588513999999998,0.0209015,-0.0016316606928598668
72,Sp020,N28,1,9,1e-08,8e-08,0.0,0.0209015,0.0,0.07520311999999998,1e-06,0.001437,0.0,0.020927,-1934.719515,-1925.09571,50,0.21588513999999998,0.0209015,0.004999130666599401
73,Sp019,N28,1,9,0.00150139,8e-08,0.0,0.0209015,0.0,0.07520311999999998,0.001503,0.001437,0.0,0.020927,-1934.719515,-1925.09571,50,0.21588513999999998,0.0209015,0.004999130666599401
84,N12,Sp001,43,1,9e-08,0.0121397,0.0209015,0.0,0.17641091999999994,0.0,1e-06,0.018359,0.020943,0.0,-1943.106337,-1925.09571,50,0.21588513999999998,0.0209015,0.009355704709351768
85,Sp029,Sp001,1,1,0.00604199,0.0121397,0.0,0.0,0.0,0.0,0.006051,0.018359,0.0,0.0,-1943.106349,-1925.09571,50,0.21588513999999998,0.0209015,0.009355710942808062
86,N10,Sp022,44,1,0.00603462,0.00149706,0.0209015,0.0,0.18245299999999995,0.0,0.007536,0.001499,0.020913,0.0,-1927.918505,-1925.09571,50,0.21588513999999998,0.0209015,0.0014663141086112763
87,Sp001,Sp022,1,1,0.0121397,0.00149706,0.0,0.0,0.0,0.0,0.013669,0.001499,0.0,0.0,-1927.918507,-1925.09571,50,0.21588513999999998,0.0209015,0.0014663151475206584
92,N4,Sp047,47,1,1.9e-07,0.00460601,0.0209015,0.0,0.20510066999999993,0.0,1e-06,0.006912,0.020918,0.0,-1929.051839,-1925.09571,50,0.21588513999999998,0.0209015,0.0020550297730391382
93,Sp023,Sp047,1,1,0.00299676,0.00460601,0.0,0.0,0.0,0.0,0.002996,0.006912,0.0,0.0,-1929.05184,-1925.09571,50,0.21588513999999998,0.0209015,0.0020550302924938887
