idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp023,N53,1,3,1e-08,7e-08,0.0,0.00301774,0.0,0.0043188,1e-06,0.024269,0.0,0.003057,-3800.64201,-3710.56046,31,0.7390107900000003,0.288218,0.024277073765832095
3,Sp014,N53,1,3,6e-08,7e-08,0.0,0.00301774,0.0,0.0043188,1e-06,0.024269,0.0,0.003057,-3800.64201,-3710.56046,31,0.7390107900000003,0.288218,0.024277073765832095
4,Sp022,Sp012,1,1,1e-08,0.00301774,0.0,0.0,0.0,0.0,1e-06,0.004534,0.0,0.0,-3717.071829,-3710.56046,31,0.7390107900000003,0.288218,0.0017548208876240305
5,Sp010,Sp012,1,1,1e-08,0.00301774,0.0,0.0,0.0,0.0,1e-06,0.004534,0.0,0.0,-3717.071829,-3710.56046,31,0.7390107900000003,0.288218,0.0017548208876240305
8,N52,Sp018,2,1,0.026727,0.00397336,6e-08,0.0,6.999999999999999e-08,0.0,0.028279,0.003976,1e-06,0.0,-3714.472627,-3710.56046,31,0.7390107900000003,0.288218,0.0010543331774736677
9,N53,Sp018,3,1,7e-08,0.00397336,0.00301774,0.0,0.0043188,0.0,0.001297,0.003976,0.003025,0.0,-3714.472547,-3710.56046,31,0.7390107900000003,0.288218,0.0010543116173883072
14,N46,Sp017,7,1,9e-08,0.00982294,0.026727,0.0,0.03775193,0.0,1e-06,0.011263,0.026875,0.0,-3715.715196,-3710.56046,31,0.7390107900000003,0.288218,0.0013892068477439543
15,Sp004,Sp017,1,1,0.00130403,0.00982294,0.0,0.0,0.0,0.0,0.001306,0.012701,0.0,0.0,-3720.366818,-3710.56046,31,0.7390107900000003,0.288218,0.002642823936090727
18,N34,Sp009,2,1,7e-08,0.00260628,0.00256213,0.0,0.0038682000000000005,0.0,1e-06,0.003914,0.002564,0.0,-3715.213785,-3710.56046,31,0.7390107900000003,0.288218,0.001254076048662408
19,N35,Sp009,9,1,9e-08,0.00260628,0.026727,0.0,0.05171796000000001,0.0,1e-06,0.003914,0.026744,0.0,-3715.213828,-3710.56046,31,0.7390107900000003,0.288218,0.0012540876372082541
20,N28,N23,11,5,0.00134864,0.00122595,0.026727,0.0179029,0.05558632000000001,0.048747759999999994,0.002686,0.001243,0.026736,0.017907,-3715.37977,-3710.56046,31,0.7390107900000003,0.288218,0.0012988091831280548
21,Sp009,N23,1,5,0.00260628,0.00122595,0.0,0.0179029,0.0,0.048747759999999994,0.003897,0.001242,0.0,0.017907,-3715.37977,-3710.56046,31,0.7390107900000003,0.288218,0.0012988091831280548
22,Sp026,Sp029,1,1,0.00291262,0.0179029,0.0,0.0,0.0,0.0,0.002925,0.033541,0.0,0.0,-3753.2753,-3710.56046,31,0.7390107900000003,0.288218,0.01151169492061036
23,Sp006,Sp029,1,1,1e-08,0.0179029,0.0,0.0,0.0,0.0,1e-06,0.033541,0.0,0.0,-3753.274957,-3710.56046,31,0.7390107900000003,0.288218,0.01151160248174475
24,Sp029,N31,1,2,0.0179029,0.00533604,0.0,0.00263096,0.0,0.005244,0.019107,0.005322,0.0,0.002633,-3711.568654,-3710.56046,31,0.7390107900000003,0.288218,0.00027170935789037193
25,N37,N31,2,2,0.0161142,0.00533604,0.00291262,0.00263096,0.00291263,0.005244,0.017355,0.005358,0.002915,0.002633,-3711.568677,-3710.56046,31,0.7390107900000003,0.288218,0.00027171555641490846
26,Sp027,N30,1,3,0.00261304,0.00123799,0.0,0.0179029,0.0,0.036929729999999994,0.007643,0.001498,0.0,0.017934,-3730.339491,-3710.56046,31,0.7390107900000003,0.288218,0.005330469941999013
27,Sp003,N30,1,3,0.00263096,0.00123799,0.0,0.0179029,0.0,0.036929729999999994,0.007699,0.001498,0.0,0.017934,-3730.339491,-3710.56046,31,0.7390107900000003,0.288218,0.005330469941999013
28,N30,N22,3,12,0.00123799,0.00135081,0.0179029,0.026727,0.036929729999999994,0.05954124000000001,0.001437,0.001353,0.017818,0.02675,-3712.272136,-3710.56046,31,0.7390107900000003,0.288218,0.00046129850691070467
29,N31,N22,2,12,0.00533604,0.00135081,0.00263096,0.026727,0.005244,0.05954124000000001,0.006573,0.001353,0.002634,0.026752,-3712.272266,-3710.56046,31,0.7390107900000003,0.288218,0.00046133354204927756
34,N24,N18,2,17,8e-08,8e-08,0.00808896,0.026727,0.01156812,0.11086576,1e-06,0.022707,0.008138,0.026731,-3775.432196,-3710.56046,31,0.7390107900000003,0.288218,0.017483002015280476
35,Sp007,N18,1,17,0.0017428,8e-08,0.0,0.026727,0.0,0.11086576,0.001755,0.022704,0.0,0.026728,-3775.432194,-3710.56046,31,0.7390107900000003,0.288218,0.017483001476278286
36,N18,N17,17,3,8e-08,0.00225031,0.026727,0.0174131,0.11086576,0.02671766,1e-06,0.008003,0.026806,0.017636,-3718.42858,-3710.56046,31,0.7390107900000003,0.288218,0.002120466728629894
37,N19,N17,3,3,0.0229805,0.00225031,0.00808896,0.0174131,0.013311,0.02671766,0.023035,0.009278,0.008103,0.01748,-3719.951625,-3710.56046,31,0.7390107900000003,0.288218,0.0025309289799309727
38,Sp025,Sp011,1,1,1e-08,0.00930454,0.0,0.0,0.0,0.0,1e-06,0.026993,0.0,0.0,-3762.494332,-3710.56046,31,0.7390107900000003,0.288218,0.013996233873521108
39,Sp008,Sp011,1,1,1e-08,0.00930454,0.0,0.0,0.0,0.0,1e-06,0.026993,0.0,0.0,-3762.494332,-3710.56046,31,0.7390107900000003,0.288218,0.013996233873521108
40,N20,N16,2,20,0.0174131,0.00699072,1e-08,0.026727,2e-08,0.14715734,0.017746,0.008097,1e-06,0.026719,-3711.996002,-3710.56046,31,0.7390107900000003,0.288218,0.00038688009950920294
41,Sp011,N16,1,20,0.00930454,0.00699072,0.0,0.026727,0.0,0.14715734,0.009597,0.008093,0.0,0.026718,-3711.995578,-3710.56046,31,0.7390107900000003,0.288218,0.0003867658310571969
42,N16,Sp028,20,1,0.00699072,0.0260543,0.026727,0.0,0.14715734,0.0,0.002263,0.029388,0.026848,0.0,-3701.812378,-3710.56046,31,0.7390107900000003,0.288218,-0.002357617425805283
43,N17,Sp028,3,1,0.00225031,0.0260543,0.0174131,0.0,0.02671766,0.0,0.002462,0.030951,0.017432,0.0,-3713.40856,-3710.56046,31,0.7390107900000003,0.288218,0.0007675659865139897
44,N14,Sp000,23,1,0.0047477,0.288218,0.026727,0.0,0.18311603,0.0,0.004419,0.307542,0.026954,0.0,-3715.565884,-3710.56046,31,0.7390107900000003,0.288218,0.0013489671045543207
45,Sp028,Sp000,1,1,0.0260543,0.288218,0.0,0.0,0.0,0.0,0.027992,0.310232,0.0,0.0,-3715.751991,-3710.56046,31,0.7390107900000003,0.288218,0.0013991231394730975
46,N10,N9,24,2,0.0199405,0.0256147,0.026727,0.00836057,0.21391803,0.01603477,0.049629,0.021329,0.026617,0.009123,-3722.046612,-3710.56046,31,0.7390107900000003,0.288218,0.0030955302100103624
47,Sp000,N9,1,2,0.288218,0.0256147,0.0,0.00836057,0.0,0.01603477,0.322839,0.026232,0.0,0.00921,-3722.696956,-3710.56046,31,0.7390107900000003,0.288218,0.003270798611377329
48,Sp019,N8,1,25,0.0076742,0.0304333,0.0,0.288218,0.0,0.52207653,0.008412,0.04811,0.0,0.282982,-3745.643059,-3710.56046,31,0.7390107900000003,0.288218,0.009454797833963833
49,Sp015,N8,1,25,0.00836057,0.0304333,0.0,0.288218,0.0,0.52207653,0.006932,0.046455,0.0,0.282117,-3743.313343,-3710.56046,31,0.7390107900000003,0.288218,0.008826936888127045
50,N8,Sp020,25,1,0.0304333,0.0336071,0.288218,0.0,0.52207653,0.0,0.031987,0.03698,0.287983,0.0,-3713.820608,-3710.56046,31,0.7390107900000003,0.288218,0.0008786133618207758
51,N9,Sp020,2,1,0.0256147,0.0336071,0.00836057,0.0,0.01603477,0.0,0.028662,0.036996,0.008093,0.0,-3713.821801,-3710.56046,31,0.7390107900000003,0.288218,0.0008789348765927134
52,N6,Sp005,27,1,0.00723622,0.00980362,0.288218,0.0,0.5941593,0.0,0.050425,0.015571,0.291028,0.0,-3790.87556,-3710.56046,31,0.7390107900000003,0.288218,0.021645005078289387
53,Sp020,Sp005,1,1,0.0336071,0.00980362,0.0,0.0,0.0,0.0,0.077485,0.015439,0.0,0.0,-3790.863857,-3710.56046,31,0.7390107900000003,0.288218,0.02164185110731215
54,N4,Sp024,28,1,0.0500819,0.00991546,0.288218,0.0,0.63500262,0.0,0.077383,0.010336,0.289481,0.0,-3755.957742,-3710.56046,31,0.7390107900000003,0.288218,0.012234615899507511
55,Sp005,Sp024,1,1,0.00980362,0.00991546,0.0,0.0,0.0,0.0,0.037822,0.010336,0.0,0.0,-3755.957694,-3710.56046,31,0.7390107900000003,0.288218,0.012234602963456367
