idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,N13,1,2,1e-07,0.00325446,0.0,0.0136485,0.0,0.02213618,1e-06,0.017266,0.0,0.013758,-2194.525483,-2159.13252,10,0.46065445000000005,0.0886042,0.016392214313922602
1,Sp004,N13,1,2,0.00865744,0.00325446,0.0,0.0136485,0.0,0.02213618,0.008673,0.017265,0.0,0.013757,-2194.525626,-2159.13252,10,0.46065445000000005,0.0886042,0.016392280544225226
2,Sp009,N12,1,2,0.0136485,0.0139736,0.0,0.00865744,0.0,0.00865754,0.01483,0.016118,0.0,0.008667,-2162.78629,-2159.13252,10,0.46065445000000005,0.0886042,0.0016922398074944909
3,Sp008,N12,1,2,0.00848768,0.0139736,0.0,0.00865744,0.0,0.00865754,0.009666,0.016116,0.0,0.008667,-2162.786285,-2159.13252,10,0.46065445000000005,0.0886042,0.0016922374917497055
4,N12,Sp003,2,1,0.0139736,0.00859483,0.00865744,0.0,0.00865754,0.0,0.014406,0.011523,0.008664,0.0,-2163.281652,-2159.13252,10,0.46065445000000005,0.0886042,0.0019216662069450041
5,N13,Sp003,2,1,0.00325446,0.00859483,0.0136485,0.0,0.02213618,0.0,0.003692,0.011524,0.013659,0.0,-2163.281336,-2159.13252,10,0.46065445000000005,0.0886042,0.0019215198518708323
6,N10,Sp005,4,1,0.0034037,0.0300474,0.0139736,0.0,0.04802178,0.0,0.003732,0.051618,0.014043,0.0,-2186.414832,-2159.13252,10,0.46065445000000005,0.0886042,0.012635774667503881
7,Sp003,Sp005,1,1,0.00859483,0.0300474,0.0,0.0,0.0,0.0,0.008825,0.051618,0.0,0.0,-2186.414625,-2159.13252,10,0.46065445000000005,0.0886042,0.012635678795667333
8,N8,Sp006,5,1,0.0211451,0.00866164,0.0139736,0.0,0.06002031,0.0,0.021142,0.016639,0.014011,0.0,-2164.97259,-2159.13252,10,0.46065445000000005,0.0886042,0.002704822397839546
9,Sp005,Sp006,1,1,0.0300474,0.00866164,0.0,0.0,0.0,0.0,0.028858,0.016607,0.0,0.0,-2164.831074,-2159.13252,10,0.46065445000000005,0.0886042,0.0026392794083802034
10,N6,Sp002,6,1,0.0110629,0.0545788,0.0300474,0.0,0.11121281,0.0,0.010548,0.121703,0.030417,0.0,-2200.918792,-2159.13252,10,0.46065445000000005,0.0886042,0.01935326878407622
11,Sp006,Sp002,1,1,0.00866164,0.0545788,0.0,0.0,0.0,0.0,0.012001,0.121715,0.0,0.0,-2200.918936,-2159.13252,10,0.46065445000000005,0.0886042,0.01935333547752776
12,N4,Sp001,7,1,0.076974,0.0886042,0.0300474,0.0,0.13093735,0.0,0.110744,0.113048,0.030706,0.0,-2199.502471,-2159.13252,10,0.46065445000000005,0.0886042,0.01869730117352856
13,Sp002,Sp001,1,1,0.0545788,0.0886042,0.0,0.0,0.0,0.0,0.086945,0.112011,0.0,0.0,-2199.464361,-2159.13252,10,0.46065445000000005,0.0886042,0.01867965056633009
