idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N26,N23,4,17,6e-08,1.8e-07,0.00347301,0.00770462,0.00347316,0.06522361,1e-06,0.002638,0.003475,0.007588,-2309.418786,-2305.08945,34,0.1769568099999999,0.0459155,0.0018781639905558717
7,Sp016,N23,1,17,1e-08,1.8e-07,0.0,0.00770462,0.0,0.06522361,1e-06,0.002638,0.0,0.007588,-2309.418782,-2305.08945,34,0.1769568099999999,0.0459155,0.0018781622552652998
10,N60,Sp020,2,1,6e-08,0.00342663,0.00685666,0.0,0.01143545,0.0,1e-06,0.00456,0.006868,0.0,-2308.248433,-2305.08945,34,0.1769568099999999,0.0459155,0.001370438357609186
11,Sp019,Sp020,1,1,0.00456837,0.00342663,0.0,0.0,0.0,0.0,0.004578,0.004561,0.0,0.0,-2308.248867,-2305.08945,34,0.1769568099999999,0.0459155,0.00137062663663653
12,N56,N55,3,3,0.0011291,0.00342247,0.00685666,0.00113807,0.016003879999999998,0.00227422,0.001127,0.006886,0.006862,0.00114,-2323.392372,-2305.08945,34,0.1769568099999999,0.0459155,0.007940222016113021
13,Sp020,N55,1,3,0.00342663,0.00342247,0.0,0.00113807,0.0,0.00227422,0.00454,0.004825,0.0,0.001141,-2336.647238,-2305.08945,34,0.1769568099999999,0.0459155,0.0136904830309297
14,Sp010,Sp001,1,1,1e-08,0.00113807,0.0,0.0,0.0,0.0,1e-06,0.002276,0.0,0.0,-2309.581326,-2305.08945,34,0.1769568099999999,0.0459155,0.0019486775231217373
15,Sp000,Sp001,1,1,1e-08,0.00113807,0.0,0.0,0.0,0.0,1e-06,0.002276,0.0,0.0,-2309.581326,-2305.08945,34,0.1769568099999999,0.0459155,0.0019486775231217373
16,N58,N54,2,4,0.00113613,0.00770462,1e-08,0.00685666,2e-08,0.02055961,0.001136,0.00762,1e-06,0.006871,-2302.74439,-2305.08945,34,0.1769568099999999,0.0459155,-0.0010173401296856845
17,Sp001,N54,1,4,0.00113807,0.00770462,0.0,0.00685666,0.0,0.02055961,0.001136,0.00762,0.0,0.006871,-2302.74439,-2305.08945,34,0.1769568099999999,0.0459155,-0.0010173401296856845
22,N46,N43,8,2,9e-08,6e-08,0.00770462,0.00341736,0.03853653,0.00569317,1e-06,0.001133,0.007705,0.003424,-2306.847156,-2305.08945,34,0.1769568099999999,0.0459155,0.0007625326644047896
23,Sp009,N43,1,2,0.00686743,6e-08,0.0,0.00341736,0.0,0.00569317,0.005721,0.001132,0.0,0.003421,-2302.985303,-2305.08945,34,0.1769568099999999,0.0459155,-0.0009128266150365713
26,N42,Sp006,9,1,0.00125936,0.00456492,0.00770462,0.0,0.04540405,0.0,0.000995,0.004778,0.007711,0.0,-2314.833477,-2305.08945,34,0.1769568099999999,0.0459155,0.004227179556958272
27,N43,Sp006,2,1,6e-08,0.00456492,0.00341736,0.0,0.00569317,0.0,1e-06,0.005721,0.003422,0.0,-2310.225232,-2305.08945,34,0.1769568099999999,0.0459155,0.0022280185265694725
32,Sp005,Sp002,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,0.001138,0.0,0.0,-2313.307243,-2305.08945,34,0.1769568099999999,0.0459155,0.0035650646876199342
33,N45,Sp002,2,1,1e-08,1e-08,1e-08,0.0,2e-08,0.0,1e-06,0.001138,1e-06,0.0,-2313.307243,-2305.08945,34,0.1769568099999999,0.0459155,0.0035650646876199342
38,N28,N22,16,5,1.08e-06,0.00345407,0.00770462,0.00347301,0.06057789,0.00347323,1e-06,0.002303,0.007701,0.003471,-2301.33319,-2305.08945,34,0.1769568099999999,0.0459155,-0.0016295506449869488
40,N22,N21,5,2,0.00345407,0.00486963,0.00347301,0.0459155,0.00347323,0.056881,0.002268,0.01988,0.003485,0.044963,-2345.609781,-2305.08945,34,0.1769568099999999,0.0459155,0.01757863713271525
41,N23,N21,17,2,1.8e-07,0.00486963,0.00770462,0.0459155,0.06522361,0.056881,0.001885,0.020357,0.007705,0.045106,-2347.765508,-2305.08945,34,0.1769568099999999,0.0459155,0.0185138403197325
42,Sp033,N20,1,22,0.0459155,0.0164451,0.0,0.00770462,0.0,0.07215109,0.049027,0.01725,0.0,0.007713,-2309.797947,-2305.08945,34,0.1769568099999999,0.0459155,0.002042652618101254
43,Sp032,N20,1,22,0.0109655,0.0164451,0.0,0.00770462,0.0,0.07215109,0.014578,0.016138,0.0,0.007669,-2308.847148,-2305.08945,34,0.1769568099999999,0.0459155,0.0016301744819490155
44,N20,Sp031,22,1,0.0164451,0.00804784,0.00770462,0.0,0.07215109,0.0,0.023842,0.008055,0.00747,0.0,-2324.93176,-2305.08945,34,0.1769568099999999,0.0459155,0.008608043388511451
45,N21,Sp031,2,1,0.00486963,0.00804784,0.0459155,0.0,0.056881,0.0,0.014339,0.008296,0.046299,0.0,-2324.953947,-2305.08945,34,0.1769568099999999,0.0459155,0.008617668611515283
