idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
2,Sp005,Sp003,1,1,0.00187378,0.00281039,0.0,0.0,0.0,0.0,0.001834,0.008408,0.0,0.0,-1905.379714,-1870.07862,11,0.054141180000000004,0.0131104,0.018876796741304876
3,N17,Sp003,2,1,7e-08,0.00281039,0.00187146,0.0,0.0037424499999999996,0.0,1e-06,0.007564,0.001873,0.0,-1901.275504,-1870.07862,11,0.054141180000000004,0.0131104,0.016682124305554574
6,Sp004,Sp000,1,1,0.00093585,0.00416221,0.0,0.0,0.0,0.0,0.000941,0.005669,0.0,0.0,-1876.528852,-1870.07862,11,0.054141180000000004,0.0131104,0.0034491769121449633
7,N13,Sp000,4,1,6e-08,0.00416221,0.00563564,0.0,0.014062329999999998,0.0,1e-06,0.005669,0.005642,0.0,-1876.528334,-1870.07862,11,0.054141180000000004,0.0131104,0.003448899918443047
9,Sp000,Sp010,1,1,0.00416221,0.0131104,0.0,0.0,0.0,0.0,0.003778,0.012545,0.0,0.0,-1867.327823,-1870.07862,11,0.054141180000000004,0.0131104,-0.0014709525955651642
10,N6,N5,6,2,9e-08,0.00069657,0.00563564,0.00268375,0.02065402,0.00268376,0.005222,0.004718,0.005643,1e-06,-1895.085386,-1870.07862,11,0.054141180000000004,0.0131104,0.013372039941294003
11,Sp010,N5,1,2,0.0131104,0.00069657,0.0,0.00268375,0.0,0.00268376,0.017553,0.003978,0.0,0.000197,-1894.98985,-1870.07862,11,0.054141180000000004,0.0131104,0.013320953319064164
12,Sp009,N4,1,7,1e-08,0.00643218,0.0,0.0131104,0.0,0.03376451,1e-06,0.00643,0.0,0.013108,-1870.076803,-1870.07862,11,0.054141180000000004,0.0131104,-9.716169045736036e-07
13,Sp006,N4,1,7,0.00268375,0.00643218,0.0,0.0131104,0.0,0.03376451,0.003381,0.006431,0.0,0.013108,-1870.075965,-1870.07862,11,0.054141180000000004,0.0131104,-1.419726407012927e-06
14,N4,Sp008,7,1,0.00643218,0.00545888,0.0131104,0.0,0.03376451,0.0,0.00559,0.005237,0.013146,0.0,-1867.49827,-1870.07862,11,0.054141180000000004,0.0131104,-0.001379808299182605
