idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
4,Sp013,Sp012,1,1,0.00276933,0.00275806,0.0,0.0,0.0,0.0,0.004057,0.002766,0.0,0.0,-1576.539309,-1571.41538,20,0.10841602999999998,0.0252545,0.0032607094630829497
5,Sp011,Sp012,1,1,0.0013768,0.00275806,0.0,0.0,0.0,0.0,0.002756,0.001378,0.0,0.0,-1571.601387,-1571.41538,20,0.10841602999999998,0.0252545,0.00011836908456376302
8,N24,Sp018,3,1,7e-08,0.00415686,0.00552511,0.0,0.00552521,0.0,1e-06,0.005542,0.005525,0.0,-1572.314963,-1571.41538,20,0.10841602999999998,0.0252545,0.0005724667146888436
9,N25,Sp018,3,1,1.5e-07,0.00415686,0.00276933,0.0,0.008279459999999999,0.0,1e-06,0.005542,0.002769,0.0,-1572.314965,-1571.41538,20,0.10841602999999998,0.0252545,0.0005724679874267971
10,N20,N19,6,4,0.00137483,2.2e-07,0.00552511,0.00571241,0.013804889999999998,0.013800490000000002,1e-06,0.001368,0.005523,0.005535,-1567.546948,-1571.41538,20,0.10841602999999998,0.0252545,-0.002461750119818723
11,Sp018,N19,1,4,0.00415686,2.2e-07,0.0,0.00571241,0.0,0.013800490000000002,0.004503,0.001713,0.0,0.005537,-1571.979906,-1571.41538,20,0.10841602999999998,0.0252545,0.00035924683389576756
14,N26,Sp019,2,1,2.3e-07,0.00571241,0.00550465,0.0,0.00550466,0.0,0.000197,0.008217,0.005461,0.0,-1576.457912,-1571.41538,20,0.10841602999999998,0.0252545,0.003208910937348828
15,Sp015,Sp019,1,1,1e-08,0.00571241,0.0,0.0,0.0,0.0,1e-06,0.008008,0.0,0.0,-1576.460283,-1571.41538,20,0.10841602999999998,0.0252545,0.0032104197681964756
17,N23,N18,3,7,0.00258318,0.00155444,0.00550465,0.00552511,0.0055049,0.01933658,1e-06,0.001368,0.005502,0.005523,-1567.398841,-1571.41538,20,0.10841602999999998,0.0252545,-0.0025560008201014083
18,N18,Sp000,7,1,0.00155444,0.0252545,0.00552511,0.0,0.01933658,0.0,0.002175,0.037164,0.005561,0.0,-1595.883973,-1571.41538,20,0.10841602999999998,0.0252545,0.015571053530098487
19,N19,Sp000,4,1,2.2e-07,0.0252545,0.00571241,0.0,0.013800490000000002,0.0,0.001396,0.036425,0.006693,0.0,-1593.769455,-1571.41538,20,0.10841602999999998,0.0252545,0.014225439870647184
20,N16,Sp008,11,1,0.0158222,0.00338343,0.00571241,0.0,0.034691730000000004,0.0,0.02569,0.003475,0.005639,0.0,-1587.843992,-1571.41538,20,0.10841602999999998,0.0252545,0.010454659034837853
21,Sp000,Sp008,1,1,0.0252545,0.00338343,0.0,0.0,0.0,0.0,0.034875,0.003475,0.0,0.0,-1587.844023,-1571.41538,20,0.10841602999999998,0.0252545,0.010454678762276206
22,N12,N11,12,2,0.0111617,0.0013773,0.0252545,0.0041505,0.07576843,0.00691841,0.012809,0.001412,0.025252,0.004152,-1574.299813,-1571.41538,20,0.10841602999999998,0.0252545,0.0018355636814501408
23,Sp008,N11,1,2,0.00338343,0.0013773,0.0,0.0041505,0.0,0.00691841,0.005014,0.001412,0.0,0.004152,-1574.299814,-1571.41538,20,0.10841602999999998,0.0252545,0.0018355643178190452
24,Sp007,N10,1,13,0.00276791,0.00153061,0.0,0.0252545,0.0,0.09031356,0.003957,0.001749,0.0,0.025266,-1575.365215,-1571.41538,20,0.10841602999999998,0.0252545,0.00251355246376685
25,Sp004,N10,1,13,0.0041505,0.00153061,0.0,0.0252545,0.0,0.09031356,0.005338,0.001748,0.0,0.025266,-1575.365193,-1571.41538,20,0.10841602999999998,0.0252545,0.002513538463649361
26,N10,Sp005,13,1,0.00153061,0.00137497,0.0252545,0.0,0.09031356,0.0,0.003051,0.001376,0.025265,0.0,-1576.597815,-1571.41538,20,0.10841602999999998,0.0252545,0.0032979408665328
27,N11,Sp005,2,1,0.0013773,0.00137497,0.0041505,0.0,0.00691841,0.0,0.002763,0.001376,0.004155,0.0,-1576.597814,-1571.41538,20,0.10841602999999998,0.0252545,0.0032979402301637505
30,N6,Sp002,16,1,1.4e-07,1e-08,0.0252545,0.0,0.1028907,0.0,0.002766,1e-06,0.025264,0.0,-1580.351113,-1571.41538,20,0.10841602999999998,0.0252545,0.0056864232803932645
31,Sp006,Sp002,1,1,0.0013828,1e-08,0.0,0.0,0.0,0.0,0.002776,1e-06,0.0,0.0,-1580.351113,-1571.41538,20,0.10841602999999998,0.0252545,0.0056864232803932645
