idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp020,N21,1,3,0.0177077,0.00886918,0.0,0.0324628,0.0,0.06974731,0.020522,0.01011,0.0,0.032323,-2683.632823,-2681.16253,21,0.6758529299999999,0.0570078,0.0009213514557059904
1,Sp019,N21,1,3,0.0217539,0.00886918,0.0,0.0324628,0.0,0.06974731,0.023702,0.009563,0.0,0.03229,-2683.116492,-2681.16253,21,0.6758529299999999,0.0570078,0.000728774170956375
2,Sp018,Sp016,1,1,0.0183203,0.0324628,0.0,0.0,0.0,0.0,0.021441,0.037115,0.0,0.0,-2688.054907,-2681.16253,21,0.6758529299999999,0.0570078,0.0025706673589833153
3,Sp017,Sp016,1,1,0.0107357,0.0324628,0.0,0.0,0.0,0.0,0.014093,0.03716,0.0,0.0,-2688.055204,-2681.16253,21,0.6758529299999999,0.0570078,0.0025707781318276574
4,N30,N20,2,2,0.00822851,0.00428776,0.0183203,0.0217539,0.029056000000000002,0.0394616,0.012511,0.008125,0.018294,0.022314,-2689.48255,-2681.16253,21,0.6758529299999999,0.0570078,0.003103138995456614
5,Sp016,N20,1,2,0.0324628,0.00428776,0.0,0.0217539,0.0,0.0394616,0.036458,0.007966,0.0,0.022335,-2689.474274,-2681.16253,21,0.6758529299999999,0.0570078,0.0031000522747123764
6,N20,Sp006,2,1,0.00428776,0.0337848,0.0217539,0.0,0.0394616,0.0,0.007641,0.055609,0.020602,0.0,-2712.345527,-2681.16253,21,0.6758529299999999,0.0570078,0.0116304016079174
7,N21,Sp006,3,1,0.00886918,0.0337848,0.0324628,0.0,0.06974731,0.0,0.010297,0.055184,0.033236,0.0,-2711.800196,-2681.16253,21,0.6758529299999999,0.0570078,0.011427008119496613
8,N14,Sp003,5,1,0.0239231,0.022922,0.0324628,0.0,0.12236585000000001,0.0,0.029812,0.02211,0.033412,0.0,-2685.632156,-2681.16253,21,0.6758529299999999,0.0570078,0.0016670477637922465
9,Sp006,Sp003,1,1,0.0337848,0.022922,0.0,0.0,0.0,0.0,0.041079,0.022193,0.0,0.0,-2685.661121,-2681.16253,21,0.6758529299999999,0.0570078,0.001677850913424496
