idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp016,N17,1,4,0.0301606,0.0371538,0.0,0.175183,0.0,0.3755353,0.033871,0.052649,0.0,0.179517,-5115.824321,-5104.41547,19,1.92988802,0.284406,0.0022350945112232685
1,Sp007,N17,1,4,0.0372621,0.0371538,0.0,0.175183,0.0,0.3755353,0.040263,0.050433,0.0,0.178469,-5115.153585,-5104.41547,19,1.92988802,0.284406,0.00210369141444517
2,Sp011,Sp018,1,1,0.0542685,0.0433438,0.0,0.0,0.0,0.0,0.070252,0.056772,0.0,0.0,-5121.910858,-5104.41547,19,1.92988802,0.284406,0.003427500779046161
3,Sp010,Sp018,1,1,0.0539746,0.0433438,0.0,0.0,0.0,0.0,0.069101,0.056783,0.0,0.0,-5121.910756,-5104.41547,19,1.92988802,0.284406,0.003427480796346757
4,Sp018,Sp001,1,1,0.0433438,0.175183,0.0,0.0,0.0,0.0,0.045481,0.182763,0.0,0.0,-5105.270489,-5104.41547,19,1.92988802,0.284406,0.00016750576143844707
5,N33,Sp001,2,1,0.0344296,0.175183,0.0542685,0.0,0.1082431,0.0,0.035679,0.182745,0.054914,0.0,-5105.27115,-5104.41547,19,1.92988802,0.284406,0.00016763525716680458
6,N28,N16,3,2,0.0143358,0.0206553,0.0542685,0.0372621,0.1860165,0.0674227,0.049665,0.023801,0.055326,0.03816,-5114.096081,-5104.41547,19,1.92988802,0.284406,0.0018965170560459436
7,Sp001,N16,1,2,0.175183,0.0206553,0.0,0.0372621,0.0,0.0674227,0.183613,0.01933,0.0,0.03771,-5107.566581,-5104.41547,19,1.92988802,0.284406,0.0006173304305889756
8,N16,N11,2,2,0.0206553,0.0278163,0.0372621,0.141915,0.0674227,0.2159605,0.028355,0.029865,0.034754,0.141039,-5107.351278,-5104.41547,19,1.92988802,0.284406,0.0005751506744023287
9,N17,N11,4,2,0.0371538,0.0278163,0.175183,0.141915,0.3755353,0.2159605,0.036007,0.02965,0.166838,0.141047,-5107.325163,-5104.41547,19,1.92988802,0.284406,0.0005700345156270197
10,Sp002,N10,1,6,0.0740455,0.0170535,0.0,0.175183,0.0,0.5007671,0.098236,0.008003,0.0,0.17729,-5108.525289,-5104.41547,19,1.92988802,0.284406,0.000805149781430359
11,Sp000,N10,1,6,0.141915,0.0170535,0.0,0.175183,0.0,0.5007671,0.164601,0.01573,0.0,0.175019,-5110.259815,-5104.41547,19,1.92988802,0.284406,0.001144958719435985
12,N10,N7,6,5,0.0170535,0.0151514,0.175183,0.284406,0.5007671,0.64371,0.020136,0.016569,0.17594,0.284556,-5105.081139,-5104.41547,19,1.92988802,0.284406,0.0001304104267985811
13,N11,N7,2,5,0.0278163,0.0151514,0.141915,0.284406,0.2159605,0.64371,0.026803,0.016085,0.141009,0.284923,-5104.593746,-5104.41547,19,1.92988802,0.284406,3.492584039199331e-05
14,Sp012,Sp017,1,1,0.0638762,0.0854227,0.0,0.0,0.0,0.0,0.068365,0.134708,0.0,0.0,-5141.752776,-5104.41547,19,1.92988802,0.284406,0.0073147074761922455
15,Sp009,Sp017,1,1,0.016397,0.0854227,0.0,0.0,0.0,0.0,0.024782,0.134783,0.0,0.0,-5141.752696,-5104.41547,19,1.92988802,0.284406,0.007314691803486688
16,Sp017,N13,1,2,0.0854227,0.0121493,0.0,0.284406,0.0,0.3728379,0.096675,0.011828,0.0,0.280475,-5109.879786,-5104.41547,19,1.92988802,0.284406,0.0010705076873377057
17,N21,N13,2,2,0.0688214,0.0121493,0.0638762,0.284406,0.08027319999999999,0.3728379,0.081222,0.008104,0.06256,0.283935,-5107.246418,-5104.41547,19,1.92988802,0.284406,0.0005546076757736586
18,Sp008,N12,1,3,0.0884319,0.0242055,0.0,0.0854227,0.0,0.2345173,0.097006,1e-06,0.0,0.085224,-5100.262082,-5104.41547,19,1.92988802,0.284406,-0.0008136853327105292
19,Sp004,N12,1,3,0.284406,0.0242055,0.0,0.0854227,0.0,0.2345173,0.293986,0.023991,0.0,0.085225,-5104.847568,-5104.41547,19,1.92988802,0.284406,8.465180832943125e-05
20,N12,N6,3,8,0.0242055,0.00678676,0.0854227,0.175183,0.2345173,0.7615974000000001,0.029895,0.007381,0.088704,0.174713,-5108.572303,-5104.41547,19,1.92988802,0.284406,0.0008143602385877116
21,N13,N6,2,8,0.0121493,0.00678676,0.284406,0.175183,0.3728379,0.7615974000000001,0.022492,0.002853,0.291756,0.174328,-5106.509895,-5104.41547,19,1.92988802,0.284406,0.0004103163256027489
22,N6,N5,8,4,0.00678676,0.0304949,0.175183,0.17156,0.7615974000000001,0.35155551,0.010838,0.037291,0.17531,0.170757,-5106.508352,-5104.41547,19,1.92988802,0.284406,0.0004100140382969096
23,N7,N5,5,4,0.0151514,0.0304949,0.284406,0.17156,0.64371,0.35155551,0.011776,0.035148,0.289253,0.170417,-5103.418717,-5104.41547,19,1.92988802,0.284406,-0.00019527270181248657
24,Sp013,Sp003,1,1,0.00667161,0.031755,0.0,0.0,0.0,0.0,0.027727,0.03439,0.0,0.0,-5107.901911,-5104.41547,19,1.92988802,0.284406,0.0006830245344429249
25,Sp005,Sp003,1,1,0.17156,0.031755,0.0,0.0,0.0,0.0,0.192754,0.034396,0.0,0.0,-5107.901979,-5104.41547,19,1.92988802,0.284406,0.0006830378562425869
26,N14,Sp006,2,1,0.0235516,0.0674879,0.17156,0.0,0.17823160999999998,0.0,0.026007,0.087525,0.173779,0.0,-5119.975749,-5104.41547,19,1.92988802,0.284406,0.0030483958626510987
27,Sp003,Sp006,1,1,0.031755,0.0674879,0.0,0.0,0.0,0.0,0.034816,0.088156,0.0,0.0,-5120.092756,-5104.41547,19,1.92988802,0.284406,0.003071318565688795
28,N8,N4,3,13,0.0505294,0.00901702,0.17156,0.284406,0.23353821,1.42724556,0.075694,0.01314,0.171597,0.283487,-5111.633679,-5104.41547,19,1.92988802,0.284406,0.0014141107914163696
29,Sp006,N4,1,13,0.0674879,0.00901702,0.0,0.284406,0.0,1.42724556,0.068591,0.011135,0.0,0.281284,-5106.876411,-5104.41547,19,1.92988802,0.284406,0.0004821200418468827
30,N4,Sp015,13,1,0.00901702,0.0218655,0.284406,0.0,1.42724556,0.0,0.065138,0.021251,0.289271,0.0,-5157.632958,-5104.41547,19,1.92988802,0.284406,0.010425775157365908
31,N5,Sp015,4,1,0.0304949,0.0218655,0.17156,0.0,0.35155551,0.0,0.079997,0.022109,0.170828,0.0,-5157.700105,-5104.41547,19,1.92988802,0.284406,0.010438929846750891
