idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp019,N37,1,2,0.00132101,0.00131213,0.0,1e-08,0.0,2e-08,0.001321,0.002628,0.0,1e-06,-3425.192285,-3419.66205,23,0.51375473,0.114978,0.0016171875814454165
1,Sp017,N37,1,2,6e-08,0.00131213,0.0,1e-08,0.0,2e-08,1e-06,0.002628,0.0,1e-06,-3425.192285,-3419.66205,23,0.51375473,0.114978,0.0016171875814454165
2,Sp010,N36,1,2,1e-08,0.00131293,0.0,0.00132101,0.0,0.0013210700000000001,1e-06,0.00263,0.0,0.001322,-3424.672072,-3419.66205,23,0.51375473,0.114978,0.0014650634848551586
3,Sp005,N36,1,2,1e-08,0.00131293,0.0,0.00132101,0.0,0.0013210700000000001,1e-06,0.00263,0.0,0.001322,-3424.672072,-3419.66205,23,0.51375473,0.114978,0.0014650634848551586
4,N36,Sp020,2,1,0.00131293,0.0196315,0.00132101,0.0,0.0013210700000000001,0.0,0.001351,0.021249,0.001321,0.0,-3423.047744,-3419.66205,23,0.51375473,0.114978,0.0009900668400844048
5,N37,Sp020,2,1,0.00131213,0.0196315,1e-08,0.0,2e-08,0.0,0.001351,0.021249,1e-06,0.0,-3423.047748,-3419.66205,23,0.51375473,0.114978,0.0009900680097906305
6,N30,N25,4,2,0.0015201,0.0222074,0.00132101,0.0359421,0.00394615,0.036982049999999995,0.001673,0.023364,0.001322,0.035987,-3420.931712,-3419.66205,23,0.51375473,0.114978,0.00037128288744209476
7,Sp020,N25,1,2,0.0196315,0.0222074,0.0,0.0359421,0.0,0.036982049999999995,0.018638,0.023192,0.0,0.035985,-3419.34788,-3419.66205,23,0.51375473,0.114978,-9.187165146921573e-05
8,Sp014,N24,1,5,0.0359421,0.00145849,0.0,0.0196315,0.0,0.02509775,0.056433,0.003015,0.0,0.019867,-3470.877131,-3419.66205,23,0.51375473,0.114978,0.014976649812515914
9,Sp008,N24,1,5,0.00103995,0.00145849,0.0,0.0196315,0.0,0.02509775,0.021723,0.003006,0.0,0.019867,-3470.877023,-3419.66205,23,0.51375473,0.114978,0.014976618230447684
10,N24,N19,5,2,0.00145849,0.014546,0.0196315,0.0118009,0.02509775,0.02110761,0.006741,0.016302,0.018578,0.011812,-3437.629923,-3419.66205,23,0.51375473,0.114978,0.0052542832412343365
11,N25,N19,2,2,0.0222074,0.014546,0.0359421,0.0118009,0.036982049999999995,0.02110761,0.027108,0.017436,0.03606,0.011822,-3438.295237,-3419.66205,23,0.51375473,0.114978,0.005448838723697831
12,Sp009,N18,1,7,0.00930671,0.00938872,0.0,0.0359421,0.0,0.08574569,0.021084,0.011582,0.0,0.036019,-3456.221084,-3419.66205,23,0.51375473,0.114978,0.010690832446440104
13,Sp002,N18,1,7,0.0118009,0.00938872,0.0,0.0359421,0.0,0.08574569,0.023395,0.011566,0.0,0.03602,-3456.220732,-3419.66205,23,0.51375473,0.114978,0.010690729512292104
14,N18,N15,7,2,0.00938872,0.0147999,0.0359421,0.00661838,0.08574569,0.01235655,0.010686,0.017478,0.035963,0.006623,-3425.290108,-3419.66205,23,0.51375473,0.114978,0.0016457936245484368
15,N19,N15,2,2,0.014546,0.0147999,0.0118009,0.00661838,0.02110761,0.01235655,0.015772,0.017474,0.011809,0.006623,-3425.290151,-3419.66205,23,0.51375473,0.114978,0.001645806198890397
16,Sp013,N14,1,9,0.00661838,0.0037999,0.0,0.0359421,0.0,0.13078802,0.008032,0.017251,0.0,0.036063,-3458.791931,-3419.66205,23,0.51375473,0.114978,0.011442616383686306
17,Sp007,N14,1,9,0.00573817,0.0037999,0.0,0.0359421,0.0,0.13078802,0.007227,0.017264,0.0,0.036063,-3458.79166,-3419.66205,23,0.51375473,0.114978,0.01144253713608921
18,N14,N13,9,6,0.0037999,0.016036,0.0359421,0.0317382,0.13078802,0.09595213,0.006003,0.028531,0.036008,0.031911,-3456.117661,-3419.66205,23,0.51375473,0.114978,0.010660588814617023
19,N15,N13,2,6,0.0147999,0.016036,0.00661838,0.0317382,0.01235655,0.09595213,0.017271,0.028488,0.006631,0.031912,-3456.117865,-3419.66205,23,0.51375473,0.114978,0.01066064846963467
23,Sp006,Sp015,1,1,0.0133268,0.0158244,0.0,0.0,0.0,0.0,0.010649,0.015816,0.0,0.0,-3411.352808,-3419.66205,23,0.51375473,0.114978,-0.0024298430308339427
24,N28,Sp021,3,1,6e-08,0.0145828,0.0133268,0.0,0.02167925,0.0,1e-06,0.016105,0.0107,0.0,-3422.646154,-3419.66205,23,0.51375473,0.114978,0.0008726312589865761
25,Sp015,Sp021,1,1,0.0158244,0.0145828,0.0,0.0,0.0,0.0,0.018243,0.016105,0.0,0.0,-3422.645981,-3419.66205,23,0.51375473,0.114978,0.000872580669192212
26,N22,Sp001,4,1,0.00371644,0.0317382,0.0158244,0.0,0.037503709999999996,0.0,0.004059,0.039413,0.015842,0.0,-3433.092578,-3419.66205,23,0.51375473,0.114978,0.003927443064147192
27,Sp021,Sp001,1,1,0.0145828,0.0317382,0.0,0.0,0.0,0.0,0.014983,0.040173,0.0,0.0,-3433.577025,-3419.66205,23,0.51375473,0.114978,0.004069108232493366
28,N16,N12,5,11,0.00841098,0.0153417,0.0158244,0.0359421,0.05580295,0.16174437,0.021324,0.01834,0.015868,0.03602,-3453.764712,-3419.66205,23,0.51375473,0.114978,0.00997252403932729
29,Sp001,N12,1,11,0.0317382,0.0153417,0.0,0.0359421,0.0,0.16174437,0.04524,0.018439,0.0,0.036016,-3453.76657,-3419.66205,23,0.51375473,0.114978,0.00997306736787042
30,N12,Sp003,11,1,0.0153417,0.0270489,0.0359421,0.0,0.16174437,0.0,0.016615,0.031354,0.035983,0.0,-3423.977165,-3419.66205,23,0.51375473,0.114978,0.0012618542232849816
31,N13,Sp003,6,1,0.016036,0.0270489,0.0317382,0.0,0.09595213,0.0,0.016875,0.031026,0.031735,0.0,-3423.799464,-3419.66205,23,0.51375473,0.114978,0.0012098897316476821
32,N10,Sp000,17,1,0.00510544,0.114978,0.0359421,0.0,0.2890742,0.0,0.004993,0.116516,0.035946,0.0,-3420.081566,-3419.66205,23,0.51375473,0.114978,0.00012267761956183084
