idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
14,N70,Sp034,8,1,1e-08,1e-08,1e-08,0.0,1.4e-07,0.0,1e-06,1e-06,1e-06,0.0,-3757.912287,-3757.72357,44,0.1673726899999999,0.134705,5.0221097024440496e-05
15,Sp009,Sp034,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-3757.912287,-3757.72357,44,0.1673726899999999,0.134705,5.0221097024440496e-05
28,Sp011,Sp029,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-3757.878104,-3757.72357,44,0.1673726899999999,0.134705,4.112436615442285e-05
29,Sp010,Sp029,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-3757.878104,-3757.72357,44,0.1673726899999999,0.134705,4.112436615442285e-05
32,N24,Sp036,15,1,1.1e-06,0.00065839,0.00245014,0.0,0.0031198,0.0,1e-06,0.00198,0.002457,0.0,-3772.063462,-3757.72357,44,0.1673726899999999,0.134705,0.0038161114655913776
33,N25,Sp036,3,1,1.22e-06,0.00065839,0.00163238,0.0,0.00163241,0.0,1e-06,0.00198,0.001633,0.0,-3772.063463,-3757.72357,44,0.1673726899999999,0.134705,0.0038161117317099106
38,Sp039,N12,1,19,1e-08,1.2e-07,0.0,0.00245014,0.0,0.00686165,1e-06,0.001918,0.0,0.002461,-3777.506843,-3757.72357,44,0.1673726899999999,0.134705,0.005264696200098617
39,N19,N12,2,19,1e-08,1.2e-07,1e-08,0.00245014,2e-08,0.00686165,1e-06,0.001918,1e-06,0.002461,-3777.506843,-3757.72357,44,0.1673726899999999,0.134705,0.005264696200098617
40,N12,N11,19,17,1.2e-07,0.00173183,0.00245014,0.134705,0.00686165,0.14940271,1e-06,0.002892,0.002456,0.134754,-3768.686036,-3757.72357,44,0.1673726899999999,0.134705,0.0029173157087762974
41,N13,N11,3,17,0.00197855,0.00173183,1e-08,0.134705,4e-08,0.14940271,0.001979,0.002892,1e-06,0.134754,-3768.686028,-3757.72357,44,0.1673726899999999,0.134705,0.0029173135798277916
42,Sp043,Sp019,1,1,0.134705,0.00296248,0.0,0.0,0.0,0.0,0.136086,0.002966,0.0,0.0,-3759.067291,-3757.72357,44,0.1673726899999999,0.134705,0.000357589102808787
43,Sp042,Sp019,1,1,0.00353193,0.00296248,0.0,0.0,0.0,0.0,0.004634,0.002966,0.0,0.0,-3759.06693,-3757.72357,44,0.1673726899999999,0.134705,0.0003574930340072481
44,N20,N15,2,14,0.00113537,0.00115496,0.134705,0.00216655,0.13823692999999998,0.0053329300000000005,0.001685,0.001328,0.134673,0.002166,-3762.181861,-3757.72357,44,0.1673726899999999,0.134705,0.0011864339983901258
45,Sp019,N15,1,14,0.00296248,0.00115496,0.0,0.00216655,0.0,0.0053329300000000005,0.00338,0.001326,0.0,0.002166,-3762.181792,-3757.72357,44,0.1673726899999999,0.134705,0.0011864156362091718
54,Sp028,N31,1,2,1e-08,0.00065301,0.0,1e-08,0.0,2e-08,1e-06,0.001303,0.0,1e-06,-3762.055116,-3757.72357,44,0.1673726899999999,0.134705,0.0011527048010079915
55,N39,N31,5,2,3e-08,0.00065301,5e-08,1e-08,2.1e-07,2e-08,1e-06,0.001303,1e-06,1e-06,-3762.054899,-3757.72357,44,0.1673726899999999,0.134705,0.0011526470532796792
56,Sp027,N30,1,6,1e-08,0.00056917,0.0,5e-08,0.0,2.5e-07,1e-06,0.001142,0.0,1e-06,-3763.602071,-3757.72357,44,0.1673726899999999,0.134705,0.0015643782440334447
57,Sp026,N30,1,6,1e-08,0.00056917,0.0,5e-08,0.0,2.5e-07,1e-06,0.001142,0.0,1e-06,-3763.602071,-3757.72357,44,0.1673726899999999,0.134705,0.0015643782440334447
58,N30,N23,6,6,0.00056917,0.00071614,5e-08,0.00065447,2.5e-07,0.00122779,1e-06,0.002297,1e-06,0.000655,-3769.774193,-3757.72357,44,0.1673726899999999,0.134705,0.0032068944869194003
59,N31,N23,2,6,0.00065301,0.00071614,1e-08,0.00065447,2e-08,0.00122779,0.000776,0.002187,1e-06,0.000655,-3769.903318,-3757.72357,44,0.1673726899999999,0.134705,0.003241257046483602
66,N42,Sp025,4,1,3e-08,1e-08,4e-08,0.0,1.1e-07,0.0,1e-06,0.000654,1e-06,0.0,-3758.626204,-3757.72357,44,0.1673726899999999,0.134705,0.00024020766381174614
67,Sp022,Sp025,1,1,0.00065447,1e-08,0.0,0.0,0.0,0.0,0.000654,0.000654,0.0,0.0,-3758.626421,-3757.72357,44,0.1673726899999999,0.134705,0.00024026541154005846
68,Sp025,N22,1,8,1e-08,0.00216655,0.0,0.00065301,0.0,0.00122245,1e-06,0.002308,0.0,0.000652,-3756.779998,-3757.72357,44,0.1673726899999999,0.134705,-0.0002511020255809107
69,N33,N22,5,8,0.00057317,0.00216655,0.00065447,0.00065301,0.00065461,0.00122245,0.000573,0.002888,0.000654,0.000653,-3763.056619,-3757.72357,44,0.1673726899999999,0.134705,0.0014192233411144306
70,N22,N14,8,3,0.00216655,0.00058004,0.00065301,0.134705,0.00122245,0.14233477999999997,0.003076,0.000669,0.000728,0.134738,-3767.270286,-3757.72357,44,0.1673726899999999,0.134705,0.0025405583519279022
71,N23,N14,6,3,0.00071614,0.00058004,0.00065447,0.134705,0.00122779,0.14233477999999997,0.001657,0.000674,0.000734,0.134742,-3767.252524,-3757.72357,44,0.1673726899999999,0.134705,0.002535831553995837
72,N14,N10,3,22,0.00058004,0.00145006,0.134705,0.00245014,0.14233477999999997,0.00884036,0.001339,0.002523,0.134801,0.002459,-3772.985458,-3757.72357,44,0.1673726899999999,0.134705,0.004061471717037451
73,N15,N10,14,22,0.00115496,0.00145006,0.00216655,0.00245014,0.0053329300000000005,0.00884036,0.001333,0.002525,0.002081,0.002459,-3772.985692,-3757.72357,44,0.1673726899999999,0.134705,0.004061533988781428
76,N8,Sp021,39,1,2.1e-07,3e-08,0.134705,0.0,0.16142495999999998,0.0,0.002314,1e-06,0.134782,0.0,-3764.180789,-3757.72357,44,0.1673726899999999,0.134705,0.0017183858470994169
77,Sp000,Sp021,1,1,0.00124871,3e-08,0.0,0.0,0.0,0.0,0.002503,1e-06,0.0,0.0,-3764.18026,-3757.72357,44,0.1673726899999999,0.134705,0.001718245070379134
78,N6,Sp040,40,1,0.00231176,1e-08,0.134705,0.0,0.16267388,0.0,0.004056,1e-06,0.13478,0.0,-3775.763159,-3757.72357,44,0.1673726899999999,0.134705,0.004800669518114654
79,Sp021,Sp040,1,1,3e-08,1e-08,0.0,0.0,0.0,0.0,0.001781,1e-06,0.0,0.0,-3775.763159,-3757.72357,44,0.1673726899999999,0.134705,0.004800669518114654
