idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp008,N15,1,3,0.00549877,0.00548439,0.0,0.0143648,0.0,0.029945120000000002,0.005629,0.006803,0.0,0.014439,-3024.505461,-3023.90299,12,0.5601115400000001,0.105948,0.00019923621954557162
1,Sp006,N15,1,3,0.0178871,0.00548439,0.0,0.0143648,0.0,0.029945120000000002,0.017762,0.006711,0.0,0.014445,-3024.501806,-3023.90299,12,0.5601115400000001,0.105948,0.00019802751674919634
2,Sp009,Sp001,1,1,0.00302382,0.00828576,0.0,0.0,0.0,0.0,0.004995,0.020719,0.0,0.0,-3048.194097,-3023.90299,12,0.5601115400000001,0.105948,0.00803303117868871
3,Sp004,Sp001,1,1,0.00427074,0.00828576,0.0,0.0,0.0,0.0,0.005129,0.020711,0.0,0.0,-3048.194072,-3023.90299,12,0.5601115400000001,0.105948,0.008033022911227629
4,N18,N14,2,2,0.0143648,0.00178421,0.00427074,0.0178871,0.00729456,0.02338587,0.011597,0.00424,0.003868,0.018177,-3023.230352,-3023.90299,12,0.5601115400000001,0.105948,-0.00022244033695009716
5,Sp001,N14,1,2,0.00828576,0.00178421,0.0,0.0178871,0.0,0.02338587,0.00858,0.004414,0.0,0.018436,-3029.242035,-3023.90299,12,0.5601115400000001,0.105948,0.0017656138499337801
6,N14,Sp011,2,1,0.00178421,0.025835,0.0178871,0.0,0.02338587,0.0,0.005859,0.044768,0.018529,0.0,-3040.073634,-3023.90299,12,0.5601115400000001,0.105948,0.005347606736550702
7,N15,Sp011,3,1,0.00548439,0.025835,0.0143648,0.0,0.029945120000000002,0.0,0.00425,0.044158,0.011343,0.0,-3039.053389,-3023.90299,12,0.5601115400000001,0.105948,0.005010213307140553
8,N12,Sp000,5,1,0.0232643,0.105948,0.0178871,0.0,0.06059959,0.0,0.020778,0.114101,0.017645,0.0,-3027.182077,-3023.90299,12,0.5601115400000001,0.105948,0.001084388953892959
9,Sp011,Sp000,1,1,0.025835,0.105948,0.0,0.0,0.0,0.0,0.024869,0.113134,0.0,0.0,-3026.617997,-3023.90299,12,0.5601115400000001,0.105948,0.0008978485781383439
10,N10,Sp010,6,1,0.0172704,0.0474096,0.025835,0.0,0.10969889,0.0,0.041799,0.067434,0.027005,0.0,-3052.424794,-3023.90299,12,0.5601115400000001,0.105948,0.009432116074596684
11,Sp000,Sp010,1,1,0.105948,0.0474096,0.0,0.0,0.0,0.0,0.131311,0.067208,0.0,0.0,-3052.424327,-3023.90299,12,0.5601115400000001,0.105948,0.009431961638425487
12,N6,N5,7,2,0.0511526,0.0358274,0.105948,0.0576435,0.23291729,0.096269,0.07235,0.046233,0.105706,0.05553,-3049.321146,-3023.90299,12,0.5601115400000001,0.105948,0.008405744524231639
13,Sp010,N5,1,2,0.0474096,0.0358274,0.0,0.0576435,0.0,0.096269,0.062936,0.041476,0.0,0.057028,-3046.35794,-3023.90299,12,0.5601115400000001,0.105948,0.007425816924107022
14,Sp007,N4,1,8,0.0386255,0.0339229,0.0,0.105948,0.0,0.33147949,0.049859,0.04654,0.0,0.106763,-3047.139642,-3023.90299,12,0.5601115400000001,0.105948,0.007684324555663093
15,Sp003,N4,1,8,0.0576435,0.0339229,0.0,0.105948,0.0,0.33147949,0.068786,0.047811,0.0,0.106761,-3047.649503,-3023.90299,12,0.5601115400000001,0.105948,0.007852934792726286
16,N4,Sp005,8,1,0.0339229,0.00911654,0.105948,0.0,0.33147949,0.0,0.077143,0.00888,0.104994,0.0,-3072.308571,-3023.90299,12,0.5601115400000001,0.105948,0.016007650099912757
17,N5,Sp005,2,1,0.0358274,0.00911654,0.0576435,0.0,0.096269,0.0,0.083541,0.004319,0.058679,0.0,-3069.354526,-3023.90299,12,0.5601115400000001,0.105948,0.015030752028192556
