idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp006,Sp002,1,1,0.00200048,0.00322922,0.0,0.0,0.0,0.0,0.002646,0.004678,0.0,0.0,-2565.291997,-2554.87887,11,0.09472761999999998,0.039795,0.004075781095641455
1,Sp005,Sp002,1,1,0.00358221,0.00322922,0.0,0.0,0.0,0.0,0.004346,0.005484,0.0,0.0,-2568.444843,-2554.87887,11,0.09472761999999998,0.039795,0.005309830207331987
2,N12,Sp004,2,1,0.00323953,0.00301201,0.00358221,0.0,0.0055826899999999995,0.0,0.003295,0.002963,0.003723,0.0,-2555.17766,-2554.87887,11,0.09472761999999998,0.039795,0.00011694879295777582
3,Sp002,Sp004,1,1,0.00322922,0.00301201,0.0,0.0,0.0,0.0,0.004028,0.003427,0.0,0.0,-2558.786148,-2554.87887,11,0.09472761999999998,0.039795,0.0015293398234571226
4,N8,N7,3,4,0.00148248,4.3e-07,0.00358221,0.039795,0.012051439999999998,0.055442359999999996,0.002371,1e-06,0.003942,0.039416,-2559.551121,-2554.87887,11,0.09472761999999998,0.039795,0.0018287563668331409
5,Sp004,N7,1,4,0.00301201,4.3e-07,0.0,0.039795,0.0,0.055442359999999996,0.003785,1e-06,0.0,0.039468,-2559.569466,-2554.87887,11,0.09472761999999998,0.039795,0.0018359367463866942
6,Sp003,Sp007,1,1,0.00232604,0.00835726,0.0,0.0,0.0,0.0,0.002326,0.008366,0.0,0.0,-2554.878082,-2554.87887,11,0.09472761999999998,0.039795,-3.084294950662301e-07
7,Sp000,Sp007,1,1,0.039795,0.00835726,0.0,0.0,0.0,0.0,0.039795,0.008365,0.0,0.0,-2554.87819,-2554.87887,11,0.09472761999999998,0.039795,-2.661574323882347e-07
8,Sp007,Sp009,1,1,0.00835726,0.00492243,0.0,0.0,0.0,0.0,0.008367,0.004922,0.0,0.0,-2554.879272,-2554.87887,11,0.09472761999999998,0.039795,1.573460115241847e-07
9,N15,Sp009,2,1,1.7e-07,0.00492243,0.039795,0.0,0.04212104,0.0,1e-06,0.004922,0.039794,0.0,-2554.878813,-2554.87887,11,0.09472761999999998,0.039795,-2.231025543576919e-08
10,Sp009,N6,1,4,0.00492243,0.00190622,0.0,0.00358221,0.0,0.016545929999999997,0.004922,0.001906,0.0,0.003582,-2554.878415,-2554.87887,11,0.09472761999999998,0.039795,-1.7809063483092526e-07
12,N6,Sp010,4,1,0.00190622,0.00741708,0.00358221,0.0,0.016545929999999997,0.0,0.001911,0.007441,0.003582,0.0,-2555.301014,-2554.87887,11,0.09472761999999998,0.039795,0.00016523053400183964
13,N7,Sp010,4,1,4.3e-07,0.00741708,0.039795,0.0,0.055442359999999996,0.0,0.001565,0.007445,0.039683,0.0,-2555.301499,-2554.87887,11,0.09472761999999998,0.039795,0.00016542036687639233
14,N4,Sp008,8,1,0.0022849,0.00166964,0.039795,0.0,0.07389493999999999,0.0,0.005271,0.002325,0.039776,0.0,-2567.015731,-2554.87887,11,0.09472761999999998,0.039795,0.004750464353717072
15,Sp010,Sp008,1,1,0.00741708,0.00166964,0.0,0.0,0.0,0.0,0.009326,0.002347,0.0,0.0,-2567.015042,-2554.87887,11,0.09472761999999998,0.039795,0.004750194673612838
