idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
6,N14,N13,4,3,1e-08,0.00039142,1e-08,0.00078332,6e-08,0.00117479,1e-06,0.000783,1e-06,0.000783,-5651.485449,-5643.18185,14,0.13473186999999998,0.064714,0.0014714392023357974
7,Sp007,N13,1,3,0.00039142,0.00039142,0.0,0.00078332,0.0,0.00117479,0.000783,0.000392,0.0,0.000783,-5650.994004,-5643.18185,14,0.13473186999999998,0.064714,0.0013843526945707396
10,Sp006,N12,1,5,0.00078332,0.00039141,0.0,0.00039142,0.0,0.00039149000000000003,0.001175,0.000392,0.0,0.000391,-5650.4417,-5643.18185,14,0.13473186999999998,0.064714,0.0012864816681391136
11,N17,N12,2,5,1e-08,0.00039141,0.00039145,0.00039142,0.00039146,0.00039149000000000003,0.000391,0.000392,0.000392,0.000391,-5650.441699,-5643.18185,14,0.13473186999999998,0.064714,0.0012864814909340607
14,N10,Sp009,8,1,3e-08,0.00247755,0.00078332,0.0,0.0023491099999999997,0.0,1e-06,0.003898,0.000784,0.0,-5654.580595,-5643.18185,14,0.13473186999999998,0.064714,0.002019914527475385
15,Sp008,Sp009,1,1,0.00155568,0.00247755,0.0,0.0,0.0,0.0,0.001556,0.003898,0.0,0.0,-5654.579855,-5643.18185,14,0.13473186999999998,0.064714,0.0020197833957805228
16,N8,Sp010,9,1,0.00141672,0.00766176,0.00155568,0.0,0.00390482,0.0,0.001131,0.011888,0.001558,0.0,-5664.614551,-5643.18185,14,0.13473186999999998,0.064714,0.0037979816298139893
17,Sp009,Sp010,1,1,0.00247755,0.00766176,0.0,0.0,0.0,0.0,0.002547,0.012036,0.0,0.0,-5666.030871,-5643.18185,14,0.13473186999999998,0.064714,0.00404896060544283
18,N6,Sp011,10,1,0.00432829,0.0242946,0.00247755,0.0,0.00779909,0.0,0.004575,0.048741,0.002685,0.0,-5734.173523,-5643.18185,14,0.13473186999999998,0.064714,0.01612417877336355
19,Sp010,Sp011,1,1,0.00766176,0.0242946,0.0,0.0,0.0,0.0,0.008285,0.048741,0.0,0.0,-5734.173134,-5643.18185,14,0.13473186999999998,0.064714,0.01612410984062116
20,N4,Sp013,11,1,0.025157,0.00038834,0.00766176,0.0,0.01978914,0.0,0.085023,0.000394,0.007746,0.0,-5971.362147,-5643.18185,14,0.13473186999999998,0.064714,0.058155187219423005
21,Sp011,Sp013,1,1,0.0242946,0.00038834,0.0,0.0,0.0,0.0,0.087581,0.000394,0.0,0.0,-5971.362147,-5643.18185,14,0.13473186999999998,0.064714,0.058155187219423005
