idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp029,Sp008,1,1,0.00203004,1e-08,0.0,0.0,0.0,0.0,0.004072,1e-06,0.0,0.0,-938.85354,-932.73583,43,0.07157347,0.0187115,0.0065588881687969345
1,Sp024,Sp008,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,0.002031,1e-06,0.0,0.0,-938.853281,-932.73583,43,0.07157347,0.0187115,0.006558610491032679
14,Sp023,Sp019,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-932.760093,-932.73583,43,0.07157347,0.0187115,2.601272431018225e-05
15,Sp018,Sp019,1,1,0.00101623,1e-08,0.0,0.0,0.0,0.0,0.002029,1e-06,0.0,0.0,-932.760093,-932.73583,43,0.07157347,0.0187115,2.601272431018225e-05
38,Sp041,N59,1,3,0.00204039,2.2e-07,0.0,0.00407336,0.0,0.00610639,0.004095,1e-06,0.0,0.004077,-937.101477,-932.73583,43,0.07157347,0.0187115,0.004680475285269229
39,Sp040,N59,1,3,0.00616014,2.2e-07,0.0,0.00407336,0.0,0.00610639,0.008228,1e-06,0.0,0.004077,-937.101476,-932.73583,43,0.07157347,0.0187115,0.0046804742131543115
46,N48,Sp034,5,1,4.4e-07,1e-08,0.00616014,0.0,0.016350339999999998,0.0,1e-06,1e-06,0.00616,0.0,-932.749161,-932.73583,43,0.07157347,0.0187115,1.429236400192085e-05
47,Sp035,Sp034,1,1,1e-08,1e-08,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,-932.748805,-932.73583,43,0.07157347,0.0187115,1.39106910902984e-05
48,N38,N31,6,2,0.00229544,0.00098869,0.00616014,0.00104478,0.01635079,0.0010447899999999999,0.008183,0.000974,0.006161,0.00106,-932.749166,-932.73583,43,0.07157347,0.0187115,1.4297724576508594e-05
49,Sp034,N31,1,2,1e-08,0.00098869,0.0,0.00104478,0.0,0.0010447899999999999,1e-06,0.000974,0.0,0.00106,-932.749163,-932.73583,43,0.07157347,0.0187115,1.4294508231755946e-05
50,Sp030,N30,1,7,0.00104478,0.0058143,0.0,0.00616014,0.0,0.01864624,0.002036,0.005924,0.0,0.00616,-932.758344,-932.73583,43,0.07157347,0.0187115,2.4137595314635908e-05
51,Sp027,N30,1,7,1e-08,0.0058143,0.0,0.00616014,0.0,0.01864624,1e-06,0.005924,0.0,0.00616,-932.758219,-932.73583,43,0.07157347,0.0187115,2.4003580949698538e-05
60,Sp014,Sp003,1,1,0.00097163,1e-08,0.0,0.0,0.0,0.0,0.000989,1e-06,0.0,0.0,-932.760713,-932.73583,43,0.07157347,0.0187115,2.667743556076889e-05
62,N24,N21,2,2,0.00056797,1.3e-07,0.00097163,1e-08,0.0009716400000000001,2e-08,0.001039,1e-06,0.000989,1e-06,-932.76071,-932.73583,43,0.07157347,0.0187115,2.6674219216016246e-05
63,Sp003,N21,1,2,1e-08,1.3e-07,0.0,1e-08,0.0,2e-08,1e-06,1e-06,0.0,1e-06,-932.760712,-932.73583,43,0.07157347,0.0187115,2.6676363445851343e-05
66,N20,Sp006,3,1,0.00048979,1e-08,0.00097163,0.0,0.00153962,0.0,0.000468,1e-06,0.000993,0.0,-932.76033,-932.73583,43,0.07157347,0.0187115,2.626681554625074e-05
67,N21,Sp006,2,1,1.3e-07,1e-08,1e-08,0.0,2e-08,0.0,1e-06,1e-06,1e-06,0.0,-932.760331,-932.73583,43,0.07157347,0.0187115,2.6267887661168288e-05
68,N16,N12,5,31,0.00168786,2.4e-07,0.00097163,0.00616014,0.00202956,0.03663379,0.002023,1e-06,0.000993,0.00616,-932.76033,-932.73583,43,0.07157347,0.0187115,2.626681554625074e-05
69,Sp006,N12,1,31,1e-08,2.4e-07,0.0,0.00616014,0.0,0.03663379,1e-06,1e-06,0.0,0.00616,-932.76033,-932.73583,43,0.07157347,0.0187115,2.626681554625074e-05
74,N8,Sp042,38,1,1.3e-07,0.0187115,0.00616014,0.0,0.040680400000000005,0.0,1e-06,0.020809,0.006165,0.0,-935.782905,-932.73583,43,0.07157347,0.0187115,0.0032668145706379304
75,Sp013,Sp042,1,1,0.00203172,0.0187115,0.0,0.0,0.0,0.0,0.002034,0.020811,0.0,0.0,-935.783103,-932.73583,43,0.07157347,0.0187115,0.0032670268493920924
76,N6,Sp015,39,1,0.00202655,1e-08,0.00616014,0.0,0.04271225000000001,0.0,0.004069,1e-06,0.006165,0.0,-935.92117,-932.73583,43,0.07157347,0.0187115,0.0034150505400870005
77,Sp042,Sp015,1,1,0.0187115,1e-08,0.0,0.0,0.0,0.0,0.018772,1e-06,0.0,0.0,-933.803474,-932.73583,43,0.07157347,0.0187115,0.0011446370619214732
78,N4,Sp039,40,1,0.00269446,2.8e-07,0.0187115,0.0,0.06345030000000002,0.0,0.006135,1e-06,0.01668,0.0,-941.383034,-932.73583,43,0.07157347,0.0187115,0.009270796426893978
79,Sp015,Sp039,1,1,1e-08,2.8e-07,0.0,0.0,0.0,0.0,0.004061,1e-06,0.0,0.0,-941.383193,-932.73583,43,0.07157347,0.0187115,0.009270966893166355
