idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp017,Sp002,1,1,0.668792,0.774395,0.0,0.0,0.0,0.0,0.695319,0.859703,0.0,0.0,-21050.688043,-21040.8282,38,39.65421741000001,7.40554,0.0004686052709654444
1,Sp016,Sp002,1,1,0.431505,0.774395,0.0,0.0,0.0,0.0,0.51391,0.864107,0.0,0.0,-21050.700184,-21040.8282,38,39.65421741000001,7.40554,0.0004691822919784711
2,N52,N43,2,2,0.217211,0.713157,0.668792,0.496731,1.100297,0.859189,0.266972,0.639022,0.651305,0.472961,-21041.091326,-21040.8282,38,39.65421741000001,7.40554,1.250549633790785e-05
3,Sp002,N43,1,2,0.774395,0.713157,0.0,0.496731,0.0,0.859189,0.832156,0.770593,0.0,0.484888,-21045.249663,-21040.8282,38,39.65421741000001,7.40554,0.00021013730818821887
4,Sp001,N42,1,3,0.496731,0.178214,0.0,0.774395,0.0,2.0919030000000003,0.963159,0.227177,0.0,0.698214,-21076.404665,-21040.8282,38,39.65421741000001,7.40554,0.0016908300691318929
5,Sp000,N42,1,3,0.362458,0.178214,0.0,0.774395,0.0,2.0919030000000003,0.779896,0.226597,0.0,0.69799,-21076.403096,-21040.8282,38,39.65421741000001,7.40554,0.0016907554998238264
6,N42,N35,3,4,0.178214,0.18879,0.774395,1.13849,2.0919030000000003,2.4630503,0.313926,0.19153,0.831297,1.125623,-21047.469304,-21040.8282,38,39.65421741000001,7.40554,0.00031562940093767076
7,N43,N35,2,4,0.713157,0.18879,0.496731,1.13849,0.859189,2.4630503,0.856946,0.171615,0.490427,1.122823,-21046.898222,-21040.8282,38,39.65421741000001,7.40554,0.0002884877887078552
8,Sp015,N45,1,2,0.362155,0.351128,0.0,0.44863,0.0,0.588544,0.289624,1.265249,0.0,0.46003,-21116.347147,-21040.8282,38,39.65421741000001,7.40554,0.003589162284020763
9,Sp014,N45,1,2,0.0227333,0.351128,0.0,0.44863,0.0,0.588544,0.059754,1.254284,0.0,0.460229,-21116.005559,-21040.8282,38,39.65421741000001,7.40554,0.0035729277519599327
10,Sp008,N44,1,2,0.44863,1.13849,0.0,0.362155,0.0,0.3848883,0.421553,1.373593,0.0,0.305109,-21053.283742,-21040.8282,38,39.65421741000001,7.40554,0.0005919701392742561
11,Sp007,N44,1,2,0.139914,1.13849,0.0,0.362155,0.0,0.3848883,0.156806,1.370491,0.0,0.304764,-21054.004837,-21040.8282,38,39.65421741000001,7.40554,0.000626241366297572
12,N44,N34,2,5,1.13849,0.19355,0.362155,0.774395,0.3848883,3.8424630000000004,1.289366,0.18017,0.368268,0.786626,-21042.662003,-21040.8282,38,39.65421741000001,7.40554,8.715450658930589e-05
