idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp019,N21,1,2,0.989577,0.0142625,0.0,1.34272,0.0,2.260224,1.153411,0.032069,0.0,1.349609,-31409.992895,-31406.25038,32,39.604116799999986,2.54933,0.00011916465527452415
1,Sp017,N21,1,2,0.851768,0.0142625,0.0,1.34272,0.0,2.260224,0.995313,1e-06,0.0,1.313945,-31407.930441,-31406.25038,32,39.604116799999986,2.54933,5.349447895470525e-05
2,Sp027,N20,1,2,1.34272,0.234431,0.0,0.989577,0.0,1.841345,1.350461,0.23533,0.0,0.988808,-31406.261076,-31406.25038,32,39.604116799999986,2.54933,3.405691500301779e-07
3,Sp025,N20,1,2,0.917504,0.234431,0.0,0.989577,0.0,1.841345,0.920404,0.199256,0.0,0.989679,-31405.704937,-31406.25038,32,39.604116799999986,2.54933,-1.7367339093432585e-05
4,N20,N15,2,4,0.234431,0.252036,0.989577,1.30697,1.841345,3.5193233,0.27642,0.295381,1.00437,1.314957,-31409.325476,-31406.25038,32,39.604116799999986,2.54933,9.791350329292271e-05
5,N21,N15,2,4,0.0142625,0.252036,1.34272,1.30697,2.260224,3.5193233,0.083628,0.283032,1.369746,1.310193,-31409.316915,-31406.25038,32,39.604116799999986,2.54933,9.764091424141896e-05
6,Sp024,Sp026,1,1,0.529476,0.713433,0.0,0.0,0.0,0.0,0.538223,0.759112,0.0,0.0,-31406.526473,-31406.25038,32,39.604116799999986,2.54933,8.791020789168175e-06
7,Sp023,Sp026,1,1,0.53061,0.713433,0.0,0.0,0.0,0.0,0.450719,0.741837,0.0,0.0,-31404.480879,-31406.25038,32,39.604116799999986,2.54933,-5.6342319716375265e-05
8,Sp026,Sp022,1,1,0.713433,1.30697,0.0,0.0,0.0,0.0,0.684302,1.578597,0.0,0.0,-31414.963225,-31406.25038,32,39.604116799999986,2.54933,0.00027742391704126113
9,N33,Sp022,2,1,0.0565083,1.30697,0.53061,0.0,1.060086,0.0,0.102697,1.578667,0.547219,0.0,-31415.253145,-31406.25038,32,39.604116799999986,2.54933,0.0002866552005116331
10,N22,N14,3,4,0.382326,0.212929,0.713433,1.34272,1.8300273,4.3502624999999995,0.526202,0.184144,0.68039,1.337683,-31409.234821,-31406.25038,32,39.604116799999986,2.54933,9.50269759645493e-05
11,Sp022,N14,1,4,1.30697,0.212929,0.0,1.34272,0.0,4.3502624999999995,1.409667,0.23936,0.0,1.341477,-31410.089652,-31406.25038,32,39.604116799999986,2.54933,0.00012224547513772435
12,N14,N11,4,17,0.212929,0.0886491,1.34272,2.54933,4.3502624999999995,22.6516938,0.272661,0.125461,1.344486,2.547294,-31409.046917,-31406.25038,32,39.604116799999986,2.54933,8.904396310166436e-05
13,N15,N11,4,17,0.252036,0.0886491,1.30697,2.54933,3.5193233,22.6516938,0.310511,0.136956,1.320971,2.541322,-31409.080733,-31406.25038,32,39.604116799999986,2.54933,9.012069144682014e-05
14,Sp029,N35,1,2,1.86553,0.987191,0.0,0.970878,0.0,1.820172,2.015857,0.866802,0.0,0.971024,-31406.155217,-31406.25038,32,39.604116799999986,2.54933,-3.030065635036047e-06
15,Sp012,N35,1,2,1.73472,0.987191,0.0,0.970878,0.0,1.820172,1.912543,0.830526,0.0,0.976213,-31405.841232,-31406.25038,32,39.604116799999986,2.54933,-1.3027597852401134e-05
16,Sp011,N34,1,2,0.970878,0.204271,0.0,1.86553,0.0,3.60025,1.153254,0.356934,0.0,1.845681,-31426.092606,-31406.25038,32,39.604116799999986,2.54933,0.0006317922630022994
17,Sp010,N34,1,2,0.849294,0.204271,0.0,1.86553,0.0,3.60025,1.074482,0.361564,0.0,1.847195,-31426.105881,-31406.25038,32,39.604116799999986,2.54933,0.0006322149495643862
18,N34,N25,2,9,0.204271,0.531481,1.86553,1.42407,3.60025,9.1932828,0.318822,0.559373,1.908542,1.43087,-31408.039522,-31406.25038,32,39.604116799999986,2.54933,5.696770478328619e-05
19,N35,N25,2,9,0.987191,0.531481,0.970878,1.42407,1.820172,9.1932828,1.153302,0.559164,0.975633,1.430482,-31408.0396,-31406.25038,32,39.604116799999986,2.54933,5.6970188365375616e-05
20,Sp008,N37,1,7,0.381744,0.468381,0.0,1.42407,0.0,7.3483718,0.397066,0.954349,0.0,1.446969,-31426.150688,-31406.25038,32,39.604116799999986,2.54933,0.0006336416400944525
21,Sp007,N37,1,7,0.42231,0.468381,0.0,1.42407,0.0,7.3483718,0.425332,0.956417,0.0,1.44897,-31426.164202,-31406.25038,32,39.604116799999986,2.54933,0.000634071936606608
22,Sp006,Sp005,1,1,0.85259,0.73745,0.0,0.0,0.0,0.0,0.873106,0.742768,0.0,0.0,-31406.853639,-31406.25038,32,39.604116799999986,2.54933,1.920824653374381e-05
23,Sp004,Sp005,1,1,0.735239,0.73745,0.0,0.0,0.0,0.0,0.738053,0.716486,0.0,0.0,-31405.124256,-31406.25038,32,39.604116799999986,2.54933,-3.58566841433353e-05
24,N52,N49,2,4,0.0922335,0.0977093,0.85259,1.42407,1.587829,4.588761,0.137942,0.252439,0.844638,1.438789,-31411.694355,-31406.25038,32,39.604116799999986,2.54933,0.00017334049541505047
25,Sp005,N49,1,4,0.73745,0.0977093,0.0,1.42407,0.0,4.588761,0.739836,0.249471,0.0,1.440597,-31411.300279,-31406.25038,32,39.604116799999986,2.54933,0.00016079280203451724
26,Sp003,N55,1,2,1.42407,0.295049,0.0,0.910205,0.0,1.439886,1.678291,0.293367,0.0,0.897013,-31412.283837,-31406.25038,32,39.604116799999986,2.54933,0.00019211007130733206
27,Sp002,N55,1,2,1.04683,0.295049,0.0,0.910205,0.0,1.439886,1.338969,0.266799,0.0,0.892712,-31411.836688,-31406.25038,32,39.604116799999986,2.54933,0.0001778724913801091
28,Sp001,N54,1,2,0.529681,0.382926,0.0,1.42407,0.0,2.4709,0.593786,0.384776,0.0,1.43345,-31411.957158,-31406.25038,32,39.604116799999986,2.54933,0.00018170835203026737
29,Sp000,N54,1,2,0.910205,0.382926,0.0,1.42407,0.0,2.4709,0.950386,0.452884,0.0,1.430445,-31414.320213,-31406.25038,32,39.604116799999986,2.54933,0.0002569499033586238
30,N54,N48,2,3,0.382926,0.244389,1.42407,0.85259,2.4709,2.4175125,0.291685,0.274133,1.403072,0.854904,-31404.827922,-31406.25038,32,39.604116799999986,2.54933,-4.529219447689175e-05
31,N55,N48,2,3,0.295049,0.244389,0.910205,0.85259,1.439886,2.4175125,0.338688,0.298117,0.90969,0.854176,-31407.02659,-31406.25038,32,39.604116799999986,2.54933,2.4715143979565757e-05
32,N48,N36,3,2,0.244389,0.572476,0.85259,0.42231,2.4175125,0.804054,0.283164,0.944173,0.853554,0.414054,-31420.410096,-31406.25038,32,39.604116799999986,2.54933,0.0004508566234005263
33,N49,N36,4,2,0.0977093,0.572476,1.42407,0.42231,4.588761,0.804054,0.113325,0.943241,1.404597,0.413517,-31420.406624,-31406.25038,32,39.604116799999986,2.54933,0.0004507460721580724
34,N36,N24,2,4,0.572476,0.225901,0.42231,1.86553,0.804054,6.611884000000001,0.691771,0.417492,0.437665,1.914906,-31420.669687,-31406.25038,32,39.604116799999986,2.54933,0.0004591222073801768
35,N37,N24,7,4,0.468381,0.225901,1.42407,1.86553,7.3483718,6.611884000000001,0.588261,0.411308,1.415708,1.918134,-31420.665011,-31406.25038,32,39.604116799999986,2.54933,0.0004589733198197742
36,N24,N17,4,4,0.225901,0.203187,1.86553,2.54933,6.611884000000001,5.648931999999999,0.305017,0.204708,1.848941,2.54751,-31409.462672,-31406.25038,32,39.604116799999986,2.54933,0.00010228193309080284
37,N25,N17,9,4,0.531481,0.203187,1.42407,2.54933,9.1932828,5.648931999999999,0.707431,0.179109,1.412163,2.597148,-31407.502999,-31406.25038,32,39.604116799999986,2.54933,3.988438558703735e-05
38,Sp015,Sp013,1,1,0.576451,0.674248,0.0,0.0,0.0,0.0,0.612756,0.927028,0.0,0.0,-31414.332769,-31406.25038,32,39.604116799999986,2.54933,0.00025734969638866004
39,Sp014,Sp013,1,1,0.855816,0.674248,0.0,0.0,0.0,0.0,0.896665,0.944901,0.0,0.0,-31414.953739,-31406.25038,32,39.604116799999986,2.54933,0.0002771218752539023
40,N38,Sp009,2,1,0.391227,2.54933,0.855816,0.0,1.432267,0.0,0.399632,2.989587,0.853662,0.0,-31414.767728,-31406.25038,32,39.604116799999986,2.54933,0.00027119913701705587
41,Sp013,Sp009,1,1,0.674248,2.54933,0.0,0.0,0.0,0.0,0.705175,3.041853,0.0,0.0,-31415.11662,-31406.25038,32,39.604116799999986,2.54933,0.0002823081358876748
42,N26,N16,3,13,0.60186,0.237026,0.855816,1.86553,2.4977419999999997,16.562548800000002,0.795695,0.238916,0.857904,1.858227,-31407.503604,-31406.25038,32,39.604116799999986,2.54933,3.990364926843093e-05
43,Sp009,N16,1,13,2.54933,0.237026,0.0,1.86553,0.0,16.562548800000002,2.803554,0.216255,0.0,1.865024,-31406.391582,-31406.25038,32,39.604116799999986,2.54933,4.495984025167295e-06
44,N16,N10,13,8,0.237026,0.213693,1.86553,1.34272,16.562548800000002,8.3345508,0.290808,0.191827,1.874373,1.347021,-31406.579216,-31406.25038,32,39.604116799999986,2.54933,1.0470399873216394e-05
