idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp010,Sp000,1,1,0.85606,1.48297,0.0,0.0,0.0,0.0,0.904653,1.727275,0.0,0.0,-11334.398695,-11332.65422,16,33.216350150000004,6.58025,0.00015393348867212778
1,Sp009,Sp000,1,1,0.748466,1.48297,0.0,0.0,0.0,0.0,0.771145,1.723143,0.0,0.0,-11334.410478,-11332.65422,16,33.216350150000004,6.58025,0.00015497322744569136
2,N22,N15,2,3,0.507717,0.502186,0.85606,6.58025,1.604526,9.71697589,0.523548,0.544458,0.854855,6.576776,-11332.655911,-11332.65422,16,33.216350150000004,6.58025,1.492148235228076e-07
3,Sp000,N15,1,3,1.48297,0.502186,0.0,6.58025,0.0,9.71697589,1.221179,0.37044,0.0,6.554371,-11328.652725,-11332.65422,16,33.216350150000004,6.58025,-0.00035309424626567596
4,Sp015,Sp006,1,1,1.689e-05,2.6396,0.0,0.0,0.0,0.0,0.149192,2.714069,0.0,0.0,-11334.285935,-11332.65422,16,33.216350150000004,6.58025,0.00014398348068538622
5,Sp012,Sp006,1,1,6.58025,2.6396,0.0,0.0,0.0,0.0,6.926647,2.712954,0.0,0.0,-11334.290976,-11332.65422,16,33.216350150000004,6.58025,0.00014442830145750953
6,N24,N14,2,3,0.497109,0.0663466,6.58025,1.48297,6.580266890000001,3.5952129999999998,0.677013,0.384958,6.634549,1.568038,-11333.052301,-11332.65422,16,33.216350150000004,6.58025,3.512689898336678e-05
7,Sp006,N14,1,3,2.6396,0.0663466,0.0,1.48297,0.0,3.5952129999999998,2.389772,0.393423,0.0,1.679358,-11331.276974,-11332.65422,16,33.216350150000004,6.58025,-0.00012152898811378485
8,N14,N11,3,2,0.0663466,0.520307,1.48297,2.20285,3.5952129999999998,3.5127,0.055482,0.519515,1.484933,2.203228,-11332.653211,-11332.65422,16,33.216350150000004,6.58025,-8.903474684967223e-08
9,N15,N11,3,2,0.502186,0.520307,6.58025,2.20285,9.71697589,3.5127,1e-06,0.432062,6.563597,2.130035,-11330.024968,-11332.65422,16,33.216350150000004,6.58025,-0.00023200672578190014
