idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp037,N21,1,2,0.48631,0.162584,0.0,0.132276,0.0,0.2004458,0.54665,0.165232,0.0,0.131332,-60073.421155,-60064.28621,44,38.66840921999997,9.9995,0.00015208613264906134
1,Sp016,N21,1,2,0.347351,0.162584,0.0,0.132276,0.0,0.2004458,0.407467,0.130465,0.0,0.127558,-60060.576638,-60064.28621,44,38.66840921999997,9.9995,-6.176002803113562e-05
2,Sp015,N20,1,2,0.132276,0.096437,0.0,0.48631,0.0,0.833661,0.134623,0.20041,0.0,0.473758,-60112.942248,-60064.28621,44,38.66840921999997,9.9995,0.0008100660320824779
3,Sp014,N20,1,2,0.0681698,0.096437,0.0,0.48631,0.0,0.833661,0.070402,0.198312,0.0,0.472035,-60112.368369,-60064.28621,44,38.66840921999997,9.9995,0.000800511619032608
4,N20,Sp012,2,1,0.096437,0.404956,0.48631,0.0,0.833661,0.0,0.111595,0.429516,0.49293,0.0,-60077.208224,-60064.28621,44,38.66840921999997,9.9995,0.00021513639494232493
5,N21,Sp012,2,1,0.162584,0.404956,0.132276,0.0,0.2004458,0.0,0.194268,0.430582,0.132161,0.0,-60078.010712,-60064.28621,44,38.66840921999997,9.9995,0.00022849688002651413
6,N16,N15,4,32,0.0903055,0.166309,0.48631,1.2066,1.2931278,15.975702120000001,0.103221,0.161332,0.479817,1.207886,-60064.439323,-60064.28621,44,38.66840921999997,9.9995,2.5491520779083465e-06
7,Sp012,N15,1,32,0.404956,0.166309,0.0,1.2066,0.0,15.975702120000001,0.403978,0.172221,0.0,1.207462,-60062.374774,-60064.28621,44,38.66840921999997,9.9995,-3.1823170149929014e-05
8,Sp041,Sp042,1,1,1e-08,0.0300242,0.0,0.0,0.0,0.0,0.017875,0.100234,0.0,0.0,-60084.686874,-60064.28621,44,38.66840921999997,9.9995,0.00033964715619319585
9,Sp040,Sp042,1,1,0.0099927,0.0300242,0.0,0.0,0.0,0.0,0.008037,0.099525,0.0,0.0,-60084.668803,-60064.28621,44,38.66840921999997,9.9995,0.0003393462952134213
10,Sp042,Sp043,1,1,0.0300242,0.76417,0.0,0.0,0.0,0.0,0.032068,0.916755,0.0,0.0,-60067.201842,-60064.28621,44,38.66840921999997,9.9995,4.8541857133039676e-05
11,N57,Sp043,2,1,0.112045,0.76417,0.0099927,0.0,0.00999271,0.0,0.094771,0.914032,0.009987,0.0,-60066.95928,-60064.28621,44,38.66840921999997,9.9995,4.450348399477588e-05
12,Sp043,N37,1,8,0.76417,0.178551,0.0,1.17374,0.0,6.101315500000001,0.668657,0.693015,0.0,1.156219,-60168.586082,-60064.28621,44,38.66840921999997,9.9995,0.00173647068135205
13,N45,N37,3,8,0.149581,0.178551,0.112045,1.17374,0.15206191000000002,6.101315500000001,0.281995,0.694749,0.105603,1.157301,-60168.566125,-60064.28621,44,38.66840921999997,9.9995,0.001736138420681636
