idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp019,N41,1,2,0.00860352,0.0730863,0.0,0.0627281,0.0,0.08560899999999999,0.008671,0.181209,0.0,0.05403,-4287.982569,-4238.32942,26,4.126255189999998,0.888465,0.011715264218419284
1,Sp009,N41,1,2,0.00294634,0.0730863,0.0,0.0627281,0.0,0.08560899999999999,0.003445,0.181395,0.0,0.054089,-4287.982845,-4238.32942,26,4.126255189999998,0.888465,0.01171532933841665
2,Sp005,N40,1,2,0.0228809,0.120698,0.0,0.00860352,0.0,0.01154986,0.024692,0.181782,0.0,0.008988,-4260.873785,-4238.32942,26,4.126255189999998,0.888465,0.005319162992290426
3,Sp004,N40,1,2,0.0627281,0.120698,0.0,0.00860352,0.0,0.01154986,0.064799,0.186004,0.0,0.00901,-4261.436496,-4238.32942,26,4.126255189999998,0.888465,0.0054519301616721035
4,N40,Sp013,2,1,0.120698,0.0722736,0.00860352,0.0,0.01154986,0.0,0.145517,0.0828,0.008775,0.0,-4244.237621,-4238.32942,26,4.126255189999998,0.888465,0.0013939928718424606
5,N41,Sp013,2,1,0.0730863,0.0722736,0.0627281,0.0,0.08560899999999999,0.0,0.097245,0.081341,0.062525,0.0,-4244.210284,-4238.32942,26,4.126255189999998,0.888465,0.0013875429248724482
6,N32,Sp024,4,1,0.0412862,0.156774,0.120698,0.0,0.29094316,0.0,0.047167,0.168716,0.12253,0.0,-4240.88811,-4238.32942,26,4.126255189999998,0.888465,0.000603702484267927
7,Sp013,Sp024,1,1,0.0722736,0.156774,0.0,0.0,0.0,0.0,0.078176,0.165023,0.0,0.0,-4240.55472,-4238.32942,26,4.126255189999998,0.888465,0.0005250417745961948
8,Sp024,N19,1,5,0.156774,0.0454209,0.0,0.158587,0.0,0.43983744999999996,0.172369,0.052399,0.0,0.156119,-4243.964419,-4238.32942,26,4.126255189999998,0.888465,0.0013295330404024801
9,N27,N19,5,5,0.0238999,0.0454209,0.120698,0.158587,0.40450295999999997,0.43983744999999996,0.040554,0.049628,0.121576,0.157215,-4243.820354,-4238.32942,26,4.126255189999998,0.888465,0.0012955420534537826
10,Sp020,Sp021,1,1,0.0944816,0.0332719,0.0,0.0,0.0,0.0,0.097457,0.041115,0.0,0.0,-4239.605422,-4238.32942,26,4.126255189999998,0.888465,0.0003010624879647999
11,Sp001,Sp021,1,1,0.0135646,0.0332719,0.0,0.0,0.0,0.0,0.015637,0.030262,0.0,0.0,-4237.074728,-4238.32942,26,4.126255189999998,0.888465,-0.0002960345635428291
13,N43,Sp010,2,1,0.0130901,0.0411736,0.0944816,0.0,0.1080462,0.0,1e-06,0.037797,0.095056,0.0,-4234.448433,-4238.32942,26,4.126255189999998,0.888465,-0.0009156879079966511
14,N34,Sp012,3,1,9.5e-07,0.158587,0.0944816,0.0,0.1544082,0.0,1e-06,0.236379,0.09407,0.0,-4260.889249,-4238.32942,26,4.126255189999998,0.888465,0.00532281159967028
15,Sp010,Sp012,1,1,0.0411736,0.158587,0.0,0.0,0.0,0.0,0.023241,0.229627,0.0,0.0,-4258.2013,-4238.32942,26,4.126255189999998,0.888465,0.0046886114859848935
16,N28,N18,4,6,0.0856677,0.0420014,0.0944816,0.156774,0.19558275,0.5851768599999999,0.109755,0.029992,0.095724,0.158581,-4239.616625,-4238.32942,26,4.126255189999998,0.888465,0.00030370574640223004
17,Sp012,N18,1,6,0.158587,0.0420014,0.0,0.156774,0.0,0.5851768599999999,0.189683,0.049566,0.0,0.157232,-4242.562774,-4238.32942,26,4.126255189999998,0.888465,0.0009988260893604543
18,N18,N11,6,5,0.0420014,0.0223045,0.156774,0.247469,0.5851768599999999,0.9887238700000001,0.036569,0.016896,0.157084,0.246845,-4233.978031,-4238.32942,26,4.126255189999998,0.888465,-0.0010266755055581265
19,N19,N11,5,5,0.0454209,0.0223045,0.158587,0.247469,0.43983744999999996,0.9887238700000001,0.046626,0.026417,0.158017,0.246561,-4238.757799,-4238.32942,26,4.126255189999998,0.888465,0.00010107260610241804
