idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp003,Sp000,1,1,1.25e-06,0.386309,0.0,0.0,0.0,0.0,1e-06,0.5243,0.0,0.0,-2899.43883,-2893.57461,9,3.6634183400000007,0.664129,0.0020266351452399326
1,Sp002,Sp000,1,1,0.314903,0.386309,0.0,0.0,0.0,0.0,0.16713,0.521496,0.0,0.0,-2890.750792,-2893.57461,9,3.6634183400000007,0.664129,-0.0009758925829115915
2,N8,N7,2,3,0.136958,0.276875,0.314903,0.167925,0.31490425,0.35444219,0.151093,0.426768,0.314417,0.166128,-2895.140461,-2893.57461,9,3.6634183400000007,0.664129,0.000541147615336533
3,Sp000,N7,1,3,0.386309,0.276875,0.0,0.167925,0.0,0.35444219,0.281947,0.434616,0.0,0.165738,-2892.907856,-2893.57461,9,3.6634183400000007,0.664129,-0.0002304257155478393
4,Sp004,Sp005,1,1,3.9e-07,0.167925,0.0,0.0,0.0,0.0,1e-06,0.323645,0.0,0.0,-2901.719208,-2893.57461,9,3.6634183400000007,0.664129,0.002814718504873755
5,Sp001,Sp005,1,1,0.0315338,0.167925,0.0,0.0,0.0,0.0,0.013303,0.323692,0.0,0.0,-2897.976757,-2893.57461,9,3.6634183400000007,0.664129,0.0015213525114528793
6,Sp005,N6,1,3,0.167925,0.168966,0.0,0.386309,0.0,0.83817125,0.157405,0.446553,0.0,0.399291,-2898.725455,-2893.57461,9,3.6634183400000007,0.664129,0.0017800975244248714
7,N11,N6,2,3,0.154983,0.168966,0.0315338,0.386309,0.031534190000000004,0.83817125,0.111879,0.446695,0.031434,0.400967,-2898.141714,-2893.57461,9,3.6634183400000007,0.664129,0.0015783605455398106
8,N6,Sp006,3,1,0.168966,0.581793,0.386309,0.0,0.83817125,0.0,0.128597,1.08484,0.378666,0.0,-2905.250992,-2893.57461,9,3.6634183400000007,0.664129,0.004035279394437354
9,N7,Sp006,3,1,0.276875,0.581793,0.167925,0.0,0.35444219,0.0,0.271086,1.100593,0.165029,0.0,-2905.849119,-2893.57461,9,3.6634183400000007,0.664129,0.004241988078544777
10,N4,Sp008,6,1,0.616873,0.0568819,0.386309,0.0,1.63845444,0.0,1.179177,0.059753,0.38035,0.0,-2906.365507,-2893.57461,9,3.6634183400000007,0.664129,0.0044204483118546085
11,Sp006,Sp008,1,1,0.581793,0.0568819,0.0,0.0,0.0,0.0,1.187113,0.056445,0.0,0.0,-2906.337809,-2893.57461,9,3.6634183400000007,0.664129,0.004410876068614656
