idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp007,Sp008,1,1,0.377868,0.451548,0.0,0.0,0.0,0.0,0.475114,0.501659,0.0,0.0,-1771.361535,-1770.19054,9,6.16411013,0.863367,0.0006615078849082246
1,Sp001,Sp008,1,1,0.716347,0.451548,0.0,0.0,0.0,0.0,0.754671,0.494705,0.0,0.0,-1771.35934,-1770.19054,9,6.16411013,0.863367,0.0006602679053973021
2,N10,Sp005,2,1,0.163226,0.863367,0.716347,0.0,1.094215,0.0,0.193596,0.990522,0.729572,0.0,-1771.570872,-1770.19054,9,6.16411013,0.863367,0.0007797646461267119
3,Sp008,Sp005,1,1,0.451548,0.863367,0.0,0.0,0.0,0.0,0.461485,0.988157,0.0,0.0,-1771.571211,-1770.19054,9,6.16411013,0.863367,0.0007799561509349682
4,N6,N5,3,3,0.175105,1.413e-05,0.716347,0.585097,1.708989,1.8394080000000002,0.239011,1e-06,0.708195,0.573748,-1772.278891,-1770.19054,9,6.16411013,0.863367,0.001179732324182387
5,Sp005,N5,1,3,0.863367,1.413e-05,0.0,0.585097,0.0,1.8394080000000002,0.993041,0.061147,0.0,0.548919,-1773.288596,-1770.19054,9,6.16411013,0.863367,0.0017501257237540328
6,Sp003,Sp004,1,1,0.463629,0.404328,0.0,0.0,0.0,0.0,0.733073,0.442554,0.0,0.0,-1776.03507,-1770.19054,9,6.16411013,0.863367,0.003301638929784276
7,Sp000,Sp004,1,1,0.585097,0.404328,0.0,0.0,0.0,0.0,0.773228,0.40998,0.0,0.0,-1775.812307,-1770.19054,9,6.16411013,0.863367,0.003175797674300001
8,Sp004,N4,1,4,0.404328,0.285024,0.0,0.863367,0.0,2.7474610000000004,0.375822,0.234961,0.0,0.870765,-1769.456017,-1770.19054,9,6.16411013,0.863367,-0.00041494007758062084
9,N9,N4,2,4,0.386354,0.285024,0.585097,0.863367,1.048726,2.7474610000000004,0.385071,0.284668,0.585969,0.864446,-1770.189229,-1770.19054,9,6.16411013,0.863367,-7.405982409029038e-07
10,N4,Sp006,4,1,0.285024,0.572802,0.863367,0.0,2.7474610000000004,0.0,0.487257,0.563333,0.994791,0.0,-1776.901567,-1770.19054,9,6.16411013,0.863367,0.0037911325636164742
11,N5,Sp006,3,1,1.413e-05,0.572802,0.585097,0.0,1.8394080000000002,0.0,0.397841,0.590426,0.597024,0.0,-1777.025406,-1770.19054,9,6.16411013,0.863367,0.00386109056938013
