idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp009,Sp006,1,1,0.204614,0.303685,0.0,0.0,0.0,0.0,0.203676,0.305316,0.0,0.0,-10682.392408,-10682.84729,52,32.25348566,1.23757,-4.25805955707898e-05
1,Sp003,Sp006,1,1,0.165247,0.303685,0.0,0.0,0.0,0.0,0.174325,0.313512,0.0,0.0,-10684.591899,-10682.84729,52,32.25348566,1.23757,0.00016330936431455814
2,N98,Sp007,2,1,0.0487659,0.276579,0.204614,0.0,0.369861,0.0,0.070988,0.264797,0.203128,0.0,-10686.039901,-10682.84729,52,32.25348566,1.23757,0.0002988539397159535
3,Sp006,Sp007,1,1,0.303685,0.276579,0.0,0.0,0.0,0.0,0.320382,0.291947,0.0,0.0,-10688.295626,-10682.84729,52,32.25348566,1.23757,0.0005100078520358098
4,N96,Sp010,3,1,0.0601512,0.24554,0.303685,0.0,0.7223119,0.0,0.073646,0.261788,0.313474,0.0,-10684.550716,-10682.84729,52,32.25348566,1.23757,0.0001594543059315824
5,Sp007,Sp010,1,1,0.276579,0.24554,0.0,0.0,0.0,0.0,0.313711,0.274772,0.0,0.0,-10684.764915,-10682.84729,52,32.25348566,1.23757,0.00017950504654270347
6,Sp010,Sp001,1,1,0.24554,0.283263,0.0,0.0,0.0,0.0,0.251714,0.294259,0.0,0.0,-10683.166613,-10682.84729,52,32.25348566,1.23757,2.9891188306943676e-05
7,N95,Sp001,4,1,0.0703838,0.283263,0.303685,0.0,1.0590421,0.0,0.060643,0.281022,0.307783,0.0,-10682.45315,-10682.84729,52,32.25348566,1.23757,-3.6894658259252725e-05
8,N82,N73,5,2,0.0221501,0.46507,0.303685,0.662507,1.3749659000000003,0.8872359999999999,0.019087,0.448734,0.304324,0.674471,-10682.625262,-10682.84729,52,32.25348566,1.23757,-2.0783597665762073e-05
9,Sp001,N73,1,2,0.283263,0.46507,0.0,0.662507,0.0,0.8872359999999999,0.276267,0.425216,0.0,0.641733,-10682.084262,-10682.84729,52,32.25348566,1.23757,-7.14255272293979e-05
10,Sp021,N72,1,6,0.662507,1.28e-06,0.0,0.303685,0.0,1.6803790000000003,1.073672,1e-06,0.0,0.303163,-10695.665788,-10682.84729,52,32.25348566,1.23757,0.0011999139978346115
11,Sp014,N72,1,6,0.224729,1.28e-06,0.0,0.303685,0.0,1.6803790000000003,0.681216,1e-06,0.0,0.303027,-10695.588915,-10682.84729,52,32.25348566,1.23757,0.0011927180698284201
12,N72,Sp011,6,1,1.28e-06,0.44575,0.303685,0.0,1.6803790000000003,0.0,0.00185,0.481717,0.305516,0.0,-10684.861091,-10682.84729,52,32.25348566,1.23757,0.00018850788982877683
13,N73,Sp011,2,1,0.46507,0.44575,0.662507,0.0,0.8872359999999999,0.0,0.481057,0.478844,0.66645,0.0,-10684.716007,-10682.84729,52,32.25348566,1.23757,0.0001749268663374479
14,N62,N55,8,5,0.0861403,0.00018242,0.662507,0.885941,3.03268628,2.9448567999999997,0.115886,0.009557,0.660938,0.892789,-10683.540202,-10682.84729,52,32.25348566,1.23757,6.486210849883198e-05
15,Sp011,N55,1,5,0.44575,0.00018242,0.0,0.885941,0.0,2.9448567999999997,0.412614,1e-06,0.0,0.919146,-10675.937007,-10682.84729,52,32.25348566,1.23757,-0.000646857791037398
16,Sp032,Sp030,1,1,0.885941,0.800792,0.0,0.0,0.0,0.0,0.894632,0.836462,0.0,0.0,-10683.766568,-10682.84729,52,32.25348566,1.23757,8.605177768102259e-05
17,Sp020,Sp030,1,1,0.245584,0.800792,0.0,0.0,0.0,0.0,0.297951,0.711444,0.0,0.0,-10681.754676,-10682.84729,52,32.25348566,1.23757,-0.00010227741447001721
18,N74,N65,2,2,0.116647,0.0490188,0.885941,0.320758,1.131525,0.619332,0.347776,1e-06,0.898956,0.327431,-10686.013923,-10682.84729,52,32.25348566,1.23757,0.00029642219101689784
19,Sp030,N65,1,2,0.800792,0.0490188,0.0,0.320758,0.0,0.619332,0.967488,0.02774,0.0,0.337508,-10686.95909,-10682.84729,52,32.25348566,1.23757,0.0003848973862847931
20,Sp008,N64,1,3,0.298574,0.227542,0.0,0.885941,0.0,2.048964,0.308646,0.216793,0.0,0.874857,-10683.074874,-10682.84729,52,32.25348566,1.23757,2.130368372982764e-05
21,Sp005,N64,1,3,0.320758,0.227542,0.0,0.885941,0.0,2.048964,0.333603,0.185029,0.0,0.871216,-10682.155805,-10682.84729,52,32.25348566,1.23757,-6.472852987860831e-05
22,N64,N54,3,9,0.227542,0.0609917,0.885941,0.662507,2.048964,3.5645765799999998,0.227671,0.060834,0.887059,0.663107,-10682.846479,-10682.84729,52,32.25348566,1.23757,-7.5916090333357e-08
23,N65,N54,2,9,0.0490188,0.0609917,0.320758,0.662507,0.619332,3.5645765799999998,0.049143,0.060862,0.321228,0.663115,-10682.846472,-10682.84729,52,32.25348566,1.23757,-7.657134640514542e-08
