idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp027,Sp018,1,1,0.828427,0.732309,0.0,0.0,0.0,0.0,0.814028,0.744272,0.0,0.0,-8342.329109,-8342.31257,56,33.51338412,1.02132,1.982543792433503e-06
1,Sp017,Sp018,1,1,0.15665,0.732309,0.0,0.0,0.0,0.0,0.175264,0.744905,0.0,0.0,-8342.338046,-8342.31257,56,33.51338412,1.02132,3.0538294731754645e-06
2,N42,N29,2,4,0.0309801,0.186954,0.828427,0.583435,0.985077,1.462004,0.175179,0.215426,0.807548,0.611083,-8345.184582,-8342.31257,56,33.51338412,1.02132,0.00034427048565980706
3,Sp018,N29,1,4,0.732309,0.186954,0.0,0.583435,0.0,1.462004,0.80142,0.230268,0.0,0.60757,-8345.234332,-8342.31257,56,33.51338412,1.02132,0.00035023405985852964
4,Sp016,N45,1,2,0.100123,0.121795,0.0,0.583435,0.0,0.9362300000000001,0.105508,0.220675,0.0,0.613839,-8344.607054,-8342.31257,56,33.51338412,1.02132,0.0002750417202360965
5,Sp015,N45,1,2,0.192688,0.121795,0.0,0.583435,0.0,0.9362300000000001,0.162019,0.226448,0.0,0.622922,-8344.32315,-8342.31257,56,33.51338412,1.02132,0.00024100990979772388
6,Sp006,N44,1,2,0.352795,0.111168,0.0,0.192688,0.0,0.292811,0.454907,0.134487,0.0,0.197468,-8343.633627,-8342.31257,56,33.51338412,1.02132,0.00015835620985359464
7,Sp005,N44,1,2,0.583435,0.111168,0.0,0.192688,0.0,0.292811,0.564049,0.104309,0.0,0.191686,-8341.538096,-8342.31257,56,33.51338412,1.02132,-9.283684751695025e-05
8,N44,N28,2,3,0.111168,0.254958,0.192688,0.828427,0.292811,1.7483661000000001,0.177494,0.296575,0.195932,0.81136,-8346.520081,-8342.31257,56,33.51338412,1.02132,0.0005043578701583609
9,N45,N28,2,3,0.121795,0.254958,0.583435,0.828427,0.9362300000000001,1.7483661000000001,0.133149,0.296863,0.560171,0.811428,-8346.521481,-8342.31257,56,33.51338412,1.02132,0.0005045256893316953
10,N28,N21,3,3,0.254958,0.0848453,0.828427,0.441951,1.7483661000000001,1.2566099,0.231846,0.07114,0.835989,0.460122,-8340.608905,-8342.31257,56,33.51338412,1.02132,-0.00020421975150241946
11,N29,N21,4,3,0.186954,0.0848453,0.583435,0.441951,1.462004,1.2566099,0.181586,0.072595,0.571306,0.436071,-8342.172366,-8342.31257,56,33.51338412,1.02132,-1.680637099400336e-05
12,Sp012,Sp009,1,1,0.306442,0.441951,0.0,0.0,0.0,0.0,0.324954,0.382659,0.0,0.0,-8341.480313,-8342.31257,56,33.51338412,1.02132,-9.976334415866018e-05
13,Sp008,Sp009,1,1,0.420836,0.441951,0.0,0.0,0.0,0.0,0.456089,0.46942,0.0,0.0,-8343.7036,-8342.31257,56,33.51338412,1.02132,0.00016674393201268923
14,N30,N20,2,7,0.0873809,0.0493888,0.420836,0.828427,0.727278,3.6522821000000008,0.119102,0.019784,0.425302,0.844399,-8342.529095,-8342.31257,56,33.51338412,1.02132,2.5955033233646813e-05
15,Sp009,N20,1,7,0.441951,0.0493888,0.0,0.828427,0.0,3.6522821000000008,0.492462,0.074176,0.0,0.839716,-8343.933151,-8342.31257,56,33.51338412,1.02132,0.0001942604027841191
16,N20,N17,7,17,0.0493888,3.049e-05,0.828427,0.950325,3.6522821000000008,9.14872183,0.17821,0.024124,0.804053,0.948252,-8344.019286,-8342.31257,56,33.51338412,1.02132,0.0002045854774296232
17,N21,N17,3,17,0.0848453,3.049e-05,0.441951,0.950325,1.2566099,9.14872183,0.146403,0.026824,0.447842,0.946963,-8344.039386,-8342.31257,56,33.51338412,1.02132,0.0002069948812767065
18,Sp050,Sp019,1,1,0.950325,0.247309,0.0,0.0,0.0,0.0,1.086962,0.293476,0.0,0.0,-8344.81575,-8342.31257,56,33.51338412,1.02132,0.00030005828467773437
19,Sp020,Sp019,1,1,0.230169,0.247309,0.0,0.0,0.0,0.0,0.429154,0.291205,0.0,0.0,-8344.81368,-8342.31257,56,33.51338412,1.02132,0.000299810152042678
20,N68,Sp004,2,1,0.238837,0.234494,0.950325,0.0,1.180494,0.0,0.325771,0.269664,0.986202,0.0,-8348.644469,-8342.31257,56,33.51338412,1.02132,0.0007590100403059704
21,Sp019,Sp004,1,1,0.247309,0.234494,0.0,0.0,0.0,0.0,0.482276,0.307457,0.0,0.0,-8348.914059,-8342.31257,56,33.51338412,1.02132,0.0007913260195668482
22,N48,N33,3,9,0.355925,0.0591418,0.950325,0.660423,1.66664,4.42347763,0.376521,0.099709,0.946052,0.680585,-8343.530367,-8342.31257,56,33.51338412,1.02132,0.00014597834710469696
23,Sp004,N33,1,9,0.234494,0.0591418,0.0,0.660423,0.0,4.42347763,0.32923,0.115478,0.0,0.677414,-8343.798428,-8342.31257,56,33.51338412,1.02132,0.0001781110438541153
24,Sp021,Sp023,1,1,0.326601,0.476213,0.0,0.0,0.0,0.0,0.316357,0.441316,0.0,0.0,-8341.540723,-8342.31257,56,33.51338412,1.02132,-9.252194682510916e-05
25,Sp007,Sp023,1,1,0.338856,0.476213,0.0,0.0,0.0,0.0,0.339606,0.476859,0.0,0.0,-8342.311872,-8342.31257,56,33.51338412,1.02132,-8.366984501868588e-08
26,Sp023,N71,1,2,0.476213,0.0682847,0.0,0.660423,0.0,1.004292,0.492588,0.099941,0.0,0.653196,-8343.429385,-8342.31257,56,33.51338412,1.02132,0.00013387355012513103
27,N83,N71,2,2,0.00094673,0.0682847,0.338856,0.660423,0.665457,1.004292,0.027005,0.103829,0.347312,0.649252,-8343.688228,-8342.31257,56,33.51338412,1.02132,0.00016490127748843627
28,Sp014,N70,1,3,0.343869,0.0956495,0.0,0.476213,0.0,1.1426167299999999,0.380265,0.0627,0.0,0.458353,-8342.003352,-8342.31257,56,33.51338412,1.02132,-3.706622083573262e-05
29,Sp013,N70,1,3,0.660423,0.0956495,0.0,0.476213,0.0,1.1426167299999999,0.722451,0.101616,0.0,0.476277,-8342.640473,-8342.31257,56,33.51338412,1.02132,3.930600744673651e-05
30,N70,N51,3,4,0.0956495,0.180943,0.476213,0.534092,1.1426167299999999,1.8256317,0.117976,0.231605,0.476578,0.529928,-8343.980398,-8342.31257,56,33.51338412,1.02132,0.00019992394027495
31,N71,N51,2,4,0.0682847,0.180943,0.660423,0.534092,1.004292,1.8256317,0.068556,0.205921,0.69766,0.538004,-8342.975328,-8342.31257,56,33.51338412,1.02132,7.944535696058132e-05
32,Sp003,N73,1,2,0.381991,0.217678,0.0,0.534092,0.0,0.983062,0.339208,0.353808,0.0,0.575734,-8346.380163,-8342.31257,56,33.51338412,1.02132,0.0004875857822239044
33,Sp002,N73,1,2,0.0213507,0.217678,0.0,0.534092,0.0,0.983062,0.079595,0.362214,0.0,0.581839,-8346.388998,-8342.31257,56,33.51338412,1.02132,0.0004886448410791572
34,Sp001,N72,1,2,0.534092,0.22155,0.0,0.381991,0.0,0.4033417,0.700065,0.24061,0.0,0.37688,-8344.560732,-8342.31257,56,33.51338412,1.02132,0.0002694890632706017
35,Sp000,N72,1,2,0.44897,0.22155,0.0,0.381991,0.0,0.4033417,0.616234,0.237765,0.0,0.37244,-8344.560554,-8342.31257,56,33.51338412,1.02132,0.0002694677262613804
36,N72,N50,2,5,0.22155,0.10606,0.381991,0.660423,0.4033417,2.3108429299999997,0.360378,0.136709,0.399498,0.659025,-8346.954404,-8342.31257,56,33.51338412,1.02132,0.0005564205322026212
37,N73,N50,2,5,0.217678,0.10606,0.534092,0.660423,0.983062,2.3108429299999997,0.326945,0.123541,0.484675,0.654078,-8346.847943,-8342.31257,56,33.51338412,1.02132,0.0005436589629008133
38,N50,N32,5,4,0.10606,0.176921,0.660423,0.950325,2.3108429299999997,2.257059,0.107792,0.19041,0.651234,0.947833,-8341.975678,-8342.31257,56,33.51338412,1.02132,-4.03835264109928e-05
39,N51,N32,4,4,0.180943,0.176921,0.534092,0.950325,1.8256317,2.257059,0.181877,0.213914,0.542554,0.946015,-8342.627476,-8342.31257,56,33.51338412,1.02132,3.774804616312881e-05
40,N32,N23,4,4,0.176921,0.194187,0.950325,0.531046,2.257059,1.8023374,0.229248,0.25504,0.985641,0.488801,-8345.834398,-8342.31257,56,33.51338412,1.02132,0.00042216447423293124
41,N33,N23,9,4,0.0591418,0.194187,0.660423,0.531046,4.42347763,1.8023374,0.117003,0.243012,0.668188,0.494695,-8345.711253,-8342.31257,56,33.51338412,1.02132,0.0004074029798669408
42,Sp026,N35,1,2,0.461441,0.105985,0.0,0.531046,0.0,0.7595080000000001,0.466061,0.104214,0.0,0.528648,-8342.342467,-8342.31257,56,33.51338412,1.02132,3.5837784486594046e-06
43,Sp025,N35,1,2,0.449294,0.105985,0.0,0.531046,0.0,0.7595080000000001,0.463443,0.11017,0.0,0.527842,-8342.374263,-8342.31257,56,33.51338412,1.02132,7.395191618869066e-06
