idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp006,Sp004,1,1,0.140689,0.872314,0.0,0.0,0.0,0.0,0.135956,1.053321,0.0,0.0,-4123.651382,-4117.83429,19,17.845378150000002,1.90677,0.0014126581086875718
1,Sp005,Sp004,1,1,0.215764,0.872314,0.0,0.0,0.0,0.0,0.220868,1.058768,0.0,0.0,-4123.659041,-4117.83429,19,17.845378150000002,1.90677,0.0014145180669715843
2,N16,N11,2,8,0.220494,0.174645,0.215764,1.90677,0.356453,7.36625877,0.220504,0.174336,0.216089,1.907484,-4117.833437,-4117.83429,19,17.845378150000002,1.90677,-2.071477236524942e-07
3,Sp004,N11,1,8,0.872314,0.174645,0.0,1.90677,0.0,7.36625877,0.835002,0.170833,0.0,1.90961,-4117.779915,-4117.83429,19,17.845378150000002,1.90677,-1.3204756716839366e-05
4,Sp012,N29,1,2,0.123923,0.584557,0.0,0.978999,0.0,1.3293599999999999,0.117557,1.124144,0.0,0.869977,-4126.512412,-4117.83429,19,17.845378150000002,1.90677,0.0021074480877180364
5,Sp003,N29,1,2,0.0383857,0.584557,0.0,0.978999,0.0,1.3293599999999999,0.045414,1.124604,0.0,0.870122,-4126.510302,-4117.83429,19,17.845378150000002,1.90677,0.0021069356824458085
6,Sp010,N28,1,2,0.350361,0.701813,0.0,0.123923,0.0,0.1623087,0.670127,0.760761,0.0,0.122047,-4125.279453,-4117.83429,19,17.845378150000002,1.90677,0.0018080288024412757
7,Sp008,N28,1,2,0.978999,0.701813,0.0,0.123923,0.0,0.1623087,1.195055,0.804662,0.0,0.123016,-4125.369586,-4117.83429,19,17.845378150000002,1.90677,0.0018299172500212525
8,N28,Sp007,2,1,0.701813,1.90677,0.123923,0.0,0.1623087,0.0,0.760365,1.53904,0.120717,0.0,-4115.944268,-4117.83429,19,17.845378150000002,1.90677,-0.00045898447263636484
9,N29,Sp007,2,1,0.584557,1.90677,0.978999,0.0,1.3293599999999999,0.0,0.591127,1.881761,0.980311,0.0,-4117.896585,-4117.83429,19,17.845378150000002,1.90677,1.5128097833347068e-05
