idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp032,N19,1,10,0.713037,0.328948,0.0,2.13768,0.0,13.517728730000002,1.53186,0.310338,0.0,2.109499,-23412.224918,-23395.15406,41,50.3552144,2.13768,0.0007296749556005759
1,Sp030,N19,1,10,1.12879,0.328948,0.0,2.13768,0.0,13.517728730000002,1.79987,0.306923,0.0,2.1036,-23412.227878,-23395.15406,41,50.3552144,2.13768,0.0007298014775287509
2,Sp036,N59,1,2,0.801123,0.114805,0.0,1.22755,0.0,1.9504009999999998,0.794175,0.249552,0.0,1.234107,-23395.754366,-23395.15406,41,50.3552144,2.13768,2.565941640994149e-05
3,Sp015,N59,1,2,0.907815,0.114805,0.0,1.22755,0.0,1.9504009999999998,0.962302,0.26979,0.0,1.233392,-23396.124214,-23395.15406,41,50.3552144,2.13768,4.146816035109832e-05
4,Sp018,N58,1,2,1.22755,0.23679,0.0,0.907815,0.0,1.708938,1.215867,0.292214,0.0,0.909283,-23395.33154,-23395.15406,41,50.3552144,2.13768,7.586186418918071e-06
5,Sp016,N58,1,2,0.722851,0.23679,0.0,0.907815,0.0,1.708938,0.724581,0.270608,0.0,0.911604,-23395.224623,-23395.15406,41,50.3552144,2.13768,3.016137436689815e-06
6,N58,N45,2,4,0.23679,9.24e-06,0.907815,2.13768,1.708938,5.694939100000001,0.840087,1e-06,0.870434,2.099073,-23423.483726,-23395.15406,41,50.3552144,2.13768,0.0012109202584151657
7,N59,N45,2,4,0.114805,9.24e-06,1.22755,2.13768,1.9504009999999998,5.694939100000001,0.774811,1e-06,1.221004,2.097344,-23423.484352,-23395.15406,41,50.3552144,2.13768,0.0012109470160932437
8,Sp022,Sp007,1,1,1.39672,0.962988,0.0,0.0,0.0,0.0,1.496163,0.964143,0.0,0.0,-23396.210458,-23395.15406,41,50.3552144,2.13768,4.515456479967402e-05
9,Sp014,Sp007,1,1,0.95916,0.962988,0.0,0.0,0.0,0.0,1.06459,0.815237,0.0,0.0,-23394.829685,-23395.15406,41,50.3552144,2.13768,-1.3865050820705966e-05
10,N74,Sp021,2,1,0.154625,2.13768,1.39672,0.0,2.35588,0.0,0.170604,2.002693,1.40233,0.0,-23394.7831,-23395.15406,41,50.3552144,2.13768,-1.5856275152060084e-05
11,Sp007,Sp021,1,1,0.962988,2.13768,0.0,0.0,0.0,0.0,0.994444,2.172561,0.0,0.0,-23395.474354,-23395.15406,41,50.3552144,2.13768,1.3690612986756841e-05
12,N60,N44,3,4,0.0837661,1.07843,1.39672,1.22755,3.4734930000000004,4.010934,0.045012,0.860492,1.393835,1.213655,-23394.308137,-23395.15406,41,50.3552144,2.13768,-3.6158043577370074e-05
13,Sp021,N44,1,4,2.13768,1.07843,0.0,1.22755,0.0,4.010934,2.13845,1.078929,0.0,1.227849,-23395.153811,-23395.15406,41,50.3552144,2.13768,-1.0643229789523799e-08
14,N44,N31,4,2,1.07843,0.272564,1.22755,1.61856,4.010934,2.451497,1.065329,0.267596,1.229998,1.63624,-23394.905108,-23395.15406,41,50.3552144,2.13768,-1.064117805607374e-05
15,N45,N31,4,2,9.24e-06,0.272564,2.13768,1.61856,5.694939100000001,2.451497,1e-06,0.275523,2.14396,1.622846,-23395.157342,-23395.15406,41,50.3552144,2.13768,1.4028546208482783e-07
16,Sp017,N30,1,8,1.61856,0.00935539,0.0,2.13768,0.0,10.784312340000003,1.563163,1e-06,0.0,2.094689,-23390.56572,-23395.15406,41,50.3552144,2.13768,-0.0001961235214880249
17,Sp009,N30,1,8,0.832937,0.00935539,0.0,2.13768,0.0,10.784312340000003,1.077597,0.06033,0.0,2.133697,-23396.805395,-23395.15406,41,50.3552144,2.13768,7.058448923924944e-05
18,N30,N18,8,2,0.00935539,1.0228,2.13768,1.12879,10.784312340000003,1.8418269999999999,0.187231,0.994041,2.08981,1.075786,-23398.197035,-23395.15406,41,50.3552144,2.13768,0.00013006860276261402
19,N31,N18,2,2,0.272564,1.0228,1.61856,1.12879,2.451497,1.8418269999999999,0.267277,1.044218,1.469497,1.095511,-23398.784578,-23395.15406,41,50.3552144,2.13768,0.00015518247884528438
20,N18,N13,2,9,1.0228,0.306445,1.12879,1.37695,1.8418269999999999,10.17865893,1.128342,0.335274,1.129744,1.381997,-23396.218087,-23395.15406,41,50.3552144,2.13768,4.548065797179671e-05
21,N19,N13,10,9,0.328948,0.306445,2.13768,1.37695,13.517728730000002,10.17865893,0.427043,0.335172,2.130646,1.380667,-23396.217349,-23395.15406,41,50.3552144,2.13768,4.544911297745454e-05
22,Sp034,Sp019,1,1,0.861245,1.06627,0.0,0.0,0.0,0.0,0.869484,1.186488,0.0,0.0,-23397.649892,-23395.15406,41,50.3552144,2.13768,0.00010668158002292371
23,Sp024,Sp019,1,1,0.443916,1.06627,0.0,0.0,0.0,0.0,0.497799,1.186844,0.0,0.0,-23397.649649,-23395.15406,41,50.3552144,2.13768,0.0001066711932564333
24,N62,Sp028,2,1,0.181989,1.37695,0.861245,0.0,1.305161,0.0,0.202946,1.527165,0.862666,0.0,-23395.924694,-23395.15406,41,50.3552144,2.13768,3.2939898494535816e-05
25,Sp019,Sp028,1,1,1.06627,1.37695,0.0,0.0,0.0,0.0,1.041902,1.521187,0.0,0.0,-23395.876826,-23395.15406,41,50.3552144,2.13768,3.089383374631026e-05
26,N48,Sp025,3,1,0.179075,1.16991,1.06627,0.0,2.55342,0.0,0.639418,1.243138,1.056143,0.0,-23406.352365,-23395.15406,41,50.3552144,2.13768,0.00047865916895774746
