idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp004,Sp005,1,1,0.0238885,0.0816391,0.0,0.0,0.0,0.0,0.029537,0.162228,0.0,0.0,-3212.409235,-3172.83635,10,4.79349541,1.13008,0.012472400286261232
1,Sp003,Sp005,1,1,0.0502376,0.0816391,0.0,0.0,0.0,0.0,0.028275,0.158144,0.0,0.0,-3200.273931,-3172.83635,10,4.79349541,1.13008,0.008647650862925892
2,Sp005,N7,1,4,0.0816391,1.71e-06,0.0,0.046152,0.0,0.1890836,0.042687,0.042378,0.0,0.046372,-3174.371969,-3172.83635,10,4.79349541,1.13008,0.0004839893491512002
3,N9,N7,2,4,0.0871674,1.71e-06,0.0502376,0.046152,0.0741261,0.1890836,0.083079,0.043027,0.049742,0.046159,-3175.389169,-3172.83635,10,4.79349541,1.13008,0.00080458577701305
4,Sp008,Sp006,1,1,0.0226705,0.0354124,0.0,0.0,0.0,0.0,0.023842,0.049037,0.0,0.0,-3178.597161,-3172.83635,10,4.79349541,1.13008,0.0018156659734436362
5,Sp007,Sp006,1,1,0.0358497,0.0354124,0.0,0.0,0.0,0.0,0.029857,0.049316,0.0,0.0,-3177.369485,-3172.83635,10,4.79349541,1.13008,0.0014287326858191502
6,N14,Sp000,2,1,0.0169326,0.046152,0.0358497,0.0,0.058520199999999994,0.0,0.006505,0.072822,0.036373,0.0,-3184.350871,-3172.83635,10,4.79349541,1.13008,0.0036290938862951626
7,Sp006,Sp000,1,1,0.0354124,0.046152,0.0,0.0,0.0,0.0,0.039718,0.076696,0.0,0.0,-3189.608515,-3172.83635,10,4.79349541,1.13008,0.005286173993814669
8,N10,N6,3,3,0.0320664,0.0450845,0.0358497,0.0871674,0.11086519999999998,0.2429326,0.03206,0.045109,0.035845,0.087158,-3172.835961,-3172.83635,10,4.79349541,1.13008,-1.226032347409526e-07
9,Sp000,N6,1,3,0.046152,0.0450845,0.0,0.0871674,0.0,0.2429326,1e-06,0.044028,0.0,0.086973,-3169.598213,-3172.83635,10,4.79349541,1.13008,-0.0010205811591889459
10,N6,Sp002,3,1,0.0450845,1.04236,0.0871674,0.0,0.2429326,0.0,0.045064,1.240724,0.086949,0.0,-3173.436665,-3172.83635,10,4.79349541,1.13008,0.00018920452673209474
11,N7,Sp002,4,1,1.71e-06,1.04236,0.046152,0.0,0.1890836,0.0,1e-06,1.240595,0.046042,0.0,-3173.436646,-3172.83635,10,4.79349541,1.13008,0.00018919853839926892
12,N4,Sp009,7,1,0.202614,1.13008,0.0871674,0.0,0.4771024099999999,0.0,0.322889,1.973191,0.086538,0.0,-3185.160843,-3172.83635,10,4.79349541,1.13008,0.003884377144128494
13,Sp002,Sp009,1,1,1.04236,1.13008,0.0,0.0,0.0,0.0,0.941926,1.965459,0.0,0.0,-3185.171251,-3172.83635,10,4.79349541,1.13008,0.0038876574898040906
