idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp009,N13,1,5,0.650565,0.382132,0.0,0.577956,0.0,3.2573188999999996,0.644875,0.429798,0.0,0.581753,-2621.700109,-2621.58326,13,14.079478350000002,1.68668,4.457192025249734e-05
1,Sp000,N13,1,5,0.461176,0.382132,0.0,0.577956,0.0,3.2573188999999996,0.488117,0.426482,0.0,0.577929,-2621.729172,-2621.58326,13,14.079478350000002,1.68668,5.565796907016906e-05
2,Sp007,N19,1,2,0.54561,0.408152,0.0,0.577956,0.0,0.950617,0.489607,0.696736,0.0,0.483375,-2625.808416,-2621.58326,13,14.079478350000002,1.68668,0.0016116810266785003
3,Sp002,N19,1,2,0.0969429,0.408152,0.0,0.577956,0.0,0.950617,0.179243,0.704129,0.0,0.487346,-2625.81308,-2621.58326,13,14.079478350000002,1.68668,0.0016134601042577675
4,Sp006,N18,1,2,0.577956,0.458229,0.0,0.54561,0.0,0.6425529000000001,0.638251,0.71191,0.0,0.583366,-2626.497615,-2621.58326,13,14.079478350000002,1.68668,0.0018745752137585522
5,Sp005,N18,1,2,0.372661,0.458229,0.0,0.54561,0.0,0.6425529000000001,0.441317,0.667415,0.0,0.569805,-2626.003756,-2621.58326,13,14.079478350000002,1.68668,0.0016861932510204482
6,N18,Sp001,2,1,0.458229,0.54565,0.54561,0.0,0.6425529000000001,0.0,0.53791,0.674241,0.536187,0.0,-2622.692214,-2621.58326,13,14.079478350000002,1.68668,0.0004230092619680014
7,N19,Sp001,2,1,0.408152,0.54565,0.577956,0.0,0.950617,0.0,0.466275,0.671172,0.611357,0.0,-2622.698987,-2621.58326,13,14.079478350000002,1.68668,0.00042559281523652
8,N16,N12,4,2,0.252118,0.113663,0.577956,0.650565,2.4595509,1.1117409999999999,0.420455,0.313347,0.565877,0.655788,-2625.805904,-2621.58326,13,14.079478350000002,1.68668,0.0016107228270903536
9,Sp001,N12,1,2,0.54565,0.113663,0.0,0.650565,0.0,1.1117409999999999,0.672522,0.311663,0.0,0.654599,-2625.805971,-2621.58326,13,14.079478350000002,1.68668,0.0016107483841655082
10,N12,Sp004,2,1,0.113663,1.00013,0.650565,0.0,1.1117409999999999,0.0,1e-06,0.951056,0.645893,0.0,-2620.23248,-2621.58326,13,14.079478350000002,1.68668,-0.0005152535189745447
11,N13,Sp004,5,1,0.382132,1.00013,0.577956,0.0,3.2573188999999996,0.0,0.383156,1.001688,0.578122,0.0,-2621.583123,-2621.58326,13,14.079478350000002,1.68668,-5.2258496644187743e-08
12,N10,Sp012,7,1,1.645e-05,1.1003,0.650565,0.0,4.8648549,0.0,1e-06,1.479064,0.641055,0.0,-2622.871761,-2621.58326,13,14.079478350000002,1.68668,0.0004914972641380066
13,Sp004,Sp012,1,1,1.00013,1.1003,0.0,0.0,0.0,0.0,0.877683,1.477659,0.0,0.0,-2622.673529,-2621.58326,13,14.079478350000002,1.68668,0.00041588188963346607
14,N8,Sp011,8,1,0.406352,1.64109,1.00013,0.0,5.86500135,0.0,0.426411,1.903122,1.002492,0.0,-2622.255066,-2621.58326,13,14.079478350000002,1.68668,0.00025625964669925757
15,Sp012,Sp011,1,1,1.1003,1.64109,0.0,0.0,0.0,0.0,1.072853,1.896566,0.0,0.0,-2622.180887,-2621.58326,13,14.079478350000002,1.68668,0.00022796415018308528
16,N6,Sp008,9,1,0.295699,1.37505,1.1003,0.0,7.37165335,0.0,0.465722,1.593864,1.086414,0.0,-2623.25946,-2621.58326,13,14.079478350000002,1.68668,0.0006393846137087157
17,Sp011,Sp008,1,1,1.64109,1.37505,0.0,0.0,0.0,0.0,1.747504,1.562837,0.0,0.0,-2623.260942,-2621.58326,13,14.079478350000002,1.68668,0.00063994992094968
18,N4,Sp010,10,1,0.549173,1.68668,1.64109,0.0,9.30844235,0.0,0.666377,1.658039,1.587661,0.0,-2622.235957,-2621.58326,13,14.079478350000002,1.68668,0.00024897054003922395
19,Sp008,Sp010,1,1,1.37505,1.68668,0.0,0.0,0.0,0.0,1.49965,1.727426,0.0,0.0,-2622.32161,-2621.58326,13,14.079478350000002,1.68668,0.0002816427810116861
