idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp003,Sp000,1,1,0.147561,0.0829537,0.0,0.0,0.0,0.0,0.164358,0.086573,0.0,0.0,-4540.139139,-4536.55222,15,4.828752,1.09213,0.0007906707177726056
1,Sp002,Sp000,1,1,0.176923,0.0829537,0.0,0.0,0.0,0.0,0.195827,0.088558,0.0,0.0,-4539.80385,-4536.55222,15,4.828752,1.09213,0.0007167623874504104
2,Sp000,N15,1,2,0.0829537,0.130407,0.0,0.154182,0.0,0.25036590000000003,0.093687,0.16135,0.0,0.15044,-4540.528319,-4536.55222,15,4.828752,1.09213,0.000876458333813786
3,N21,N15,2,2,0.0363777,0.130407,0.176923,0.154182,0.324484,0.25036590000000003,0.035217,0.158129,0.178058,0.148719,-4539.85694,-4536.55222,15,4.828752,1.09213,0.0007284651073629852
4,Sp006,N14,1,3,0.0961839,0.0476613,0.0,0.176923,0.0,0.4438154,0.145267,0.113904,0.0,0.181197,-4559.743214,-4536.55222,15,4.828752,1.09213,0.005112030651330296
5,Sp005,N14,1,3,0.154182,0.0476613,0.0,0.176923,0.0,0.4438154,0.195841,0.112822,0.0,0.181264,-4559.743587,-4536.55222,15,4.828752,1.09213,0.005112112872361107
6,N14,N11,3,2,0.0476613,0.0632627,0.176923,0.163463,0.4438154,0.2621274,0.051511,0.145449,0.174999,0.167095,-4544.572623,-4536.55222,15,4.828752,1.09213,0.0017679512129589116
7,N15,N11,2,2,0.130407,0.0632627,0.154182,0.163463,0.25036590000000003,0.2621274,0.13664,0.144996,0.155788,0.167236,-4544.57002,-4536.55222,15,4.828752,1.09213,0.0017673774291967778
8,Sp004,N10,1,5,0.163463,0.0897864,0.0,0.176923,0.0,0.8722496000000002,0.153197,0.14363,0.0,0.179175,-4538.916208,-4536.55222,15,4.828752,1.09213,0.0005210979363530975
9,Sp001,N10,1,5,0.0986644,0.0897864,0.0,0.176923,0.0,0.8722496000000002,0.10427,0.143778,0.0,0.178582,-4539.156402,-4536.55222,15,4.828752,1.09213,0.0005740443124448455
10,N10,N9,5,4,0.0897864,0.442821,0.176923,0.343699,0.8722496000000002,0.8314698999999999,0.068897,0.571778,0.176655,0.355531,-4537.803127,-4536.55222,15,4.828752,1.09213,0.0002757395791644943
11,N11,N9,2,4,0.0632627,0.442821,0.163463,0.343699,0.2621274,0.8314698999999999,0.06502,0.568005,0.161684,0.348272,-4538.932449,-4536.55222,15,4.828752,1.09213,0.000524677967886442
12,Sp009,Sp007,1,1,0.0798869,0.150624,0.0,0.0,0.0,0.0,0.084901,0.211933,0.0,0.0,-4544.96215,-4536.55222,15,4.828752,1.09213,0.0018538153188062969
13,Sp008,Sp007,1,1,0.151911,0.150624,0.0,0.0,0.0,0.0,0.142962,0.213905,0.0,0.0,-4544.567449,-4536.55222,15,4.828752,1.09213,0.0017668106992496046
14,N18,Sp010,2,1,0.0736376,0.343699,0.151911,0.0,0.2317979,0.0,0.0323,0.357576,0.151234,0.0,-4532.172095,-4536.55222,15,4.828752,1.09213,-0.0009655184791413423
15,Sp007,Sp010,1,1,0.150624,0.343699,0.0,0.0,0.0,0.0,0.151889,0.373351,0.0,0.0,-4536.987438,-4536.55222,15,4.828752,1.09213,9.593585147809275e-05
16,Sp010,N8,1,7,0.343699,0.126317,0.0,0.176923,0.0,1.2874261000000002,0.339267,0.498134,0.0,0.178106,-4560.698886,-4536.55222,15,4.828752,1.09213,0.005322691072208258
17,N13,N8,3,7,0.0317114,0.126317,0.151911,0.176923,0.45605949999999995,1.2874261000000002,0.07181,0.500454,0.16324,0.178517,-4560.70407,-4536.55222,15,4.828752,1.09213,0.00532383379023469
18,N8,Sp012,7,1,0.126317,0.413562,0.176923,0.0,1.2874261000000002,0.0,0.043034,0.517579,0.176175,0.0,-4536.061211,-4536.55222,15,4.828752,1.09213,-0.00010823395746106816
19,N9,Sp012,4,1,0.442821,0.413562,0.343699,0.0,0.8314698999999999,0.0,0.418163,0.53972,0.342298,0.0,-4538.115661,-4536.55222,15,4.828752,1.09213,0.0003446319857418591
20,N6,Sp013,11,1,0.139482,0.0934448,0.442821,0.0,2.6880340000000005,0.0,1.124649,0.105106,0.467562,0.0,-4595.25991,-4536.55222,15,4.828752,1.09213,0.01294103697102382
21,Sp012,Sp013,1,1,0.413562,0.0934448,0.0,0.0,0.0,0.0,1.460225,0.101492,0.0,0.0,-4595.245147,-4536.55222,15,4.828752,1.09213,0.012937782737569823
22,N4,Sp014,12,1,1.09213,0.17101,0.442821,0.0,3.241078000000001,0.0,1.14589,0.17126,0.441188,0.0,-4537.503395,-4536.55222,15,4.828752,1.09213,0.00020966913944179145
23,Sp013,Sp014,1,1,0.0934448,0.17101,0.0,0.0,0.0,0.0,0.156408,0.132318,0.0,0.0,-4537.173918,-4536.55222,15,4.828752,1.09213,0.00013704195826513233
