idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp002,Sp001,1,1,0.678537,1.01402,0.0,0,0.0,0,0.681786,1.277061,0.0,0,-2893.472319,-2891.2086,8,7.833800999999999,1.80159,0.0007829663345633509
1,Sp000,Sp001,1,1,0.460697,1.01402,0.0,0,0.0,0,0.456944,1.258581,0.0,0,-2893.24286,-2891.2086,8,7.833800999999999,1.80159,0.0007036019469504566
2,N10,Sp003,2,1,0.366404,0.55161,0.678537,0,1.139234,0,0.498499,0.773465,0.721567,0,-2893.444292,-2891.2086,8,7.833800999999999,1.80159,0.0007732724646710719
3,Sp001,Sp003,1,1,1.01402,0.55161,0.0,0,0.0,0,0.859474,0.73808,0.0,0,-2891.444059,-2891.2086,8,7.833800999999999,1.80159,8.143964430653383e-05
4,N8,Sp004,3,1,0.356938,0.621103,1.01402,0,2.5196579999999997,0,0.246664,1.292733,1.011855,0,-2894.855256,-2891.2086,8,7.833800999999999,1.80159,0.0012612912122632362
5,Sp003,Sp004,1,1,0.55161,0.621103,0.0,0,0.0,0,0.579356,1.300494,0.0,0,-2895.312094,-2891.2086,8,7.833800999999999,1.80159,0.001419300565168475
6,N6,Sp007,4,1,0.77035,0.564528,1.01402,0,3.428206,0,1.809057,0.457845,1.104335,0,-2908.998162,-2891.2086,8,7.833800999999999,1.80159,0.006152984603047989
7,Sp004,Sp007,1,1,0.621103,0.564528,0.0,0,0.0,0,2.211454,0.446104,0.0,0,-2908.700703,-2891.2086,8,7.833800999999999,1.80159,0.006050100639573375
8,N4,Sp006,5,1,1.80159,0.326816,1.01402,0,4.819659,0,1.8604,0.312607,0.996514,0,-2891.001588,-2891.2086,8,7.833800999999999,1.80159,-7.160050644559152e-05
9,Sp007,Sp006,1,1,0.564528,0.326816,0.0,0,0.0,0,0.722355,0.320838,0.0,0,-2891.630383,-2891.2086,8,7.833800999999999,1.80159,0.00014588466567242236
