idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp014,Sp007,1,1,0.464896,0.226439,0.0,0.0,0.0,0.0,0.607797,0.360844,0.0,0.0,-1373.919294,-1371.27567,16,10.81550996,1.56937,0.00192785743803071
1,Sp006,Sp007,1,1,0.505208,0.226439,0.0,0.0,0.0,0.0,0.610373,0.356252,0.0,0.0,-1373.91741,-1371.27567,16,10.81550996,1.56937,0.0019264835348533728
2,N20,N19,2,4,0.303997,0.3972,0.505208,0.541173,0.970104,2.022308,0.305669,0.481466,0.493342,0.533866,-1372.208267,-1371.27567,16,10.81550996,1.56937,0.0006800944699908422
3,Sp007,N19,1,4,0.226439,0.3972,0.0,0.541173,0.0,2.022308,0.14785,0.386291,0.0,0.542999,-1370.266989,-1371.27567,16,10.81550996,1.56937,-0.000735578572614815
4,Sp015,Sp008,1,1,0.466225,0.541173,0.0,0.0,0.0,0.0,0.478594,0.771208,0.0,0.0,-1373.279683,-1371.27567,16,10.81550996,1.56937,0.0014614224140649897
5,Sp002,Sp008,1,1,0.266539,0.541173,0.0,0.0,0.0,0.0,0.276336,0.740353,0.0,0.0,-1372.984079,-1371.27567,16,10.81550996,1.56937,0.0012458537968518572
6,N26,Sp004,2,1,0.316814,0.188116,0.466225,0.0,0.732764,0.0,0.44955,0.269029,0.472547,0.0,-1372.509569,-1371.27567,16,10.81550996,1.56937,0.0008998183421427326
7,Sp008,Sp004,1,1,0.541173,0.188116,0.0,0.0,0.0,0.0,0.676233,0.262829,0.0,0.0,-1372.503083,-1371.27567,16,10.81550996,1.56937,0.000895088439802968
8,N22,N18,3,3,0.243441,0.148661,0.541173,0.505208,1.590751,1.50054,0.280159,0.292354,0.503171,0.511446,-1373.651005,-1371.27567,16,10.81550996,1.56937,0.0017322082291447278
9,Sp004,N18,1,3,0.188116,0.148661,0.0,0.505208,0.0,1.50054,0.306108,0.306671,0.0,0.514907,-1373.649425,-1371.27567,16,10.81550996,1.56937,0.0017310560173506716
10,N18,Sp003,3,1,0.148661,0.153205,0.505208,0.0,1.50054,0.0,0.344568,0.268677,0.494604,0.0,-1374.261905,-1371.27567,16,10.81550996,1.56937,0.0021777058146157284
11,N19,Sp003,4,1,0.3972,0.153205,0.541173,0.0,2.022308,0.0,0.590202,0.267666,0.54802,0.0,-1374.261268,-1371.27567,16,10.81550996,1.56937,0.002177241283658144
12,N16,Sp001,7,1,0.431343,0.295089,0.541173,0.0,4.068709,0.0,0.214769,0.607723,0.540987,0.0,-1371.885144,-1371.27567,16,10.81550996,1.56937,0.00044445767786435757
13,Sp003,Sp001,1,1,0.153205,0.295089,0.0,0.0,0.0,0.0,0.214629,0.575963,0.0,0.0,-1373.477956,-1371.27567,16,10.81550996,1.56937,0.0016060125970148353
14,N12,N11,8,2,0.343532,0.514203,0.541173,1.56937,4.653257,1.5694089599999999,0.376677,0.725397,0.547248,1.446165,-1375.432714,-1371.27567,16,10.81550996,1.56937,0.0030315159022693385
15,Sp001,N11,1,2,0.295089,0.514203,0.0,1.56937,0.0,1.5694089599999999,0.443495,0.774268,0.0,1.433939,-1375.465237,-1371.27567,16,10.81550996,1.56937,0.0030552332340293745
16,Sp009,N10,1,9,3.896e-05,0.645083,0.0,0.541173,0.0,5.291878,0.447042,0.349238,0.0,0.528604,-1373.169549,-1371.27567,16,10.81550996,1.56937,0.0013811074180292062
17,Sp005,N10,1,9,1.56937,0.645083,0.0,0.541173,0.0,5.291878,1.709433,0.687129,0.0,0.531357,-1373.701742,-1371.27567,16,10.81550996,1.56937,0.001769208083448295
18,N10,Sp000,9,1,0.645083,0.297713,0.541173,0.0,5.291878,0.0,0.797705,0.363205,0.53488,0.0,-1372.015915,-1371.27567,16,10.81550996,1.56937,0.0005398221642771209
19,N11,Sp000,2,1,0.514203,0.297713,1.56937,0.0,1.5694089599999999,0.0,0.625742,0.331259,1.56129,0.0,-1372.013167,-1371.27567,16,10.81550996,1.56937,0.0005378181908529565
20,N6,N5,11,2,0.206549,0.281269,1.56937,0.50707,8.020572959999999,0.840859,0.21524,0.389904,1.538503,0.583726,-1372.922023,-1371.27567,16,10.81550996,1.56937,0.0012005995847648126
21,Sp000,N5,1,2,0.297713,0.281269,0.0,0.50707,0.0,0.840859,0.311364,0.352609,0.0,0.695404,-1372.311157,-1371.27567,16,10.81550996,1.56937,0.0007551267937249283
22,Sp012,N4,1,12,0.333789,0.232533,0.0,1.56937,0.0,8.52483496,0.392017,0.331076,0.0,1.542734,-1373.592021,-1371.27567,16,10.81550996,1.56937,0.0016891942668245113
23,Sp010,N4,1,12,0.50707,0.232533,0.0,1.56937,0.0,8.52483496,0.489026,0.283655,0.0,1.538057,-1372.930791,-1371.27567,16,10.81550996,1.56937,0.0012069936309742945
24,N4,Sp013,12,1,0.232533,0.141565,1.56937,0.0,8.52483496,0.0,0.493735,0.181831,1.5671,0.0,-1372.78704,-1371.27567,16,10.81550996,1.56937,0.001102163505898083
25,N5,Sp013,2,1,0.281269,0.141565,0.50707,0.0,0.840859,0.0,0.449726,0.179194,0.478633,0.0,-1372.79444,-1371.27567,16,10.81550996,1.56937,0.0011075599408832974
