idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp023,Sp019,1,1,0.998931,0.676766,0.0,0.0,0.0,0.0,1.183922,0.715455,0.0,0.0,-4471.041603,-4465.91236,26,17.80567930000001,1.55428,0.0011485319429778073
1,Sp021,Sp019,1,1,0.369959,0.676766,0.0,0.0,0.0,0.0,0.754095,0.720822,0.0,0.0,-4471.042533,-4465.91236,26,17.80567930000001,1.55428,0.001148740187100214
2,N30,N21,2,5,0.576952,0.465809,0.998931,0.49423,1.36889,1.8604322999999998,0.711023,0.452294,0.971865,0.488572,-4466.128998,-4465.91236,26,17.80567930000001,1.55428,4.8509236755348087e-05
3,Sp019,N21,1,5,0.676766,0.465809,0.0,0.49423,0.0,1.8604322999999998,0.853291,0.433943,0.0,0.488554,-4466.071339,-4465.91236,26,17.80567930000001,1.55428,3.559832508666101e-05
4,Sp014,N33,1,3,0.49423,0.106037,0.0,0.291199,0.0,0.6217843,0.558697,0.16879,0.0,0.311832,-4466.746834,-4465.91236,26,17.80567930000001,1.55428,0.00018685409222838354
5,Sp002,N33,1,3,0.482606,0.106037,0.0,0.291199,0.0,0.6217843,0.521071,0.170427,0.0,0.315422,-4466.72187,-4465.91236,26,17.80567930000001,1.55428,0.00018126419301252157
6,Sp001,Sp008,1,1,0.0985474,0.145333,0.0,0.0,0.0,0.0,1e-06,0.437705,0.0,0.0,-4467.112731,-4465.91236,26,17.80567930000001,1.55428,0.000268785167114185
7,Sp000,Sp008,1,1,0.0867049,0.145333,0.0,0.0,0.0,0.0,0.107006,0.454254,0.0,0.0,-4470.716109,-4465.91236,26,17.80567930000001,1.55428,0.0010756478436580196
8,Sp008,N32,1,2,0.145333,0.155775,0.0,0.49423,0.0,0.976836,0.163375,0.270522,0.0,0.48563,-4467.686056,-4465.91236,26,17.80567930000001,1.55428,0.0003971631901883741
9,N41,N32,2,2,0.291199,0.155775,0.0985474,0.49423,0.18525229999999998,0.976836,0.029491,0.259509,0.109784,0.477654,-4459.828178,-4465.91236,26,17.80567930000001,1.55428,-0.001362360366606144
10,N32,N20,2,3,0.155775,0.233375,0.49423,0.998931,0.976836,2.6226079999999996,0.145485,0.560726,0.5084,0.9549,-4470.889729,-4465.91236,26,17.80567930000001,1.55428,0.0011145245582025215
11,N33,N20,3,3,0.106037,0.233375,0.291199,0.998931,0.6217843,2.6226079999999996,0.1472,0.584039,0.268715,0.962677,-4470.912614,-4465.91236,26,17.80567930000001,1.55428,0.0011196489310416262
12,N20,Sp007,3,1,0.233375,0.572475,0.998931,0.0,2.6226079999999996,0.0,0.242461,0.530913,1.034211,0.0,-4465.299352,-4465.91236,26,17.80567930000001,1.55428,-0.0001372637773841723
13,N21,Sp007,5,1,0.465809,0.572475,0.49423,0.0,1.8604322999999998,0.0,0.504869,0.508336,0.495035,0.0,-4465.417269,-4465.91236,26,17.80567930000001,1.55428,-0.00011085999009633146
14,Sp007,N9,1,7,0.572475,0.132454,0.0,0.637469,0.0,4.711507,0.699076,0.061498,0.0,0.670772,-4467.159238,-4465.91236,26,17.80567930000001,1.55428,0.00027919894066168465
