idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp013,Sp014,1,1,0.333803,0.596512,0.0,0.0,0.0,0.0,0.437086,0.800075,0.0,0.0,-24245.038149,-24178.25234,19,19.869153649999998,1.66877,0.002762226486052171
1,Sp003,Sp014,1,1,0.434462,0.596512,0.0,0.0,0.0,0.0,0.500401,0.798475,0.0,0.0,-24245.047444,-24178.25234,19,19.869153649999998,1.66877,0.002762610922440258
2,Sp014,N29,1,2,0.596512,0.254277,0.0,0.611631,0.0,0.748128,0.519882,0.238473,0.0,0.625826,-24175.337624,-24178.25234,19,19.869153649999998,1.66877,-0.0001205511448475236
3,N31,N29,2,2,0.446725,0.254277,0.434462,0.611631,0.768265,0.748128,0.390924,0.23814,0.434483,0.614119,-24176.5678,-24178.25234,19,19.869153649999998,1.66877,-6.967170233439537e-05
4,Sp012,N28,1,3,0.611631,1.255e-05,0.0,0.596512,0.0,1.8115020000000002,0.5601,0.180088,0.0,0.611148,-24199.956222,-24178.25234,19,19.869153649999998,1.66877,0.0008976613236886092
5,Sp005,N28,1,3,0.136497,1.255e-05,0.0,0.596512,0.0,1.8115020000000002,0.173202,0.175917,0.0,0.606879,-24200.545254,-24178.25234,19,19.869153649999998,1.66877,0.0009220233822740174
6,N28,Sp008,3,1,1.255e-05,1.57121,0.596512,0.0,1.8115020000000002,0.0,0.004877,1.887522,0.591855,0.0,-24185.964713,-24178.25234,19,19.869153649999998,1.66877,0.00031897975467990824
7,N29,Sp008,2,1,0.254277,1.57121,0.611631,0.0,0.748128,0.0,0.263746,1.887489,0.606756,0.0,-24185.964341,-24178.25234,19,19.869153649999998,1.66877,0.0003189643689523952
8,N22,N19,5,2,0.387464,0.606047,0.611631,0.698154,2.8139195500000005,1.193807,0.523716,0.616075,0.614891,0.728894,-24181.318496,-24178.25234,19,19.869153649999998,1.66877,0.00012681462484896765
9,Sp008,N19,1,2,1.57121,0.606047,0.0,0.698154,0.0,1.193807,1.606814,0.643059,0.0,0.732043,-24181.249388,-24178.25234,19,19.869153649999998,1.66877,0.00012395635374533803
10,Sp004,N18,1,6,0.698154,0.246858,0.0,1.57121,0.0,4.772593550000001,0.672857,0.525739,0.0,1.529772,-24211.03197,-24178.25234,19,19.869153649999998,1.66877,0.0013557485271907335
11,Sp001,N18,1,6,0.495653,0.246858,0.0,1.57121,0.0,4.772593550000001,0.620395,0.547768,0.0,1.50966,-24214.860341,-24178.25234,19,19.869153649999998,1.66877,0.001514087969850368
12,N18,N15,6,3,0.246858,0.0567401,1.57121,1.66877,4.772593550000001,3.4855199999999997,0.23725,0.086781,1.580841,1.668509,-24177.581807,-24178.25234,19,19.869153649999998,1.66877,-2.7732897753371383e-05
13,N19,N15,2,3,0.606047,0.0567401,0.698154,1.66877,1.193807,3.4855199999999997,0.627157,0.104968,0.670667,1.666573,-24179.235994,-24178.25234,19,19.869153649999998,1.66877,4.068342021446784e-05
14,Sp002,Sp018,1,1,0.71253,1.66877,0.0,0.0,0.0,0.0,0.745706,1.746215,0.0,0.0,-24187.647219,-24178.25234,19,19.869153649999998,1.66877,0.00038856733182723874
