idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp004,N9,1,2,0.939433,0.250818,0.0,0.313752,0.0,0.31375607,0.943863,0.634662,0.0,0.313211,-2934.487403,-2928.52725,9,10.056781069999998,3.33973,0.0020352048969324056
1,Sp003,N9,1,2,0.293245,0.250818,0.0,0.313752,0.0,0.31375607,0.439511,0.638524,0.0,0.312935,-2934.520522,-2928.52725,9,10.056781069999998,3.33973,0.0020465139943634486
2,Sp007,N8,1,2,0.313752,0.555479,0.0,0.939433,0.0,1.232678,0.269689,0.790639,0.0,0.939937,-2929.842581,-2928.52725,9,10.056781069999998,3.33973,0.000449144190138503
3,Sp000,N8,1,2,4.07e-06,0.555479,0.0,0.939433,0.0,1.232678,1e-06,0.773604,0.0,0.938528,-2930.124238,-2928.52725,9,10.056781069999998,3.33973,0.0005453212019795215
4,N8,N7,2,2,0.555479,0.658201,0.939433,0.907353,1.232678,1.2694,0.462018,1.043842,0.939317,0.894542,-2930.741963,-2928.52725,9,10.056781069999998,3.33973,0.0007562548717960015
5,N9,N7,2,2,0.250818,0.658201,0.313752,0.907353,0.31375607,1.2694,0.315596,1.03578,0.312461,0.888401,-2930.931316,-2928.52725,9,10.056781069999998,3.33973,0.0008209129691383466
6,Sp006,N6,1,4,0.362047,0.515626,0.0,0.939433,0.0,2.35273107,0.457723,0.995182,0.0,0.939104,-2933.700871,-2928.52725,9,10.056781069999998,3.33973,0.0017666289429268283
7,Sp005,N6,1,4,0.907353,0.515626,0.0,0.939433,0.0,2.35273107,0.900341,0.992482,0.0,0.939335,-2933.698463,-2928.52725,9,10.056781069999998,3.33973,0.0017658066866204096
8,N6,Sp001,4,1,0.515626,0.138043,0.939433,0.0,2.35273107,0.0,1.543956,0.2054,0.907856,0.0,-2942.253416,-2928.52725,9,10.056781069999998,3.33973,0.004687054218122751
9,N7,Sp001,2,1,0.658201,0.138043,0.907353,0.0,1.2694,0.0,1.565859,0.207239,0.850318,0.0,-2942.256752,-2928.52725,9,10.056781069999998,3.33973,0.004688193357258221
10,N4,Sp008,6,1,1.20129,3.33973,0.939433,0.0,4.79595807,0.0,1.185108,3.770996,0.935189,0.0,-2929.379758,-2928.52725,9,10.056781069999998,3.33973,0.0002911046841035689
11,Sp001,Sp008,1,1,0.138043,3.33973,0.0,0.0,0.0,0.0,0.171518,3.804602,0.0,0.0,-2929.376763,-2928.52725,9,10.056781069999998,3.33973,0.00029008198574901955
