idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp031,N47,1,4,0.186735,2.925e-05,0.0,0.980547,0.0,2.9520962,0.176461,0.890375,0.0,0.706023,-8296.75742,-8278.21309,35,35.70666371,2.07648,0.002240136826436855
1,Sp024,N47,1,4,0.255382,2.925e-05,0.0,0.980547,0.0,2.9520962,0.266018,0.897826,0.0,0.709009,-8296.735276,-8278.21309,35,35.70666371,2.07648,0.002237461853014483
2,Sp022,Sp011,1,1,0.640516,0.463548,0.0,0.0,0.0,0.0,0.446451,0.718268,0.0,0.0,-8277.744915,-8278.21309,35,35.70666371,2.07648,-5.655507956971108e-05
3,Sp010,Sp011,1,1,0.0791382,0.463548,0.0,0.0,0.0,0.0,0.141586,0.699646,0.0,0.0,-8280.851584,-8278.21309,35,35.70666371,2.07648,0.0003187274803529755
4,N64,Sp017,2,1,0.286838,0.980547,0.640516,0.0,0.7196542,0.0,0.280854,1.230596,0.583409,0.0,-8284.169569,-8278.21309,35,35.70666371,2.07648,0.0007195368052552027
5,Sp011,Sp017,1,1,0.463548,0.980547,0.0,0.0,0.0,0.0,0.47716,1.252548,0.0,0.0,-8284.366093,-8278.21309,35,35.70666371,2.07648,0.0007432767111822757
6,N60,N46,3,2,0.501509,1.04086,0.640516,0.255382,1.4700402000000001,0.442117,0.491946,0.861027,0.636696,0.276636,-8276.334883,-8278.21309,35,35.70666371,2.07648,-0.0002268855584629252
7,Sp017,N46,1,2,0.980547,1.04086,0.0,0.255382,0.0,0.442117,0.9809,1.041134,0.0,0.255822,-8278.212236,-8278.21309,35,35.70666371,2.07648,-1.0316236011390477e-07
8,N46,N33,2,3,1.04086,7.11e-06,0.255382,1.21194,0.442117,2.720015,1.284042,1e-06,0.244821,1.191148,-8280.23041,-8278.21309,35,35.70666371,2.07648,0.00024369027205131254
9,N47,N33,4,3,2.925e-05,7.11e-06,0.980547,1.21194,2.9520962,2.720015,0.253222,1e-06,1.060396,1.189971,-8280.230993,-8278.21309,35,35.70666371,2.07648,0.0002437606978778476
10,Sp006,Sp001,1,1,1.21194,0.57827,0.0,0.0,0.0,0.0,1.529127,0.627541,0.0,0.0,-8286.339546,-8278.21309,35,35.70666371,2.07648,0.0009816678927746668
11,Sp005,Sp001,1,1,0.367157,0.57827,0.0,0.0,0.0,0.0,0.866563,0.629711,0.0,0.0,-8286.336261,-8278.21309,35,35.70666371,2.07648,0.0009812710680054619
12,N48,N32,2,6,0.562648,0.346689,1.21194,1.04086,1.579097,4.43510245,0.562687,0.346781,1.211791,1.041156,-8278.212224,-8278.21309,35,35.70666371,2.07648,-1.0461194814395401e-07
13,Sp001,N32,1,6,0.57827,0.346689,0.0,1.04086,0.0,4.43510245,0.57804,0.346755,0.0,1.041157,-8278.212226,-8278.21309,35,35.70666371,2.07648,-1.0437035024881187e-07
14,N32,N25,6,3,0.346689,0.298919,1.04086,1.11951,4.43510245,2.8724603999999996,0.419973,0.689566,0.993753,1.174489,-8287.110881,-8278.21309,35,35.70666371,2.07648,0.0010748444021995132
15,N33,N25,3,3,7.11e-06,0.298919,1.21194,1.11951,2.720015,2.8724603999999996,0.004486,0.695347,1.235971,1.175361,-8287.105045,-8278.21309,35,35.70666371,2.07648,0.0010741394191389393
16,Sp026,Sp004,1,1,0.7452,1.11951,0.0,0.0,0.0,0.0,0.759344,1.133817,0.0,0.0,-8278.246493,-8278.21309,35,35.70666371,2.07648,4.035049549717707e-06
17,Sp019,Sp004,1,1,0.94764,1.11951,0.0,0.0,0.0,0.0,0.967616,1.13117,0.0,0.0,-8278.248041,-8278.21309,35,35.70666371,2.07648,4.222046427347538e-06
18,N34,N24,2,9,0.0601104,0.392098,0.94764,1.21194,1.69284,7.50181356,0.264651,0.410176,0.924155,1.213091,-8279.154271,-8278.21309,35,35.70666371,2.07648,0.00011369373918836178
19,Sp004,N24,1,9,1.11951,0.392098,0.0,1.21194,0.0,7.50181356,1.200611,0.409686,0.0,1.21221,-8279.154846,-8278.21309,35,35.70666371,2.07648,0.0001137631986228768
20,N24,N17,9,3,0.392098,4.496e-05,1.21194,1.3148,7.50181356,3.3584417,0.50187,1e-06,1.216235,1.317636,-8280.005391,-8278.21309,35,35.70666371,2.07648,0.00021650819814802768
21,N25,N17,3,3,0.298919,4.496e-05,1.11951,1.3148,2.8724603999999996,3.3584417,0.407836,1e-06,1.126761,1.20723,-8278.318462,-8278.21309,35,35.70666371,2.07648,1.2728833971099008e-05
22,Sp016,Sp020,1,1,0.864345,1.3148,0.0,0.0,0.0,0.0,0.905756,1.158288,0.0,0.0,-8277.893492,-8278.21309,35,35.70666371,2.07648,-3.86071240889067e-05
23,Sp009,Sp020,1,1,1.11816,1.3148,0.0,0.0,0.0,0.0,1.174904,1.224932,0.0,0.0,-8277.816903,-8278.21309,35,35.70666371,2.07648,-4.785899996667794e-05
24,Sp020,N16,1,12,1.3148,0.177202,0.0,1.21194,0.0,11.06529096,1.310622,0.173407,0.0,1.211734,-8278.205818,-8278.21309,35,35.70666371,2.07648,-8.78450448165543e-07
25,N27,N16,2,12,0.0611367,0.177202,1.11816,1.21194,1.9825050000000002,11.06529096,0.060882,0.177185,1.11789,1.211793,-8278.212227,-8278.21309,35,35.70666371,2.07648,-1.0424955119137473e-07
26,N16,N13,12,2,0.177202,0.184774,1.21194,1.0157,11.06529096,1.7347830000000002,0.218744,0.224596,1.21817,0.970604,-8278.988345,-8278.21309,35,35.70666371,2.07648,9.36500415695956e-05
27,N17,N13,3,2,4.496e-05,0.184774,1.3148,1.0157,3.3584417,1.7347830000000002,0.036178,0.222509,1.321092,0.971365,-8279.016853,-8278.21309,35,35.70666371,2.07648,9.709377993311476e-05
28,Sp034,N12,1,15,1.0157,0.148147,0.0,1.3148,0.0,14.60097962,1.135092,0.168174,0.0,1.310037,-8278.872095,-8278.21309,35,35.70666371,2.07648,7.9607155896653e-05
29,Sp000,N12,1,15,0.719083,0.148147,0.0,1.3148,0.0,14.60097962,0.836437,0.122328,0.0,1.320174,-8278.664388,-8278.21309,35,35.70666371,2.07648,5.4516354567523174e-05
