idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp015,N29,1,2,0.295162,2.26e-06,0.0,0.275241,0.0,0.488544,0.413959,1e-06,0.0,0.295765,-6215.292269,-6211.93613,45,32.61817638999999,1.41086,0.0005402726186754161
1,Sp003,N29,1,2,0.335011,2.26e-06,0.0,0.275241,0.0,0.488544,0.456115,1e-06,0.0,0.295689,-6215.292207,-6211.93613,45,32.61817638999999,1.41086,0.0005402626378903816
2,Sp008,N28,1,2,0.213303,0.164047,0.0,0.335011,0.0,0.630173,0.213363,0.164086,0.0,0.335125,-6211.935154,-6211.93613,45,32.61817638999999,1.41086,-1.5711687625872628e-07
3,Sp004,N28,1,2,0.275241,0.164047,0.0,0.335011,0.0,0.630173,0.226858,0.1473,0.0,0.332987,-6210.629511,-6211.93613,45,32.61817638999999,1.41086,-0.00021034005705399214
4,N28,N25,2,19,0.164047,1.45e-06,0.335011,1.3266,0.630173,14.94215831,0.228857,0.119834,0.32016,1.304403,-6224.973424,-6211.93613,45,32.61817638999999,1.41086,0.002098748880729356
5,N29,N25,2,19,2.26e-06,1.45e-06,0.275241,1.3266,0.488544,14.94215831,0.016955,0.136026,0.253861,1.316592,-6224.962624,-6211.93613,45,32.61817638999999,1.41086,0.002097010292344994
6,Sp042,N73,1,2,1.3266,0.590086,0.0,0.721957,0.0,0.7551574,1.23529,0.724592,0.0,0.665357,-6214.167991,-6211.93613,45,32.61817638999999,1.41086,0.00035928588982453175
7,Sp011,N73,1,2,0.127959,0.590086,0.0,0.721957,0.0,0.7551574,0.404338,0.682452,0.0,0.597398,-6214.119455,-6211.93613,45,32.61817638999999,1.41086,0.0003514725448408575
8,Sp034,N72,1,2,0.0332004,0.53945,0.0,1.3266,0.0,1.454559,1e-06,0.707006,0.0,1.113795,-6214.689306,-6211.93613,45,32.61817638999999,1.41086,0.0004432073901571436
9,Sp029,N72,1,2,0.721957,0.53945,0.0,1.3266,0.0,1.454559,0.646917,0.919892,0.0,1.218347,-6216.210275,-6211.93613,45,32.61817638999999,1.41086,0.0006880535972285209
10,N72,N63,2,2,0.53945,0.671749,1.3266,1.05045,1.454559,1.5939550000000002,0.368378,0.804848,1.261652,1.278129,-6211.341968,-6211.93613,45,32.61817638999999,1.41086,-9.564843996558027e-05
11,N73,N63,2,2,0.590086,0.671749,0.721957,1.05045,0.7551574,1.5939550000000002,0.616737,0.750056,0.743507,1.131222,-6212.170114,-6211.93613,45,32.61817638999999,1.41086,3.766683930787763e-05
12,Sp025,N62,1,4,0.543505,0.197369,0.0,1.3266,0.0,3.3392524,1.031727,0.243815,0.0,1.331703,-6216.282488,-6211.93613,45,32.61817638999999,1.41086,0.0006996784752839663
13,Sp019,N62,1,4,1.05045,0.197369,0.0,1.3266,0.0,3.3392524,1.492401,0.129644,0.0,1.328095,-6215.967754,-6211.93613,45,32.61817638999999,1.41086,0.0006490124681948706
14,N62,N51,4,3,0.197369,0.0792135,1.3266,0.650723,3.3392524,1.7396570000000002,0.497544,0.082139,1.32237,0.659155,-6212.689032,-6211.93613,45,32.61817638999999,1.41086,0.00012120246960751937
15,N63,N51,2,3,0.671749,0.0792135,1.05045,0.650723,1.5939550000000002,1.7396570000000002,0.815325,1e-06,0.960403,0.658715,-6212.150637,-6211.93613,45,32.61817638999999,1.41086,3.453142394103864e-05
16,Sp027,Sp035,1,1,0.650723,0.455451,0.0,0.0,0.0,0.0,0.694188,0.496883,0.0,0.0,-6212.487743,-6211.93613,45,32.61817638999999,1.41086,8.879888467231129e-05
17,Sp014,Sp035,1,1,0.49321,0.455451,0.0,0.0,0.0,0.0,0.558613,0.510968,0.0,0.0,-6212.537966,-6211.93613,45,32.61817638999999,1.41086,9.688380360083018e-05
18,Sp035,N50,1,6,0.455451,0.359602,0.0,1.3266,0.0,5.802325400000001,0.42704,0.235176,0.0,1.222584,-6209.351602,-6211.93613,45,32.61817638999999,1.41086,-0.0004160583666529615
19,N65,N50,2,6,0.140273,0.359602,0.650723,1.3266,1.143933,5.802325400000001,0.160242,0.392748,0.640364,1.306031,-6212.933354,-6211.93613,45,32.61817638999999,1.41086,0.00016053352435221074
20,N50,N41,6,5,0.359602,0.249167,1.3266,0.935654,5.802325400000001,4.19808001,0.551298,0.213584,1.330005,0.903975,-6214.550803,-6211.93613,45,32.61817638999999,1.41086,0.00042091112099055644
21,N51,N41,3,5,0.0792135,0.249167,0.650723,0.935654,1.7396570000000002,4.19808001,0.181452,0.215767,0.651524,0.901278,-6214.536785,-6211.93613,45,32.61817638999999,1.41086,0.0004186544976598444
22,Sp038,N67,1,2,0.935654,0.453093,0.0,0.797903,0.0,1.433776,1.027889,0.460018,0.0,0.784337,-6212.224091,-6211.93613,45,32.61817638999999,1.41086,4.635607868041549e-05
23,Sp018,N67,1,2,0.491791,0.453093,0.0,0.797903,0.0,1.433776,0.584813,0.379594,0.0,0.755256,-6212.054598,-6211.93613,45,32.61817638999999,1.41086,1.9071026733120333e-05
24,Sp037,N66,1,2,0.635873,0.129904,0.0,0.935654,0.0,1.427445,0.949035,0.126995,0.0,0.88871,-6215.347136,-6211.93613,45,32.61817638999999,1.41086,0.0005491051306092985
25,Sp033,N66,1,2,0.797903,0.129904,0.0,0.935654,0.0,1.427445,1.093425,0.148723,0.0,0.888831,-6215.366579,-6211.93613,45,32.61817638999999,1.41086,0.0005522350726422389
26,N66,Sp016,2,1,0.129904,0.753856,0.935654,0.0,1.427445,0.0,0.130222,0.621682,0.947454,0.0,-6211.072249,-6211.93613,45,32.61817638999999,1.41086,-0.00013906791408047195
27,N67,Sp016,2,1,0.453093,0.753856,0.797903,0.0,1.433776,0.0,0.453212,0.754183,0.798105,0.0,-6211.935156,-6211.93613,45,32.61817638999999,1.41086,-1.5679491548422346e-07
28,N52,N40,4,9,6.01e-06,0.203906,0.935654,1.3266,3.444218,7.980797900000001,0.052066,0.05271,0.960406,1.345281,-6211.57541,-6211.93613,45,32.61817638999999,1.41086,-5.806885203754884e-05
29,Sp016,N40,1,9,0.753856,0.203906,0.0,1.3266,0.0,7.980797900000001,0.876721,0.172924,0.0,1.333983,-6213.707276,-6211.93613,45,32.61817638999999,1.41086,0.00028511980209301415
30,N40,N31,9,5,0.203906,0.181929,1.3266,0.408062,7.980797900000001,2.12818286,0.203851,0.181896,1.32552,0.408101,-6211.935183,-6211.93613,45,32.61817638999999,1.41086,-1.5244844451599758e-07
31,N41,N31,5,5,0.249167,0.181929,0.935654,0.408062,4.19808001,2.12818286,0.249409,0.181881,0.935726,0.408079,-6211.935168,-6211.93613,45,32.61817638999999,1.41086,-1.5486315054438494e-07
32,Sp013,Sp022,1,1,0.0799376,0.390044,0.0,0.0,0.0,0.0,0.031796,0.356055,0.0,0.0,-6209.205878,-6211.93613,45,32.61817638999999,1.41086,-0.00043951707533095507
33,Sp012,Sp022,1,1,0.297552,0.390044,0.0,0.0,0.0,0.0,0.292054,0.390855,0.0,0.0,-6211.925713,-6211.93613,45,32.61817638999999,1.41086,-1.6769328889439194e-06
34,Sp022,Sp032,1,1,0.390044,0.347985,0.0,0.0,0.0,0.0,0.394788,0.620354,0.0,0.0,-6218.751062,-6211.93613,45,32.61817638999999,1.41086,0.0010970705199443553
35,N69,Sp032,2,1,6.26e-06,0.347985,0.297552,0.0,0.3774896,0.0,1e-06,0.614472,0.303919,0.0,-6218.75714,-6211.93613,45,32.61817638999999,1.41086,0.0010980489588516842
36,Sp032,Sp020,1,1,0.347985,0.408062,0.0,0.0,0.0,0.0,0.440414,0.502046,0.0,0.0,-6215.818986,-6211.93613,45,32.61817638999999,1.41086,0.0006250637351611299
37,N55,Sp020,3,1,0.308322,0.408062,0.390044,0.0,0.76753986,0.0,0.407777,0.509095,0.386798,0.0,-6215.824747,-6211.93613,45,32.61817638999999,1.41086,0.0006259911432797704
38,N42,N30,4,14,0.296274,9.554e-05,0.390044,1.3266,1.4238468599999998,12.63195091,0.409148,0.052943,0.390573,1.319011,-6213.346244,-6211.93613,45,32.61817638999999,1.41086,0.00022700072416878645
39,Sp020,N30,1,14,0.408062,9.554e-05,0.0,1.3266,0.0,12.63195091,0.489895,0.055786,0.0,1.316368,-6213.341646,-6211.93613,45,32.61817638999999,1.41086,0.00022626053626211492
40,N30,N24,14,4,9.554e-05,0.305848,1.3266,0.335011,12.63195091,1.28276626,1e-06,0.258977,1.354619,0.324175,-6209.734631,-6211.93613,45,32.61817638999999,1.41086,-0.00035439820273873055
41,N31,N24,5,4,0.181929,0.305848,0.408062,0.335011,2.12818286,1.28276626,0.178344,0.303566,0.408748,0.33538,-6211.931737,-6211.93613,45,32.61817638999999,1.41086,-7.071869234051088e-07
42,N24,N21,4,11,0.305848,0.360662,0.335011,1.41086,1.28276626,7.05711929,0.305462,0.361417,0.335138,1.411074,-6211.935178,-6211.93613,45,32.61817638999999,1.41086,-1.5325334652546003e-07
43,N25,N21,19,11,1.45e-06,0.360662,1.3266,1.41086,14.94215831,7.05711929,1e-06,0.361316,1.325518,1.410976,-6211.93517,-6211.93613,45,32.61817638999999,1.41086,-1.5454118976988212e-07
