idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp041,Sp021,1,1,0.613028,0.686375,0.0,0.0,0.0,0.0,0.668803,0.728756,0.0,0.0,-5914.207264,-5913.16428,45,33.26397226000001,1.51045,0.0001763833965390364
1,Sp000,Sp021,1,1,0.441621,0.686375,0.0,0.0,0.0,0.0,0.552361,0.733346,0.0,0.0,-5914.202792,-5913.16428,45,33.26397226000001,1.51045,0.0001756271178720038
2,N32,N23,2,14,0.239704,0.29307,0.613028,1.51045,1.054649,9.35721644,0.362634,0.317633,0.649676,1.522423,-5913.624861,-5913.16428,45,33.26397226000001,1.51045,7.789078371424425e-05
3,Sp021,N23,1,14,0.686375,0.29307,0.0,1.51045,0.0,9.35721644,0.798534,0.31959,0.0,1.526439,-5913.620106,-5913.16428,45,33.26397226000001,1.51045,7.708664573079354e-05
4,Sp044,Sp034,1,1,2.328e-05,0.445492,0.0,0.0,0.0,0.0,0.016365,0.59075,0.0,0.0,-5914.923401,-5913.16428,45,33.26397226000001,1.51045,0.0002974923267310358
5,Sp027,Sp034,1,1,0.591555,0.445492,0.0,0.0,0.0,0.0,0.532431,0.671465,0.0,0.0,-5918.568742,-5913.16428,45,33.26397226000001,1.51045,0.0009139712248955853
6,N76,Sp016,2,1,0.326173,0.743815,0.591555,0.0,0.59157828,0.0,0.350906,0.753471,0.590999,0.0,-5913.741359,-5913.16428,45,33.26397226000001,1.51045,9.759224886606482e-05
7,Sp034,Sp016,1,1,0.445492,0.743815,0.0,0.0,0.0,0.0,0.462004,0.793362,0.0,0.0,-5913.861323,-5913.16428,45,33.26397226000001,1.51045,0.00011787986380789704
8,N64,N51,3,3,0.121083,2.366e-05,0.591555,1.51045,1.36324328,2.600593,0.145473,1e-06,0.591835,1.505839,-5913.249452,-5913.16428,45,33.26397226000001,1.51045,1.4403793970029338e-05
9,Sp016,N51,1,3,0.743815,2.366e-05,0.0,1.51045,0.0,2.600593,0.666297,1e-06,0.0,1.420903,-5911.023195,-5913.16428,45,33.26397226000001,1.51045,-0.000362087860004492
10,Sp015,Sp030,1,1,0.204723,1.51045,0.0,0.0,0.0,0.0,0.232089,1.975837,0.0,0.0,-5916.665561,-5913.16428,45,33.26397226000001,1.51045,0.0005921163076497235
11,Sp001,Sp030,1,1,0.292826,1.51045,0.0,0.0,0.0,0.0,0.276819,1.979336,0.0,0.0,-5916.667038,-5913.16428,45,33.26397226000001,1.51045,0.0005923660893114288
12,Sp030,N50,1,4,1.51045,0.0470677,0.0,0.743815,0.0,2.22814128,1.512349,0.047169,0.0,0.744176,-5913.162226,-5913.16428,45,33.26397226000001,1.51045,-3.473605505154333e-07
13,N67,N50,2,4,0.592594,0.0470677,0.292826,0.743815,0.49754899999999996,2.22814128,0.523302,1e-06,0.280456,0.731012,-5912.3245,-5913.16428,45,33.26397226000001,1.51045,-0.00014201871624649776
14,N50,N35,4,7,0.0470677,0.0663679,0.743815,0.766891,2.22814128,4.2201699,0.142976,1e-06,0.704428,0.757042,-5914.063874,-5913.16428,45,33.26397226000001,1.51045,0.00015213411253313494
15,N51,N35,3,7,2.366e-05,0.0663679,1.51045,0.766891,2.600593,4.2201699,1e-06,0.10263,1.681349,0.754339,-5914.514009,-5913.16428,45,33.26397226000001,1.51045,0.00022825832939660516
16,Sp028,N81,1,2,0.382051,0.0313992,0.0,0.766891,0.0,1.174201,0.388583,0.039797,0.0,0.770391,-5913.172927,-5913.16428,45,33.26397226000001,1.51045,1.4623304190789768e-06
17,Sp011,N81,1,2,0.408719,0.0313992,0.0,0.766891,0.0,1.174201,0.342619,1e-06,0.0,0.765866,-5912.143926,-5913.16428,45,33.26397226000001,1.51045,-0.00017255634237177409
18,Sp020,N80,1,2,0.40731,0.0175707,0.0,0.408719,0.0,0.79077,0.430019,0.026803,0.0,0.413152,-5913.181851,-5913.16428,45,33.26397226000001,1.51045,2.9715054695413295e-06
19,Sp005,N80,1,2,0.766891,0.0175707,0.0,0.408719,0.0,0.79077,0.697992,1e-06,0.0,0.401763,-5910.615018,-5913.16428,45,33.26397226000001,1.51045,-0.0004311163835954756
20,N80,Sp004,2,1,0.0175707,0.512482,0.408719,0.0,0.79077,0.0,0.106993,0.620836,0.385411,0.0,-5914.783463,-5913.16428,45,33.26397226000001,1.51045,0.0002738268249161164
21,N81,Sp004,2,1,0.0313992,0.512482,0.766891,0.0,1.174201,0.0,0.040447,0.623028,0.707436,0.0,-5914.80324,-5913.16428,45,33.26397226000001,1.51045,0.0002771713962934621
22,N68,N53,4,2,0.207433,0.42379,0.766891,0.507921,2.0139409,0.8023419999999999,0.319831,0.565189,0.780123,0.518375,-5915.898182,-5913.16428,45,33.26397226000001,1.51045,0.0004623416280259245
23,Sp004,N53,1,2,0.512482,0.42379,0.0,0.507921,0.0,0.8023419999999999,0.59347,0.554706,0.0,0.511969,-5915.932997,-5913.16428,45,33.26397226000001,1.51045,0.0004682293386240783
24,Sp017,N52,1,5,0.507921,0.260182,0.0,0.766891,0.0,2.7338559,0.593303,0.472267,0.0,0.761628,-5918.628012,-5913.16428,45,33.26397226000001,1.51045,0.0009239946230616417
25,Sp014,N52,1,5,0.294421,0.260182,0.0,0.766891,0.0,2.7338559,0.398589,0.494475,0.0,0.762384,-5918.616328,-5913.16428,45,33.26397226000001,1.51045,0.0009220186928410696
26,N52,N34,5,7,0.260182,0.194853,0.766891,1.51045,2.7338559,4.87582564,0.206346,0.098166,0.769226,1.622468,-5911.982001,-5913.16428,45,33.26397226000001,1.51045,-0.0001999401579283796
27,N53,N34,2,7,0.42379,0.194853,0.507921,1.51045,0.8023419999999999,4.87582564,0.44423,0.212974,0.50477,1.566327,-5913.394035,-5913.16428,45,33.26397226000001,1.51045,3.885483120727633e-05
28,N34,N22,7,3,0.194853,0.19204,1.51045,0.686375,4.87582564,1.9807279999999998,0.279869,0.280807,1.377602,0.657586,-5916.001486,-5913.16428,45,33.26397226000001,1.51045,0.0004798118005272384
29,N35,N22,7,3,0.0663679,0.19204,0.766891,0.686375,4.2201699,1.9807279999999998,0.183092,0.281254,0.769907,0.658036,-5916.000882,-5913.16428,45,33.26397226000001,1.51045,0.0004797096555552338
30,N22,N17,3,7,0.19204,0.166853,0.686375,1.04246,1.9807279999999998,5.011927389999999,0.174268,0.097045,0.717219,1.020312,-5911.115107,-5913.16428,45,33.26397226000001,1.51045,-0.00034654423637970315
31,N23,N17,14,7,0.29307,0.166853,1.51045,1.04246,9.35721644,5.011927389999999,0.346826,0.169641,1.503605,1.040966,-5913.411735,-5913.16428,45,33.26397226000001,1.51045,4.184815240744808e-05
32,Sp037,N25,1,5,0.564355,6.995e-05,0.0,1.04246,0.0,3.7671989999999997,0.565742,1e-06,0.0,1.043368,-5913.162226,-5913.16428,45,33.26397226000001,1.51045,-3.473605505154333e-07
33,Sp029,N25,1,5,0.680286,6.995e-05,0.0,1.04246,0.0,3.7671989999999997,0.670403,1e-06,0.0,1.037469,-5913.069027,-5913.16428,45,33.26397226000001,1.51045,-1.6108634140706084e-05
34,Sp026,Sp032,1,1,0.458507,0.51773,0.0,0.0,0.0,0.0,0.476217,0.583449,0.0,0.0,-5913.652153,-5913.16428,45,33.26397226000001,1.51045,8.250624824515039e-05
35,Sp022,Sp032,1,1,0.499965,0.51773,0.0,0.0,0.0,0.0,0.537203,0.594004,0.0,0.0,-5913.670375,-5913.16428,45,33.26397226000001,1.51045,8.558784705364755e-05
36,Sp032,N39,1,2,0.51773,0.253014,0.0,1.04246,0.0,1.5240559999999999,0.6956,0.264803,0.0,1.014756,-5917.961042,-5913.16428,45,33.26397226000001,1.51045,0.0008112005303529203
