idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp006,Sp011,1,1,0.568669,0.940424,0.0,0.0,0.0,0.0,0.535046,1.346599,0.0,0.0,-5132.146908,-5124.50787,15,18.636185180000005,2.14547,0.0014906871437782268
1,Sp002,Sp011,1,1,0.237849,0.940424,0.0,0.0,0.0,0.0,0.275814,1.32936,0.0,0.0,-5132.80599,-5124.50787,15,18.636185180000005,2.14547,0.0016193008598110459
2,Sp011,Sp007,1,1,0.940424,0.501649,0.0,0.0,0.0,0.0,0.942807,0.506009,0.0,0.0,-5124.508431,-5124.50787,15,18.636185180000005,2.14547,1.0947392687566822e-07
3,N25,Sp007,2,1,0.528918,0.501649,0.568669,0.0,0.806518,0.0,0.481123,0.466776,0.568716,0.0,-5124.217981,-5124.50787,15,18.636185180000005,2.14547,-5.65691393894932e-05
4,Sp007,Sp012,1,1,0.501649,0.879101,0.0,0.0,0.0,0.0,0.310532,1.159687,0.0,0.0,-5124.743486,-5124.50787,15,18.636185180000005,2.14547,4.59782687386011e-05
5,N23,Sp012,3,1,0.00713103,0.879101,0.940424,0.0,2.2758599999999998,0.0,0.040228,1.185903,0.936134,0.0,-5126.030316,-5124.50787,15,18.636185180000005,2.14547,0.00029709116243389536
6,N16,Sp013,4,1,0.383251,1.52542,0.940424,0.0,2.78464003,0.0,0.400056,1.745629,0.935966,0.0,-5126.479136,-5124.50787,15,18.636185180000005,2.14547,0.00038467420677403685
7,Sp012,Sp013,1,1,0.879101,1.52542,0.0,0.0,0.0,0.0,0.848246,1.810726,0.0,0.0,-5125.801805,-5124.50787,15,18.636185180000005,2.14547,0.0002524993682953778
8,N12,N9,5,4,0.560008,0.606172,0.940424,1.07657,4.04699203,3.4890589999999997,0.653186,0.736044,0.943515,1.082047,-5124.802568,-5124.50787,15,18.636185180000005,2.14547,5.750757096597031e-05
9,Sp013,N9,1,4,1.52542,0.606172,0.0,1.07657,0.0,3.4890589999999997,1.557179,0.709213,0.0,1.081718,-5124.484191,-5124.50787,15,18.636185180000005,2.14547,-4.6207363909876e-06
10,Sp008,N15,1,2,1.07657,0.261577,0.0,0.3117,0.0,0.620347,1.43605,0.580564,0.0,0.328662,-5130.536833,-5124.50787,15,18.636185180000005,2.14547,0.0011764959978488136
11,Sp005,N15,1,2,0.636988,0.261577,0.0,0.3117,0.0,0.620347,1.012749,0.640669,0.0,0.335807,-5130.565112,-5124.50787,15,18.636185180000005,2.14547,0.0011820143814121726
12,Sp004,N14,1,2,0.3117,0.893577,0.0,1.07657,0.0,1.713558,0.308003,1.14421,0.0,1.079715,-5125.812575,-5124.50787,15,18.636185180000005,2.14547,0.0002546010335231582
13,Sp000,N14,1,2,0.308647,0.893577,0.0,1.07657,0.0,1.713558,0.260616,1.133726,0.0,1.07978,-5125.522613,-5124.50787,15,18.636185180000005,2.14547,0.00019801764886346552
14,N14,N8,2,6,0.893577,0.285942,1.07657,1.52542,1.713558,6.1324200300000005,0.865282,0.813346,1.057335,1.467183,-5127.329735,-5124.50787,15,18.636185180000005,2.14547,0.0005506606822715034
15,N15,N8,2,6,0.261577,0.285942,0.3117,1.52542,0.620347,6.1324200300000005,0.37549,0.813629,0.307902,1.46819,-5127.328853,-5124.50787,15,18.636185180000005,2.14547,0.0005504885681831559
16,N8,N7,6,2,0.285942,2.14547,1.52542,1.08844,6.1324200300000005,1.6288390000000001,0.305047,2.401544,1.516052,1.086731,-5125.162481,-5124.50787,15,18.636185180000005,2.14547,0.0001277412420092413
17,N9,N7,4,2,0.606172,2.14547,1.07657,1.08844,3.4890589999999997,1.6288390000000001,0.612477,2.397221,1.075681,1.086319,-5125.164504,-5124.50787,15,18.636185180000005,2.14547,0.0001281360116244567
18,Sp003,N6,1,10,0.540399,0.338222,0.0,1.52542,0.0,10.513593030000001,0.671807,2.102048,0.0,1.583707,-5141.030533,-5124.50787,15,18.636185180000005,2.14547,0.0032242438530979828
19,Sp001,N6,1,10,1.08844,0.338222,0.0,1.52542,0.0,10.513593030000001,1.043452,2.092005,0.0,1.582979,-5141.028689,-5124.50787,15,18.636185180000005,2.14547,0.0032238840136661535
20,N6,Sp014,10,1,0.338222,1.64003,1.52542,0.0,10.513593030000001,0.0,0.586884,1.872477,1.528918,0.0,-5125.708645,-5124.50787,15,18.636185180000005,2.14547,0.00023432006164512715
21,N7,Sp014,2,1,2.14547,1.64003,1.08844,0.0,1.6288390000000001,0.0,2.176148,1.8398,1.076905,0.0,-5125.669874,-5124.50787,15,18.636185180000005,2.14547,0.00022675426196580258
22,N4,Sp010,12,1,0.542006,2.815e-05,2.14547,0.0,14.626124030000001,0.0,1.559473,1e-06,2.099274,0.0,-5128.914102,-5124.50787,15,18.636185180000005,2.14547,0.0008598351513507117
23,Sp014,Sp010,1,1,1.64003,2.815e-05,0.0,0.0,0.0,0.0,3.031301,0.00061,0.0,0.0,-5128.932961,-5124.50787,15,18.636185180000005,2.14547,0.0008635153096174415
