idx,S1,S2,ntaxa_S1,ntaxa_S2,bl_S1_b,bl_S2_b,maxBL_S1_b,maxBL_S2_b,cumBL_S1,cumBL_S2,bl_S1_a,bl_S2_a,maxBL_S1_a,maxBL_S2_a,ll_rearrs,ll_orig,ntaxa,tbl,maxBL,target
0,Sp042,N67,1,2,0.888424,7.048e-05,0.0,0.261244,0.0,0.48355099999999995,0.978768,1e-06,0.0,0.247356,-7501.270874,-7501.0755,44,30.25696834,1.92975,2.6046131651374736e-05
1,Sp009,N67,1,2,0.277268,7.048e-05,0.0,0.261244,0.0,0.48355099999999995,0.5087,0.018135,0.0,0.246447,-7503.412546,-7501.0755,44,30.25696834,1.92975,0.00031156145542057877
2,Sp007,N66,1,2,0.222307,0.259596,0.0,0.888424,0.0,1.165692,0.134209,0.231721,0.0,0.878332,-7492.810739,-7501.0755,44,30.25696834,1.92975,-0.0011018101337602006
3,Sp003,N66,1,2,0.261244,0.259596,0.0,0.888424,0.0,1.165692,0.26156,0.259878,0.0,0.88986,-7501.074249,-7501.0755,44,30.25696834,1.92975,-1.6677608426734268e-07
4,N66,Sp011,2,1,0.259596,0.319615,0.888424,0.0,1.165692,0.0,0.300361,0.322694,0.817627,0.0,-7505.832484,-7501.0755,44,30.25696834,1.92975,0.0006341735928400731
5,N67,Sp011,2,1,7.048e-05,0.319615,0.261244,0.0,0.48355099999999995,0.0,0.15707,0.266517,0.313193,0.0,-7505.101329,-7501.0755,44,30.25696834,1.92975,0.0005367002371860086
6,N58,N43,4,4,0.206272,0.121337,0.888424,0.537859,1.9089094799999997,1.904018,0.216944,0.10887,0.892818,0.554665,-7501.186667,-7501.0755,44,30.25696834,1.92975,1.4820141458384615e-05
7,Sp011,N43,1,4,0.319615,0.121337,0.0,0.537859,0.0,1.904018,0.336664,0.104396,0.0,0.539495,-7501.065084,-7501.0755,44,30.25696834,1.92975,-1.3886008746449058e-06
8,Sp037,N61,1,2,0.537859,0.140954,0.0,0.448429,0.0,0.69478,0.751555,0.092964,0.0,0.457722,-7504.796501,-7501.0755,44,30.25696834,1.92975,0.0004960623313283391
9,Sp015,N61,1,2,0.261287,0.140954,0.0,0.448429,0.0,0.69478,0.457445,0.176124,0.0,0.469185,-7506.92641,-7501.0755,44,30.25696834,1.92975,0.0007800094799739201
10,Sp010,N60,1,2,0.246351,0.269138,0.0,0.537859,0.0,0.7991459999999999,0.298673,0.307288,0.0,0.605796,-7502.598466,-7501.0755,44,30.25696834,1.92975,0.00020303301839855517
11,Sp008,N60,1,2,0.448429,0.269138,0.0,0.537859,0.0,0.7991459999999999,0.478687,0.302471,0.0,0.601109,-7502.581088,-7501.0755,44,30.25696834,1.92975,0.00020071628395154653
12,N60,N42,2,5,0.269138,0.0476661,0.537859,0.888424,0.7991459999999999,2.4347964799999993,0.293002,0.046879,0.471094,0.887433,-7501.484485,-7501.0755,44,30.25696834,1.92975,5.452351466133486e-05
13,N61,N42,2,5,0.140954,0.0476661,0.448429,0.888424,0.69478,2.4347964799999993,0.227707,0.053009,0.445735,0.885028,-7501.752131,-7501.0755,44,30.25696834,1.92975,9.0204531336909e-05
14,N42,N27,5,7,0.0476661,0.17379,0.888424,1.56571,2.4347964799999993,4.41024305,0.056991,0.17982,0.882942,1.557038,-7501.350712,-7501.0755,44,30.25696834,1.92975,3.668967203442562e-05
15,N43,N27,4,7,0.121337,0.17379,0.537859,1.56571,1.904018,4.41024305,0.137453,0.190911,0.533339,1.557133,-7501.4032,-7501.0755,44,30.25696834,1.92975,4.3687068607671326e-05
16,Sp041,Sp018,1,1,0.460635,0.0855671,0.0,0.0,0.0,0.0,0.682784,0.115581,0.0,0.0,-7503.819368,-7501.0755,44,30.25696834,1.92975,0.0003657966114326506
17,Sp040,Sp018,1,1,0.476299,0.0855671,0.0,0.0,0.0,0.0,0.715621,0.126091,0.0,0.0,-7503.853874,-7501.0755,44,30.25696834,1.92975,0.0003703967517725212
18,N82,Sp022,2,1,0.255883,0.373945,0.476299,0.0,0.9369339999999999,0.0,0.247189,0.498547,0.472649,0.0,-7505.061933,-7501.0755,44,30.25696834,1.92975,0.0005314481903295113
19,Sp018,Sp022,1,1,0.0855671,0.373945,0.0,0.0,0.0,0.0,0.154295,0.49173,0.0,0.0,-7504.953461,-7501.0755,44,30.25696834,1.92975,0.0005169873306834655
20,N80,Sp043,3,1,0.235292,1.56571,0.476299,0.0,1.2783841,0.0,0.236131,1.558393,0.477196,0.0,-7501.047962,-7501.0755,44,30.25696834,1.92975,-3.671206882303338e-06
21,Sp022,Sp043,1,1,0.373945,1.56571,0.0,0.0,0.0,0.0,0.369714,1.44119,0.0,0.0,-7500.47379,-7501.0755,44,30.25696834,1.92975,-8.021649695432499e-05
22,Sp043,Sp013,1,1,1.56571,0.499376,0.0,0.0,0.0,0.0,2.469134,0.492037,0.0,0.0,-7508.885015,-7501.0755,44,30.25696834,1.92975,0.0010411193701489766
23,N73,Sp013,4,1,5.03e-06,0.499376,0.476299,0.0,1.8876211,0.0,0.347139,1e-06,0.467824,0.0,-7505.326268,-7501.0755,44,30.25696834,1.92975,0.0005666878036356093
24,N62,Sp005,5,1,0.371239,0.0862885,1.56571,0.0,3.45333613,0.0,0.371946,0.086411,1.568629,0.0,-7501.07425,-7501.0755,44,30.25696834,1.92975,-1.6664277012738487e-07
25,Sp013,Sp005,1,1,0.499376,0.0862885,0.0,0.0,0.0,0.0,0.432914,0.060221,0.0,0.0,-7500.058994,-7501.0755,44,30.25696834,1.92975,-0.00013551470052526946
26,N44,N26,6,9,3.42e-06,0.0527564,1.56571,0.888424,4.32395113,4.507817579999998,1e-06,0.184114,1.582595,0.915069,-7511.015363,-7501.0755,44,30.25696834,1.92975,0.0013251250437354635
